方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9919672306598128,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_coal_mw|gross_inadv_interchange_mw|gen_fuel_gas_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9813385386479032,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_solar_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9915738230010407,gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|system_energy_price_da
XGBoost,树模型特征重要性（2016）,0.9893956463369552,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|marginal_loss_price_rt
Lasso,线性稀疏（1996）,0.9874008801213466,gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|gen_fuel_hydro_mw
Pearson,相关系数排序（只看两两关系）,0.9713129370669294,gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_other_renewables_pct|gen_fuel_oil_mw|system_energy_price_da
