wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.48005193,0.4051265,0.5074574,0.48080793,0.4757262,0.39775854,0.44384736,0.5438307,0.41981527,0.45969057,0.42402768,0.41703352,0.4827066,0.43181023,0.4497332,0.38907403,0.49807268,0.52975684,0.47849727,0.4038381,0.39214948,0.54289293,0.5546141,0.43246558,0.45829344,0.49027777,0.45446438,0.42035094,0.42009377,0.45345736,0.45487085,0.40189886,0.50501037,0.54468364,0.42305717,0.36287907,0.38003093,0.39043322,0.42599052,0.5038383,0.39152235,0.37753797,0.5421028,0.5089625,0.5252458,0.380129,0.38770398,0.44235703
0.49500513,0.35257393,0.5070349,0.48615596,0.47003406,0.35960883,0.4706661,0.57673854,0.3767179,0.4407012,0.3614473,0.42848864,0.4760599,0.46611387,0.40756416,0.32184762,0.48303765,0.55772847,0.43575072,0.36380664,0.35526833,0.54954934,0.5794138,0.41825476,0.44325566,0.50187457,0.42578077,0.38284156,0.3522445,0.4311438,0.44198424,0.38094297,0.5067159,0.5632578,0.3871615,0.26696074,0.33979216,0.34250396,0.3775773,0.497423,0.3365319,0.29567596,0.54055125,0.4973049,0.5163089,0.30165663,0.39145207,0.44878057
0.50223655,0.30343068,0.50331885,0.49554792,0.47383103,0.33760834,0.46581316,0.5987334,0.34043965,0.3980399,0.28899533,0.4434158,0.4531495,0.5014494,0.37242615,0.27213556,0.46430534,0.57832897,0.37076533,0.31787944,0.3252803,0.5488535,0.59279937,0.4023418,0.4134011,0.5081075,0.394925,0.3384369,0.2981696,0.4043811,0.42803735,0.37173986,0.51789045,0.5715521,0.3491409,0.19573805,0.27907562,0.3133648,0.33854142,0.5178534,0.2909457,0.23070917,0.56009305,0.49763262,0.5321829,0.22235432,0.4033937,0.4561065
0.5170235,0.24590763,0.507007,0.48806533,0.46873128,0.31344193,0.4948312,0.61488163,0.3017427,0.38054067,0.23830676,0.43669936,0.4242996,0.5357459,0.33931118,0.2351787,0.4468678,0.59941137,0.3214041,0.26228404,0.28120935,0.5548647,0.6106927,0.38703525,0.3846917,0.5083125,0.37728208,0.29966086,0.23160438,0.38880894,0.42163983,0.3542754,0.51978993,0.58341396,0.30489314,0.12697825,0.22460255,0.26154935,0.28720117,0.5335649,0.23038279,0.20684566,0.56577486,0.49963355,0.54413795,0.15732847,0.4408269,0.4621761
0.52484995,0.19559598,0.51383173,0.5138854,0.48320234,0.29729018,0.48896608,0.62641853,0.27156863,0.35805464,0.16820969,0.4360941,0.40775305,0.5861576,0.31547725,0.19936898,0.43864003,0.620968,0.2840739,0.20750293,0.25157544,0.5777715,0.64263976,0.36343896,0.35711622,0.54297215,0.3690042,0.24004406,0.17424926,0.38693944,0.40842822,0.34098879,0.52404773,0.60356325,0.27024308,0.0647661,0.2080533,0.21891804,0.2434431,0.53572327,0.15799667,0.17903672,0.5870526,0.50065166,0.5669973,0.09313366,0.454273,0.44923863
0.53846806,0.15215386,0.49741474,0.50226504,0.4892041,0.30371782,0.4913651,0.6364753,0.24434978,0.33875456,0.12355595,0.43717277,0.3840418,0.6275215,0.28675538,0.18654674,0.4074602,0.64363277,0.23367946,0.16127191,0.21715398,0.5885605,0.64793634,0.34609482,0.33641088,0.54429513,0.35839003,0.18613444,0.11624735,0.38602087,0.40150282,0.3387959,0.5320968,0.6144656,0.22290844,-0.026419183,0.14505698,0.1674,0.18677339,0.570431,0.10228814,0.15191,0.59420806,0.50559133,0.567834,0.018599559,0.47188735,0.44304064
0.55005985,0.14125688,0.49047902,0.51266146,0.4878169,0.29368368,0.49450293,0.64356697,0.20858213,0.32122955,0.06643397,0.44746426,0.34502476,0.6853748,0.24908577,0.13907039,0.397105,0.65261006,0.2076768,0.1308471,0.19078097,0.5893337,0.6530484,0.33325246,0.3151162,0.55022997,0.34148225,0.14426103,0.05691193,0.3866936,0.3841947,0.31486157,0.5269284,0.6252926,0.18600078,-0.09164591,0.086807944,0.108470745,0.15841462,0.58046365,0.043051455,0.12639447,0.5943394,0.5102774,0.5789779,-0.06114334,0.48273945,0.45491144
0.5579409,0.10080304,0.4808281,0.50364065,0.506346,0.30370557,0.5109612,0.6523202,0.15563339,0.30719456,0.014951941,0.46241757,0.32491142,0.71520656,0.2142353,0.1052882,0.39062074,0.66659534,0.17319882,0.09947255,0.17125818,0.6144229,0.6668277,0.30112782,0.2915089,0.56141394,0.3273949,0.11403465,-0.0025023562,0.37410727,0.36355594,0.30575034,0.5258428,0.65014195,0.1267234,-0.16702923,0.05139769,0.055656593,0.13462926,0.59024537,-0.051648915,0.106064156,0.59745127,0.52527344,0.59078455,-0.12931068,0.5115236,0.459035
0.57885915,0.07657795,0.46456864,0.5051754,0.539838,0.30175185,0.5023931,0.6673578,0.106618665,0.2974889,-0.034183063,0.45902857,0.30994996,0.7359613,0.1740583,0.06379453,0.38258144,0.68688196,0.12031768,0.050867524,0.14529526,0.6243707,0.6689887,0.2736691,0.26027814,0.5742075,0.31462392,0.07061691,-0.04879382,0.3887297,0.35418117,0.28875378,0.5206864,0.67317706,0.08906755,-0.2314559,0.007790493,-0.0013966818,0.07473807,0.6013164,-0.12393279,0.06779275,0.602264,0.5306913,0.59175146,-0.20003027,0.53632766,0.4386591
