total_losses,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,congestion_price_rt,marginal_loss_price_rt,gross_actual_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0521789,1.0231487,0.9450572,1.0902289,1.0063567,1.0551046,1.1015902,0.7160053,0.98443913,0.91979605,1.0042769,1.1943746,0.86326355,0.9119669,0.82876766,0.8593529,0.6846139,0.76563245,0.8840595,0.8493564,0.79182833,0.9839492,0.85508466,0.8496333,0.894016,0.7121545,0.8930046,0.9267872,0.77550465
0.94362795,0.92811537,0.79103464,0.9616077,0.8944942,0.99992204,0.9749565,0.52055776,0.85320127,0.7493198,0.9189778,1.1685016,0.69434536,0.76422846,0.70565486,0.75015277,0.4700362,0.56091166,0.6830633,0.6610615,0.5911098,0.92130286,0.6950877,0.70361125,0.7599786,0.48631805,0.76570153,0.7563996,0.57468474
0.82250994,0.82950896,0.66012675,0.83100986,0.78600156,0.901906,0.8515116,0.3639687,0.7361608,0.607789,0.8332054,1.1083841,0.55251414,0.62358624,0.57621986,0.6278771,0.3117729,0.4030067,0.5178051,0.49688652,0.423282,0.85044634,0.5462185,0.5548087,0.6176129,0.32210183,0.6222104,0.603236,0.41310015
0.7072417,0.7395467,0.55143243,0.71644676,0.6860675,0.8175323,0.7426099,0.24485973,0.6334499,0.4861808,0.74642634,1.023851,0.4406857,0.50190985,0.45778587,0.5126043,0.19867301,0.28834948,0.38929647,0.3731373,0.29457185,0.7738224,0.41901538,0.43001693,0.48479462,0.20542286,0.49016607,0.4660107,0.28705725
0.59866965,0.66872126,0.4534383,0.6119599,0.60781103,0.7342176,0.65360236,0.15878549,0.5486071,0.3870006,0.65088654,0.95603955,0.35214746,0.40248692,0.34598836,0.4083165,0.12189948,0.20947279,0.29131132,0.27107373,0.20362538,0.6820073,0.3100598,0.33354238,0.37290975,0.12754555,0.37225446,0.35456362,0.19540188
0.5163695,0.6068094,0.37582847,0.52311796,0.53303075,0.6560327,0.5847049,0.098918445,0.47152436,0.3212772,0.56887734,0.8796486,0.28214833,0.31746644,0.25888535,0.31596822,0.070488155,0.14919308,0.21470371,0.2024776,0.1401422,0.61773956,0.22866033,0.2519923,0.28380248,0.07527985,0.28280598,0.26655993,0.12673493
0.43454045,0.5533312,0.31154326,0.450771,0.48558128,0.58765775,0.52138835,0.059560906,0.40156016,0.28592488,0.49548987,0.80698174,0.22536933,0.25093755,0.18967924,0.23988655,0.03858701,0.11029478,0.15736336,0.14981368,0.09483913,0.54641205,0.16473384,0.19065498,0.21082525,0.043438934,0.20688179,0.20061691,0.078728706
0.36619714,0.5122072,0.26088944,0.38638335,0.4478071,0.5272642,0.47451997,0.03411464,0.3481101,0.26413348,0.42992422,0.7489974,0.18457611,0.1995079,0.13293687,0.17731473,0.019754373,0.081000976,0.115844235,0.11170581,0.06378274,0.4920026,0.11865055,0.14184114,0.15459715,0.023451788,0.1479691,0.1484385,0.048186302
0.30962124,0.4760264,0.21421021,0.33688784,0.42002428,0.47597855,0.43308637,0.018594716,0.29956388,0.252773,0.3838297,0.68559283,0.16066536,0.15367058,0.09124601,0.12915973,0.0094559835,0.06311122,0.09062038,0.08493462,0.04323102,0.44079533,0.085194364,0.10436406,0.110770315,0.012110701,0.10316956,0.11091357,0.02779824
0.2621202,0.45077392,0.1802938,0.29263124,0.39338797,0.4279984,0.39889333,0.0094806,0.2616578,0.25219652,0.35112423,0.6322103,0.14737703,0.122479126,0.06089197,0.09196666,0.0041445196,0.04762796,0.07066778,0.06661328,0.028688319,0.3948717,0.0612718,0.07597816,0.07883966,0.0057875398,0.069729775,0.08132116,0.0153475655
0.22309715,0.43038273,0.15004946,0.2555127,0.37668267,0.38237423,0.36737192,0.0045996346,0.22600454,0.25495428,0.3204979,0.5817949,0.13535725,0.09528489,0.039269947,0.06330984,0.001655014,0.036187313,0.055733822,0.05405159,0.019620003,0.35475317,0.04367707,0.05506129,0.054100107,0.0025798392,0.04661665,0.060520682,0.007847207
0.18999664,0.4174209,0.1242809,0.2216411,0.35819614,0.34350115,0.34025913,0.002057436,0.19435312,0.25592533,0.300426,0.5372402,0.13225359,0.07600421,0.024410741,0.042449065,0.0005991317,0.027073279,0.04412265,0.04311625,0.013715925,0.3227315,0.031105302,0.0391563,0.03653113,0.0010560448,0.03083145,0.043357648,0.0038091084
0.16156188,0.4070606,0.102993034,0.19031766,0.3412245,0.30996493,0.31919405,0.0008586612,0.16857713,0.25935754,0.28616375,0.49140736,0.12886187,0.05997767,0.01453513,0.027561588,0.00019584742,0.019199122,0.036516674,0.0380695,0.008793878,0.29682648,0.024261089,0.027531847,0.023809813,0.00039610048,0.019895997,0.032099627,0.0016990018
