方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9891691052876657,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_oil_mw|gen_fuel_oil_pct|system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_other_renewables_mw|gen_fuel_coal_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9784901350434813,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|da_as_as_mw_thirty_minutes_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9765686525162047,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_hydro_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|gen_fuel_solar_pct|da_as_as_mw_primary_reserve|system_energy_price_da
XGBoost,树模型特征重要性（2016）,0.974440974952082,gen_fuel_oil_mw|gen_fuel_other_renewables_pct|gen_fuel_nuclear_mw|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_other_renewables_mw|gen_fuel_solar_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve
Lasso,线性稀疏（1996）,0.9869873136293883,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_other_renewables_pct|gen_fuel_other_renewables_mw|gen_fuel_oil_mw|gen_fuel_coal_pct|gen_fuel_solar_pct|gen_fuel_oil_pct|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_mw
Pearson,相关系数排序（只看两两关系）,0.9661710519997468,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|gen_fuel_oil_pct|system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_hydro_mw|gross_inadv_interchange_mw|gen_fuel_multiple_fuels_mw|system_energy_price_rt
