epoch,train_loss,train_r2,test_loss,test_r2,train_total_loss,train_mse_loss,train_reg_loss,active_features
0,,,,,,,,55
1,0.28827053781323175,0.7117294073104858,0.2902359421841982,0.6936374306678772,0.6101585526635954,0.6101585526635954,0.5874551244585865,23
2,0.18606180152951715,0.8139382004737854,0.18828951877473696,0.8012484312057495,0.23062578390667132,0.23062578390667132,0.5780200068274134,30
3,0.1425691890430123,0.8574308156967163,0.15856537093385692,0.8326241374015808,0.16412962508237972,0.16412962508237972,0.5698427161490254,31
4,0.09899735694977048,0.9010026454925537,0.11143608936449377,0.8823721408843994,0.12317434073767528,0.12317434073767528,0.555280017498156,31
5,0.08532417594852292,0.9146758317947388,0.09861061541454458,0.8959102034568787,0.09659354709526403,0.09659354709526403,0.540770536497474,31
6,0.06704977500976314,0.9329501986503601,0.08018603108300851,0.9153585433959961,0.07994040178772968,0.07994040178772968,0.531578147597753,30
7,0.05731424936935203,0.9426857829093933,0.07283691781936441,0.9231159687042236,0.06640327897229716,0.06640327897229716,0.5240357006032625,29
8,0.05454462865959998,0.9454553723335266,0.07018067518521737,0.9259198307991028,0.059303962913271495,0.059303962913271495,0.5183036345775395,29
9,0.04607649644073823,0.9539235234260559,0.05856330730816031,0.9381827116012573,0.05113579417933361,0.05113579417933361,0.5153905467665169,29
10,0.03896768392055863,0.9610323309898376,0.051285849892670606,0.9458644986152649,0.04610517135203953,0.04610517135203953,0.5126910601336933,29
11,0.04210019710563936,0.957899808883667,0.053152095878542194,0.9438945651054382,0.04378156166759545,0.04378156166759545,0.5098776170127179,29
12,0.03814223665292257,0.9618577361106873,0.050363276460457865,0.9468383193016052,0.04018252479121328,0.04018252479121328,0.5084078113010692,28
13,0.037250255106669135,0.962749719619751,0.051632072430149445,0.945499062538147,0.037055156001157656,0.037055156001157656,0.5068549979151341,28
14,0.03258803795275799,0.9674119353294373,0.04303295352132764,0.9545759558677673,0.03769654251029821,0.03769654251029821,0.5047357786165495,28
15,0.030946232499959675,0.9690537452697754,0.0432419685913795,0.9543553590774536,0.03404303544295439,0.03404303544295439,0.5031167628836032,28
16,0.030320530217410862,0.9696794748306274,0.041838860573678666,0.9558364152908325,0.03292993995880326,0.03292993995880326,0.5024205211189119,28
17,0.02726216997502302,0.9727378487586975,0.039752720383836364,0.9580384492874146,0.031032509100854307,0.031032509100854307,0.5023044238419682,28
