total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,congestion_price_da,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4701082,0.50508493,0.43704563,0.45521975,0.5088248,0.4739204,0.43229246,0.41914362,0.4144721,0.44238654,0.4188656,0.45829263,0.51775813,0.4783404,0.38842663,0.4126176,0.39891002,0.47128382,0.45264342,0.41892782,0.42248464,0.4659195,0.42721957,0.47982824,0.46107015,0.5008462,0.42669213,0.58380324,0.5788336,0.5862689,0.5432635,0.5580271,0.4035569,0.4189259,0.45712984,0.42186826,0.4095831,0.44334325
0.4472433,0.504156,0.38380396,0.42698732,0.5375409,0.4598812,0.37933683,0.37770385,0.34246057,0.38531995,0.36652642,0.42264256,0.5884758,0.4738547,0.2852443,0.35908484,0.32647395,0.44551185,0.42354032,0.3627997,0.37724587,0.44854587,0.40726414,0.51357776,0.42584828,0.5480304,0.39314416,0.6209265,0.645145,0.636512,0.6686175,0.62688226,0.358232,0.36021566,0.42108098,0.3687371,0.32883084,0.3772843
0.4263733,0.49697927,0.3364714,0.39065918,0.56279105,0.43682185,0.32445395,0.3384042,0.2597466,0.34054175,0.33414638,0.38577792,0.6367926,0.44244027,0.1878405,0.29905286,0.27161366,0.4319433,0.38394022,0.31528556,0.30747914,0.425525,0.38435203,0.54682255,0.39468116,0.59300894,0.35682768,0.6513835,0.68564034,0.6598645,0.77916485,0.6825741,0.31089866,0.28667262,0.38293058,0.28802627,0.2624222,0.3269236
0.39065382,0.4911677,0.29576227,0.36155602,0.59028673,0.4209699,0.26812774,0.2872779,0.17530386,0.2895198,0.27647835,0.34337312,0.6772982,0.43545496,0.08292087,0.22309428,0.2273771,0.40757388,0.35861182,0.25059202,0.21147564,0.3965933,0.39233813,0.56928813,0.36119384,0.6255846,0.30727598,0.6908491,0.71546644,0.6864915,0.8761881,0.7450675,0.26729405,0.23140562,0.32278883,0.22607623,0.18478765,0.24957903
0.34705305,0.4826026,0.26628864,0.31648287,0.62769973,0.37481087,0.20688134,0.22107817,0.085562386,0.23462057,0.2338059,0.2950217,0.72228765,0.412903,0.0,0.14911167,0.19052665,0.35790354,0.3313728,0.19610018,0.12488115,0.38458672,0.38615733,0.5697376,0.31277367,0.6522914,0.24861677,0.71867007,0.7539088,0.71677667,0.96005833,0.81224906,0.24374035,0.16479343,0.27081802,0.15849723,0.112161554,0.16111527
0.32992256,0.48883998,0.24021819,0.28047687,0.65374696,0.33066413,0.1700799,0.1719037,0.0,0.1630692,0.19684947,0.2646473,0.7793728,0.3841616,0.0,0.07327985,0.15298612,0.34274265,0.29493842,0.14647765,0.055766717,0.37688923,0.3806754,0.579958,0.25312898,0.6634412,0.19737466,0.73796684,0.78137326,0.73815995,1.0,0.8524217,0.20799023,0.08877749,0.22275192,0.08030998,0.035882365,0.10397998
0.2985509,0.4766617,0.21506035,0.2351171,0.6846052,0.29405972,0.11033562,0.124951944,0.0,0.10724138,0.16050182,0.20696187,0.8125712,0.36077574,0.0,0.0031928385,0.098616846,0.30251536,0.25583598,0.09675826,0.0,0.3534163,0.39911598,0.5929095,0.19591096,0.6977297,0.13388617,0.7489194,0.8126611,0.766008,1.0,0.8964898,0.1606729,0.014840308,0.17521115,0.012541508,0.0,0.020368012
0.26738736,0.49099967,0.1736784,0.19847819,0.69706434,0.2691709,0.056311116,0.08671229,0.0,0.065934494,0.10833373,0.16021,0.8538025,0.3406293,0.0,0.0,0.050529838,0.27041274,0.21383564,0.06656644,0.0,0.34044844,0.39148304,0.5938709,0.13576786,0.7269931,0.06767004,0.7831787,0.8436626,0.78627515,1.0,0.93807757,0.12501483,0.0,0.1346536,0.0,0.0,0.0
0.24293561,0.4915264,0.13886724,0.15481386,0.71631396,0.23672566,0.0026601898,0.011201425,0.0,0.0,0.066728726,0.09960851,0.89498955,0.30587947,0.0,0.0,0.002524877,0.23073456,0.17180638,0.028104747,0.0,0.3276768,0.393192,0.5976344,0.06427544,0.74754953,0.009897205,0.7987141,0.85668087,0.7944026,1.0,0.97582304,0.097405806,0.0,0.06532279,0.0,0.0,0.0
