total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9925575,0.9558044,0.97142357,0.92373216,0.7075682,0.8830592,0.7528179,0.8914364,0.85747015,0.80962086,0.89566004,0.8271182,0.8261324,0.8545707,0.88151515,0.96861106,0.69569594,0.8832824,1.0061617,0.7970372,0.9437954,0.7965638,0.90711176,0.7818841,0.8520674,0.68958557,0.7935356,0.7710271,0.8699079,0.7832251,0.85998374,0.7751366,0.8371786,0.8551139,0.7456797,0.7619615,0.76042306,1.0089095,1.0061681,0.7495305,0.9468353,0.9176583,0.76761115,0.79626733,0.88810766,0.9893926
0.95337856,1.0049204,0.9195475,0.77865577,0.510269,0.73020464,0.6659816,0.79410714,0.8276958,0.6348492,0.88777655,0.7665405,0.7358378,0.7514647,0.8242036,0.89623123,0.5461867,0.80302954,0.9278049,0.6844185,0.8864412,0.7011828,0.8272955,0.74837905,0.7409392,0.54617363,0.6901626,0.7276001,0.80574894,0.71917707,0.78338045,0.6499862,0.7360713,0.7595801,0.61674947,0.6460843,0.66231,0.9802724,1.0703062,0.71084154,0.88084537,0.95397866,0.7226222,0.72527397,0.95716745,0.9933855
0.89042795,1.0305874,0.88030016,0.6782043,0.40137467,0.6693788,0.6519148,0.7162223,0.8207804,0.5290794,0.8683482,0.74967456,0.68110555,0.6936028,0.79065967,0.8259616,0.44939145,0.751581,0.8810626,0.60404396,0.8425734,0.6349961,0.7793896,0.70478964,0.6779266,0.45923388,0.6351193,0.7309183,0.805198,0.6798385,0.7552418,0.5802998,0.6930282,0.6811464,0.56471604,0.55024284,0.5992365,1.0077755,1.1377094,0.6487491,0.8002281,0.92666245,0.6526278,0.6651055,1.0029336,1.0189823
0.84795576,1.032578,0.8394956,0.59382164,0.33838353,0.61857706,0.6384809,0.68429047,0.83438337,0.42567003,0.8335918,0.73673815,0.621164,0.63856786,0.74268085,0.783993,0.41309044,0.7390732,0.84018975,0.530587,0.8048528,0.5836316,0.7470962,0.70169085,0.6319739,0.38409168,0.591133,0.6790307,0.83264303,0.7206526,0.7198707,0.51966536,0.6183697,0.5898219,0.53429085,0.5048379,0.5557363,1.0462037,1.100812,0.6393513,0.7420587,0.93684036,0.6191153,0.675433,0.9934992,1.0634918
0.8099077,1.030256,0.81139266,0.5375603,0.3102012,0.5884254,0.62804925,0.59895015,0.82354456,0.37096864,0.7942491,0.7397832,0.5724994,0.61060625,0.7253416,0.72935224,0.38186342,0.68800235,0.8192827,0.48484582,0.7819549,0.53336513,0.73809224,0.71015114,0.59351826,0.33736056,0.550864,0.6433888,0.83813596,0.6719734,0.7165248,0.4863544,0.5752788,0.5263694,0.50565934,0.4735519,0.5195736,1.0816724,1.1169466,0.59706736,0.7071271,0.92423177,0.5800422,0.63454604,1.0052351,1.0870687
0.7705537,1.0101291,0.7863479,0.47381854,0.26925862,0.5535618,0.61513346,0.5601383,0.8208843,0.32803026,0.7678852,0.749447,0.5321029,0.58933216,0.69152796,0.7072964,0.3716039,0.6655873,0.777899,0.44055685,0.7501081,0.50498164,0.7053709,0.69310737,0.5606252,0.28964257,0.5120419,0.5851446,0.8385014,0.65854484,0.7207834,0.46276307,0.57117814,0.48316327,0.502434,0.45093244,0.48916656,1.1192229,1.1160091,0.5798107,0.6942447,0.93446916,0.5500053,0.59716153,1.0122076,1.1300385
0.7337646,0.9995752,0.75467104,0.41489536,0.25020352,0.5325034,0.5920897,0.5358798,0.815084,0.2929885,0.73514235,0.73521024,0.5017287,0.55952626,0.6480396,0.6664224,0.35843638,0.6398848,0.75501156,0.4088465,0.73374224,0.46846855,0.6962901,0.7054128,0.55282867,0.26488572,0.46450457,0.5511137,0.8357632,0.6438004,0.7232583,0.43138373,0.541098,0.4590582,0.4761017,0.42392427,0.44928482,1.1092062,1.0777862,0.5567729,0.6875301,0.88377124,0.5037213,0.567387,0.983645,1.1721662
0.712383,0.9937916,0.7185658,0.38640785,0.22642323,0.507132,0.5837656,0.5137228,0.80020857,0.26108027,0.70599955,0.7462848,0.46666425,0.5421576,0.629958,0.62563044,0.35458586,0.6128881,0.7298124,0.37665644,0.7145116,0.4387212,0.6749213,0.70165133,0.52642876,0.2444181,0.45705754,0.5181557,0.82059884,0.62887293,0.7092193,0.40989277,0.53832465,0.42260948,0.46840474,0.43678293,0.4200876,1.1261694,1.0788594,0.5449344,0.6456094,0.84791905,0.48812872,0.53838617,0.97364783,1.176861
0.6968887,1.009353,0.6864845,0.3481379,0.22359452,0.4992076,0.56105494,0.48029462,0.80414456,0.24620578,0.6835769,0.7470458,0.4567535,0.52892506,0.61095494,0.5934073,0.34607315,0.5993576,0.71887684,0.3582041,0.6982918,0.41242075,0.67212886,0.69419426,0.5111142,0.2227957,0.41790172,0.498814,0.81308407,0.6170353,0.70281726,0.38600037,0.52812636,0.38563284,0.46181428,0.41665202,0.39504316,1.1200248,1.0454216,0.5305004,0.6394593,0.8154759,0.46343964,0.49642295,0.9422663,1.1826185
