index,role,name
0,center,total_gen
1,feature,total_lmp_rt
2,feature,total_pjm_rt_load_mwh
3,feature,metered_load_mw
4,feature,prelim_load_avg_hourly
5,feature,forecast_load_mw_latest_available
6,feature,forecast_load_mw_day_ahead
7,feature,gen_fuel_gas_mw
8,feature,gen_fuel_coal_mw
9,feature,gross_inadv_interchange_mw
10,feature,system_energy_price_rt
11,feature,gen_fuel_nuclear_mw
12,feature,gen_fuel_hydro_mw
13,feature,total_pjm_loc_credit
14,feature,gen_fuel_oil_mw
15,feature,total_losses
16,feature,total_lmp_da
17,feature,system_energy_price_da
18,feature,gen_fuel_multiple_fuels_mw
19,feature,congestion_price_da
20,feature,da_as_nsr_mw_primary_reserve
21,feature,da_as_as_req_mw_primary_reserve
22,feature,da_as_as_req_mw_synchronized_reserve
23,feature,da_as_mcp_synchronized_reserve
24,feature,da_as_as_mw_primary_reserve
25,feature,da_as_total_mw_primary_reserve
26,feature,da_as_mcp_primary_reserve
27,feature,da_as_as_mw_synchronized_reserve
28,feature,da_as_total_mw_synchronized_reserve
29,feature,total_pjm_rmccp_cr
30,feature,net_sched_interchange_mw
31,feature,net_actual_interchange_mw
32,feature,gen_fuel_nuclear_pct
33,feature,gen_fuel_wind_mw
34,feature,wind_generation_mw
35,feature,gross_actual_interchange_mw
36,feature,gross_sched_interchange_mw
37,feature,marginal_loss_price_rt
38,feature,gen_fuel_other_renewables_pct
39,feature,gen_fuel_oil_pct
40,feature,gen_fuel_coal_pct
41,feature,marginal_loss_price_da
42,feature,net_inadv_interchange_mw
43,feature,gen_fuel_gas_pct
44,feature,total_pjm_reg_purchases
45,feature,gen_fuel_other_renewables_mw
46,feature,total_pjm_self_sched_reg
47,feature,da_as_as_req_mw_thirty_minutes_reserve
48,feature,gen_fuel_wind_pct
49,feature,congestion_price_rt
50,feature,gen_fuel_solar_mw
51,feature,gen_fuel_hydro_pct
52,feature,gen_fuel_storage_mw
53,feature,solar_generation_mw
54,feature,rmccp
55,feature,da_as_as_mw_thirty_minutes_reserve
56,feature,da_as_total_mw_thirty_minutes_reserve
57,feature,gen_fuel_multiple_fuels_pct
58,feature,gen_fuel_solar_pct
59,feature,da_as_ss_mw_synchronized_reserve
60,feature,da_as_ss_mw_primary_reserve
61,feature,total_pjm_rmpcp_cr
62,feature,rmpcp
63,feature,total_pjm_assigned_reg
64,feature,da_as_ss_mw_thirty_minutes_reserve
