area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5369949,0.49702615,0.44712383,0.47494084,0.50266886,0.5199934,0.41562098,0.50492793,0.45190823,0.5607509,0.54697764,0.57001805,0.48928657,0.47246623,0.49428573,0.4619028,0.43328327,0.43677363,0.44100004,0.49079484,0.45164138,0.46230948,0.51913667,0.5076062,0.47729775,0.512047,0.41738194,0.4574062,0.56112665,0.55309933,0.5125005,0.4618103,0.4738448,0.44026902,0.5451484,0.49800488,0.49218196,0.49684206,0.47878847,0.5542688,0.58190817,0.41627103,0.42120314,0.3863381,0.39738974,0.37900504
0.54899395,0.4879385,0.41683945,0.4394107,0.5033951,0.51315224,0.3686479,0.49898627,0.42913923,0.5961797,0.56753176,0.59186786,0.54623616,0.4492943,0.47912383,0.4632099,0.38000318,0.3817578,0.41451573,0.5159907,0.45377108,0.4685616,0.5404408,0.5347509,0.48493072,0.5388328,0.37185422,0.45543054,0.615021,0.60066044,0.5287794,0.43121544,0.47719648,0.4760493,0.56518394,0.48105133,0.5242725,0.50571334,0.45486152,0.5958789,0.64982426,0.37711388,0.34958792,0.2854575,0.28947282,0.2531533
0.5577558,0.4940202,0.38003305,0.38498318,0.50477254,0.5047336,0.32549286,0.47694317,0.42144385,0.6345307,0.56342274,0.6017555,0.6004534,0.4279028,0.4701744,0.47052318,0.32689404,0.31553707,0.39751902,0.519159,0.4579526,0.46863958,0.5634158,0.5626857,0.5261192,0.57577765,0.32102332,0.4668734,0.6734065,0.64624083,0.5347075,0.4132155,0.47579348,0.49510297,0.58217037,0.45312756,0.54000425,0.51753676,0.41962248,0.61175245,0.69062614,0.34619272,0.28830385,0.19161521,0.18194737,0.12877053
0.57286453,0.49126777,0.34354746,0.32637128,0.51104444,0.49122643,0.2760537,0.46139213,0.41114008,0.6686747,0.5781039,0.62194973,0.6506112,0.40693146,0.459891,0.47138533,0.28143167,0.2294204,0.3823445,0.5322606,0.4640929,0.46841913,0.59296274,0.57954055,0.5841347,0.60254425,0.27896702,0.47230896,0.7286752,0.6866611,0.54995555,0.37598568,0.47557217,0.51490515,0.59088236,0.41915965,0.5360769,0.5121823,0.39685854,0.6180931,0.715563,0.29162994,0.21678624,0.087132774,0.065433145,0.000108218635
0.59648913,0.47219557,0.29911172,0.25845626,0.5247202,0.48095408,0.21709855,0.4474575,0.40198696,0.71503025,0.5959831,0.64958066,0.7012013,0.39134052,0.45890087,0.46948493,0.22561708,0.15767524,0.3746947,0.5320839,0.4810469,0.47767666,0.61854666,0.59486914,0.62163985,0.6221102,0.248515,0.49102175,0.77801985,0.70542985,0.55998224,0.34484196,0.47687227,0.53894,0.60583806,0.37990716,0.5431644,0.5063937,0.37819675,0.631561,0.7428039,0.22612767,0.13557634,-0.025119951,-0.055044148,-0.13193336
0.60869116,0.45636886,0.2390853,0.17932367,0.5337426,0.46698537,0.15354267,0.43408713,0.3917372,0.74381584,0.60004306,0.6595142,0.7435618,0.35294905,0.44530126,0.45239317,0.1715444,0.06649019,0.35492527,0.53002423,0.49606478,0.47940835,0.6332438,0.6122252,0.6517261,0.6395904,0.22273143,0.48465678,0.82482046,0.7337859,0.5697935,0.3140115,0.46922943,0.559977,0.60619015,0.34010956,0.5370725,0.50280917,0.37006372,0.6435648,0.76710844,0.17351952,0.05894492,-0.133084,-0.17462343,-0.25520045
0.6176364,0.43609816,0.17999792,0.10079562,0.53439015,0.45035678,0.084823474,0.41121396,0.3684705,0.77055013,0.6118462,0.6685291,0.7978182,0.32990554,0.42832518,0.45369917,0.116933405,-0.019972332,0.3504921,0.52848554,0.5050969,0.49261478,0.64479053,0.6272382,0.68859166,0.6689114,0.16818029,0.48151594,0.86827296,0.7484245,0.58280736,0.2843988,0.44620255,0.5899848,0.60492605,0.30506283,0.5357182,0.49282777,0.3481104,0.6540398,0.78692275,0.10160938,-0.0185143,-0.23686464,-0.28250772,-0.36285478
0.6454454,0.42332184,0.11510039,0.003007106,0.53691334,0.44043863,0.024269579,0.38595042,0.34410006,0.7942744,0.6127231,0.6819964,0.8367144,0.30499223,0.41650853,0.44920924,0.052296896,-0.107653044,0.3347299,0.5218384,0.5083648,0.51844305,0.6716344,0.64366585,0.7270936,0.70860237,0.11967289,0.4944459,0.9131604,0.7800435,0.5988357,0.24734683,0.4365784,0.60935485,0.6081393,0.2583909,0.5454477,0.47905293,0.32257125,0.6765506,0.82133543,0.022264425,-0.09678504,-0.33442092,-0.38427117,-0.46001202
0.6785227,0.40875435,0.05630122,-0.062125318,0.5505163,0.422996,-0.047452316,0.35390043,0.31610417,0.83375955,0.6217254,0.7038897,0.8894149,0.28119603,0.39960855,0.44034958,-0.0138757825,-0.19298407,0.32346097,0.52838963,0.51990384,0.5262154,0.6848056,0.66100943,0.7705657,0.74585503,0.058186524,0.50239855,0.9455901,0.80794996,0.62905747,0.2007143,0.42099607,0.62314427,0.60226405,0.20631824,0.547428,0.46137735,0.29846016,0.68406683,0.839104,-0.061549596,-0.16607754,-0.42756602,-0.48017898,-0.5454377
