total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_storage_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_mcp_thirty_minutes_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_ircmwt2_primary_reserve,da_as_ircmwt2_synchronized_reserve,da_as_ircmwt2_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
94257.748,347.7,1741.261,1994.834,14497,39827,1842,357,33659,218,677,1828,0,1741,0.153,0.42,0.02,0.0,0.355,0.0,0.01,0.02,0.0,0.02,87205.0,89322.0,88949.9,88693.559,8.51,2.69,86979.942,98.61776,394.81742,311.40124,143.42118,3883.44,4703.96,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20291.6,4518.6,2506.6,20291.6,95.0,95.0,95.0,0.0,0.0,0.0,2012.0,25.85,26.045726,0.012787,0.182938,24.58,24.646592,0.053592,0.0155,-5649.359,-5612.375,36.98399999999992,12753.359,6908.375,9457.016
94697.368,358.1,1574.093,1750.925,14831,40132,1922,357,33630,217,678,1629,0,1550,0.157,0.422,0.02,0.0,0.354,0.0,0.01,0.02,0.0,0.02,88186.0,88980.0,89814.7,89595.793,14.19,5.69,87890.116,2010.69998,382.62139,307.21872,133.10816,6457.5,6139.45,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20317.7,4518.6,2506.6,20317.7,125.0,125.0,125.0,0.0,0.0,0.0,2012.0,25.85,26.019723,0.011754,0.157969,28.91,28.99681,0.065985,0.018325,-5171.317,-5252.762000000001,-81.44499999999994,12709.317,6790.762000000001,9053.945
95287.063,374.6,1655.371,1411.059,15284,41061,1891,355,33423,218,681,1331,0,1590,0.16,0.43,0.02,0.0,0.35,0.0,0.01,0.01,0.0,0.02,88024.0,88447.0,90593.9,90323.457,7.87,1.63,88533.225,727.49017,388.59455,310.86768,136.124,3542.31,5272.57,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20298.1,4518.6,2506.6,20298.1,125.0,125.0,125.0,0.0,0.0,0.0,2012.0,24.66,24.839578,-0.00051,0.180087,23.84,23.886775,0.028445,0.014997,-5057.239,-5054.603,2.6359999999999673,12729.239,6442.603,8841.364
95125.271,381.9,1845.861,1067.127,15120,41260,1932,354,33119,216,685,1027,0,1783,0.16,0.43,0.02,0.0,0.35,0.0,0.01,0.01,0.0,0.02,88311.0,88472.0,90914.4,90608.72,3.86,4.75,88917.31,56.90009,372.21201,295.7355,132.77261,1660.69,4179.77,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20278.6,4518.6,2506.6,20278.6,125.0,125.0,125.0,0.0,0.0,0.0,2012.0,24.8,25.036135,0.009555,0.22658,23.33,23.370758,0.025864,0.013227,-4588.321,-4486.731,101.58999999999992,12424.321,6490.731,8242.41
96010.106,398.1,1966.728,640.459,15163,41609,2527,355,32899,215,694,658,0,1890,0.16,0.432,0.029,0.0,0.342,0.0,0.01,0.008,0.0,0.02,89805.0,89547.0,91913.3,91613.33,7.73,1.64,89829.018,38.05327,381.98377,349.72956,90.79797,3366.95,2185.58,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20231.7,4518.6,2506.6,20231.7,125.0,125.0,125.0,0.0,0.0,0.0,2012.0,25.28,25.527447,0.02654,0.220907,29.09,29.176751,0.066941,0.01731,-4449.505999999999,-4414.109,35.396999999999935,12767.506,6380.109,8514.603
98243.548,434.3,2036.685,128.451,15538,42956,3276,353,32720,214,697,177,0,2001,0.16,0.439,0.034,0.0,0.335,0.0,0.01,0.0,0.0,0.02,93433.0,92884.0,94504.7,94199.35,20.84,3.99,92320.606,4045.80719,543.8734,352.7388,274.76773,12859.36,4332.25,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20250.9,4518.6,2506.6,20250.9,137.0,137.0,137.0,0.0,0.0,0.0,2012.0,28.04,28.089434,-0.179049,0.228484,32.91,32.991677,0.060909,0.021602,-4085.971,-3936.339,149.63200000000006,13237.971,6291.839,9273.868
101808.735,451.9,1932.084,-7.815,16175,45122,4612,354,32720,214,700,12,15,1878,0.16,0.442,0.046,0.0,0.321,0.0,0.01,0.0,0.0,0.02,97619.0,98172.0,98363.6,97989.65,45.07,2.19,95931.66,1916.96975,556.70008,313.39572,320.82246,28716.09,4039.44,3.98,3.98,0.0,3664.9,2506.6,3664.9,3664.9,2732.9,19321.1,3664.9,2732.9,19321.1,119.0,119.0,119.0,0.0,0.0,0.0,932.0,32.37,32.804077,0.127394,0.306683,41.58,41.647046,0.045528,0.024852,-3874.641,-3776.453,98.1880000000001,13194.641,6294.4529999999995,9061.812
101811.374,441.4,1894.567,-10.251,15893,45285,5115,355,32645,212,702,12,16,1855,0.156,0.442,0.05,0.0,0.32,0.0,0.01,0.0,0.0,0.02,99070.0,98574.0,98732.4,98366.519,26.08,1.69,96388.284,610.6458,540.21616,457.85707,165.59616,16249.76,3602.59,0.0,1.38,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20099.9,4518.6,2506.6,20099.9,89.0,89.0,89.0,0.0,0.0,0.0,2012.0,32.43,32.531708,-0.183289,0.284997,33.82,33.868962,0.032948,0.021014,-3466.8450000000003,-3500.95,-34.10500000000002,13176.845,6038.95,9064.105
100680.935,450.8,2168.154,-9.714,15754,45229,4166,356,32636,212,699,12,15,2069,0.155,0.449,0.04,0.0,0.32,0.0,0.01,0.0,0.0,0.02,98341.0,98227.0,97756.9,97383.414,21.3,1.01,95375.035,13390.48511,572.92014,400.20884,233.70137,13450.6,1687.72,0.0,0.04,0.0,3664.9,2506.6,3664.9,3933.6,2506.6,19718.9,3933.6,2506.6,19718.9,89.0,89.0,89.0,0.0,0.0,0.0,1427.0,31.32,31.479661,-0.061706,0.221367,34.07,34.15718,0.062751,0.021095,-3338.122,-3444.239,-106.11699999999996,12762.122,6088.239,8890.117
99392.341,454.2,2308.678,-8.604,15682,44946,3142,358,32578,215,693,12,6,2230,0.159,0.45,0.03,0.0,0.328,0.0,0.01,0.0,0.0,0.02,97645.0,97554.0,95970.1,95589.247,84.72,2.19,93602.514,47560.21034,568.87398,332.45503,291.71531,48101.4,2994.64,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20330.3,4518.6,2506.6,20330.3,107.0,107.0,107.0,0.0,0.0,0.0,2012.0,29.89,30.006129,-0.121892,0.238021,74.91,75.177557,0.217797,0.045594,-3854.796,-3938.413,-83.61699999999996,12316.796,6150.4130000000005,8831.617
