wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.45317367,0.44144338,0.42554003,0.46423373,0.4493046,0.47131395,0.39561942,0.41163763,0.42217103,0.45576954,0.43860817,0.4589667,0.4409032,0.47952768,0.44009054,0.39907855,0.42294976,0.41192693,0.40243885,0.44327396,0.44434226,0.39092883,0.47055882,0.40606987,0.51581717,0.40015268,0.42787677,0.42977938,0.45592403,0.59128606,0.5789081,0.5915438,0.51513314,0.5911668,0.38967052,0.40298438,0.42223457,0.4305593
0.421698,0.3980239,0.40212145,0.52469844,0.4203433,0.45080137,0.3451319,0.3661121,0.36813056,0.42013434,0.37307948,0.43823022,0.4124187,0.5196261,0.4179276,0.3470908,0.35936084,0.35272998,0.3353532,0.4195333,0.4207566,0.33096892,0.46427676,0.35730413,0.5355105,0.38540018,0.39673024,0.4553935,0.42787156,0.6486876,0.6419044,0.6362743,0.65198094,0.6645126,0.3097319,0.35099646,0.34219527,0.38348404
0.38450965,0.34310868,0.3658406,0.5763647,0.40205824,0.4368061,0.30051622,0.32514274,0.31935924,0.38049906,0.33137673,0.42220855,0.37205422,0.5550257,0.37829962,0.2731859,0.31087694,0.2624054,0.25767875,0.41042286,0.39351904,0.26770854,0.45287648,0.30450723,0.55848485,0.34556937,0.34049615,0.49115822,0.39384502,0.6785055,0.6747195,0.65712285,0.72297555,0.72005844,0.24207768,0.29773194,0.25470316,0.3204559
0.35031158,0.29147714,0.33388633,0.62870526,0.35140103,0.41972658,0.25799146,0.276387,0.28004205,0.33869138,0.28182054,0.40527853,0.34454042,0.5870506,0.35031915,0.18656984,0.24764876,0.19018422,0.20407334,0.40782902,0.36041725,0.20011576,0.45462894,0.25950345,0.58491313,0.32379726,0.30038324,0.5365968,0.35874942,0.70033914,0.712024,0.69651234,0.8040234,0.7781853,0.17450668,0.23552205,0.15595597,0.26241273
0.32545054,0.24760386,0.2971024,0.6822846,0.3212516,0.39658806,0.20930749,0.23322947,0.21363352,0.29559708,0.21471454,0.37321728,0.30523133,0.6314222,0.30205005,0.1155529,0.18918835,0.12216978,0.15993784,0.39579105,0.3375627,0.12304734,0.45032755,0.24647851,0.6064623,0.3024774,0.23329514,0.5764511,0.30565828,0.7313145,0.731889,0.7045784,0.87694377,0.83311796,0.107086174,0.17139173,0.06956849,0.18309058
0.27932414,0.19120757,0.2744556,0.72956485,0.29494703,0.39236394,0.16486038,0.15609671,0.14122924,0.24166605,0.1558149,0.35666218,0.26461792,0.67357403,0.26698753,0.03722191,0.11112842,0.031313717,0.10647067,0.37137893,0.32202372,0.058389444,0.4459789,0.19759649,0.61164296,0.2703958,0.16947864,0.5939902,0.25654626,0.7608795,0.76392806,0.7417186,0.9378764,0.8693929,0.030281067,0.10430722,-0.032788448,0.12658556
0.22546664,0.14415148,0.2302136,0.78002095,0.24947582,0.38763273,0.1287102,0.08812963,0.08750454,0.19532633,0.083353594,0.34765348,0.22027951,0.70917934,0.23149444,-0.060784742,0.031658407,-0.04356654,0.043910567,0.33803603,0.28964582,-0.013522471,0.44245,0.16376494,0.6185682,0.24670595,0.10044365,0.6168164,0.20017739,0.7942343,0.793835,0.76241386,1.0211055,0.91424185,-0.048336916,0.01826684,-0.114095196,0.05595722
0.1748368,0.09562738,0.19576396,0.81583315,0.20985325,0.3710306,0.08156392,0.029152391,0.008144023,0.14979161,0.028525522,0.3307787,0.17925139,0.7221557,0.20422454,-0.13849458,-0.04226168,-0.115462154,-0.012068665,0.31740937,0.2820286,-0.079627834,0.4393919,0.1358404,0.6387122,0.24206808,0.033326726,0.64675087,0.14018947,0.81596607,0.80994207,0.7841786,1.0670583,0.95817965,-0.104371324,-0.06452469,-0.1801327,-0.00034560414
0.12642199,0.06710832,0.1485979,0.8358159,0.17775513,0.35381293,0.02644844,-0.036644507,-0.059307512,0.09671172,-0.029965993,0.31200784,0.13050245,0.7393662,0.15752867,-0.21944389,-0.12079014,-0.19984211,-0.075371385,0.29575938,0.26990968,-0.13976501,0.4443128,0.12069057,0.6466855,0.2161142,-0.015901253,0.6575615,0.07793525,0.8363639,0.8287982,0.80408794,1.1086783,0.99083936,-0.16666704,-0.14155413,-0.2433116,-0.06614871
