方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9517142287637018,da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|total_lmp_rt|gen_fuel_coal_pct|gen_fuel_other_renewables_pct|gross_sched_interchange_mw|gross_inadv_interchange_mw|total_pjm_reg_purchases|wind_generation_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.945564620501413,prelim_load_avg_hourly|da_as_as_mw_thirty_minutes_reserve|wind_generation_mw|gen_fuel_other_renewables_mw|da_as_mcp_synchronized_reserve|gen_fuel_oil_pct|marginal_loss_price_rt|gen_fuel_coal_pct|gen_fuel_oil_mw|gross_inadv_interchange_mw|da_as_mcp_primary_reserve|total_pjm_assigned_reg|gross_sched_interchange_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9486100283531189,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_coal_pct|gen_fuel_wind_mw|gross_sched_interchange_mw|gen_fuel_oil_pct|total_pjm_reg_purchases|total_pjm_rt_load_mwh
XGBoost,树模型特征重要性（2016）,0.953771237413157,gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|total_lmp_rt|system_energy_price_rt|marginal_loss_price_rt|da_as_mcp_primary_reserve|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_mw|forecast_load_mw_latest_available|gross_inadv_interchange_mw|total_pjm_reg_purchases|da_as_as_mw_thirty_minutes_reserve
Lasso,线性稀疏（1996）,0.9384097794450303,da_as_mcp_synchronized_reserve|gen_fuel_oil_mw|marginal_loss_price_rt|gen_fuel_coal_mw|forecast_load_mw_latest_available|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_self_sched_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve
Pearson,相关系数排序（只看两两关系）,0.9142747928522423,gen_fuel_oil_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|forecast_load_mw_latest_available|prelim_load_avg_hourly|marginal_loss_price_rt|total_pjm_rt_load_mwh|gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw
