抽取组合数,原始_绝对误差,原始_相对误差,对称化后_绝对误差,对称化后_相对误差
2048,0.0925286653741684,0.8232275796709984,0.0896281188794196,0.7974214161330353
8192,0.000974878071435932,0.010253844857193793,0.003839878601158496,0.04038814760572356
32768,0.013872161539908445,0.12925235363346396,0.01095534571201974,0.10207523997418602
