wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.04257,0.7183635,1.0268023,0.92874056,0.77000093,0.72795904,1.1083798,0.7883279,0.7440427,0.7898898,1.1023322,1.0777473,0.80531687,0.88125724,0.7379919,0.8070779,0.8903159,0.9823948,1.0933334,0.848474,1.0500551,0.71420103,0.7781534,0.7481729,0.85938245,0.9345223,0.888252,0.7673694,0.7760864,0.87179494,0.7912953,0.9379203,0.8196493,0.8730934,0.9229936,1.009655,0.89893353
0.9472786,0.52985317,0.91807836,0.89714855,0.6325565,0.5578361,1.031102,0.653903,0.60393304,0.6384453,1.0191315,1.0262463,0.6874726,0.79893005,0.5565968,0.6549512,0.76814854,0.9158342,1.0896865,0.7624785,0.90913594,0.55250186,0.61068517,0.57457346,0.7896325,0.79571414,0.7484526,0.6308625,0.61820287,0.7747635,0.6580309,0.8822033,0.72430307,0.77364075,0.92537916,0.95738816,0.78594935
0.8518358,0.40700454,0.8078747,0.8790031,0.5224794,0.43799633,0.94616646,0.5591985,0.50483507,0.51817304,0.9431871,0.96040463,0.58612955,0.73887765,0.422256,0.541486,0.67187524,0.8578878,1.0644335,0.70927763,0.78903455,0.4138808,0.50082815,0.44247082,0.70964414,0.67495775,0.62701714,0.52031624,0.48726523,0.6890858,0.56333816,0.821579,0.6283902,0.70486856,0.9572591,0.8911815,0.6985366
0.76104397,0.3158631,0.7207456,0.84269303,0.443248,0.3461188,0.87451375,0.48663926,0.43454456,0.41332337,0.86324966,0.90583736,0.5064583,0.6779335,0.3382099,0.4456256,0.5992296,0.7984296,1.0502976,0.6704056,0.6915902,0.3239833,0.4039528,0.34090203,0.63826585,0.58061737,0.53379947,0.41963598,0.38400245,0.64039445,0.475306,0.7583628,0.5607555,0.66972053,0.98176247,0.8122044,0.6148209
0.6788706,0.24652764,0.63109314,0.81605923,0.38558227,0.28835228,0.81357986,0.43485165,0.3793094,0.32478994,0.7909655,0.8446327,0.44223505,0.62366426,0.27464318,0.3665008,0.52953154,0.7333847,1.0238714,0.6060246,0.60777706,0.2605191,0.3552434,0.25931638,0.6099168,0.49480388,0.45112133,0.35408813,0.30215383,0.58334553,0.39333487,0.68680406,0.5057822,0.6472915,0.99216187,0.7474301,0.5253434
0.60374874,0.19843335,0.55939937,0.7822031,0.3364567,0.24363631,0.7580295,0.37296808,0.32919386,0.26536015,0.71773434,0.7901953,0.39183304,0.57125163,0.22432993,0.29872367,0.46844563,0.67244077,0.99795294,0.5704041,0.53349584,0.20165905,0.29828528,0.20051214,0.55520934,0.4364643,0.38167727,0.28739056,0.23392068,0.5417465,0.32102004,0.6279867,0.47653055,0.633869,0.98783326,0.6809692,0.45500124
0.54474,0.16200013,0.4950831,0.75820273,0.29365152,0.21174425,0.70887434,0.3237971,0.30540532,0.2144162,0.66332513,0.73889124,0.33972895,0.5362811,0.17982261,0.24512815,0.41818386,0.6150271,0.971109,0.5265164,0.4646527,0.15320478,0.2530082,0.1527879,0.50172913,0.39234912,0.32924682,0.24477854,0.18879503,0.497801,0.2574548,0.5595146,0.4494498,0.61742187,0.9835794,0.61076194,0.39480048
0.4846322,0.13586153,0.43600488,0.72229904,0.2549194,0.18696675,0.6713567,0.27828476,0.29308537,0.17926064,0.60856867,0.69734544,0.29669905,0.49592388,0.14169972,0.20054811,0.3773334,0.5649431,0.9491234,0.47044787,0.4057195,0.11074101,0.22976196,0.116850056,0.4881676,0.3688275,0.30076608,0.21244337,0.14987993,0.46242222,0.21313275,0.5063158,0.4417428,0.61220735,0.9552122,0.5647532,0.34979317
0.43432328,0.114490405,0.37844694,0.6875418,0.2208772,0.1746084,0.61649674,0.24228519,0.26592585,0.15115923,0.55249476,0.66564655,0.2566511,0.45678374,0.11384739,0.16496947,0.33985484,0.51989514,0.93005544,0.4398759,0.35164058,0.08526492,0.20099214,0.08818059,0.45169002,0.344485,0.26659274,0.18940422,0.118467145,0.44490924,0.17567673,0.46150237,0.43766516,0.60987514,0.9285568,0.52989036,0.30169648
