field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
gen_fuel_wind_mw,0.36618027091026306,0.34754931926727295,0.36425063014030457,0.3593267500400543,0.008365070447325706,3,1
gen_fuel_solar_mw,0.2862447202205658,0.24922950565814972,0.26375913619995117,0.2664111256599426,0.015227306634187698,3,1
gen_fuel_natural_gas_mw,0.2321610152721405,0.23306195437908173,0.2518754005432129,0.2390327900648117,0.009088542312383652,3,1
gen_fuel_coal_mw,0.1691942811012268,0.14826548099517822,0.1522211879491806,0.15656031668186188,0.009078350849449635,3,1
reserve_spin_r1_mw,0.168873131275177,0.16186292469501495,0.13261699676513672,0.15445101261138916,0.01570199802517891,3,1
gen_fuel_hydro_mw,0.08026188611984253,0.07238049805164337,0.07626505196094513,0.07630247622728348,0.0032176722306758165,3,1
area_2_load_day_ahead_mw,0.0,0.13038316369056702,0.12900212407112122,0.08646176010370255,0.06114029884338379,2,1
reserve_spin_r3_mw,0.0998087227344513,0.0,0.09723354130983353,0.06568074971437454,0.046455204486846924,2,1
reserve_spin_r2_mw,0.13810782134532928,0.0,0.0,0.04603594169020653,0.0651046484708786,1,0
area_3_load_day_ahead_mw,0.0,0.08837614208459854,0.0,0.02945871464908123,0.041660912334918976,1,0
area_1_load_day_ahead_mw,2.722674356623667e-20,3.7323196364596903e-31,0.01983841508626938,0.006612805183976889,0.00935191847383976,1,0
area_2_load_actual_mw,0.0,0.0,8.627101311976804e-13,2.875700437325601e-13,4.0668545462675676e-13,0,0
area_1_load_actual_mw,6.923418273147713e-14,5.0128979735077704e-26,0.0,2.307806147518101e-14,3.2637304317462146e-14,0,0
area_2_net_export_mw,4.8218180614739356e-14,1.614254413093422e-33,1.635041250612132e-15,1.661774118647246e-14,2.2354852886354026e-14,0,0
system_load_actual_mw,1.6481014822192566e-14,0.0,0.0,5.493671466225364e-15,7.769225055507568e-15,0,0
area_1_net_export_mw,7.92440456193899e-16,0.0,4.565422799687892e-18,2.656686281234203e-16,3.7248856190659095e-16,0,0
area_3_load_actual_mw,4.9744257697410626e-34,0.0,0.0,1.6581418849822308e-34,0.0,0,0
area_3_net_export_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_down_mw,0.0,0.0,0.0,0.0,0.0,0,0
