area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_solar_mw,hour_of_day,day_of_week,month_of_year,is_weekend
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.67362934,0.65681994,0.6889309,0.64709413,0.65934193,0.6534168,0.65045744,0.67176235,0.8121459,0.7944325,0.8219382,0.76180965,0.7375447,0.8273771,0.6426155,0.6566061,0.6871006,0.71420175,0.70233357,0.7826587,0.68161297,0.73356247,0.66093105,0.6811644,0.75190187,0.6740491,1.0912422,0.9427509,0.70564985,0.7214104,0.6925845,0.7202382,0.7350687,0.64736825,0.9391087,0.8228417,0.76003355,0.80527323,0.7048772,0.6710738,0.6677107,0.66295666
0.44760847,0.44422734,0.51692826,0.41700995,0.44592276,0.41702732,0.42557353,0.42869514,0.6254731,0.557365,0.6616639,0.62138206,0.5004657,0.6384224,0.40319043,0.42522258,0.4875191,0.5276286,0.5284108,0.57080233,0.44906402,0.56682533,0.4234442,0.44702896,0.5434977,0.44053024,0.9695852,0.8060572,0.51263475,0.5150752,0.50473195,0.5068599,0.51667225,0.42195186,0.79749197,0.7261515,0.5955438,0.6697416,0.4998662,0.44967982,0.43758914,0.4206808
0.29456955,0.29273063,0.4241986,0.2650064,0.29019216,0.26523295,0.28769797,0.2673836,0.49312732,0.37555146,0.5399134,0.5099784,0.33682126,0.49643904,0.2442603,0.26709184,0.357649,0.38178468,0.4036804,0.39376208,0.29372767,0.45530364,0.26646706,0.279597,0.37723935,0.28244314,0.84858304,0.68298626,0.36649898,0.37004015,0.373526,0.36532044,0.35939068,0.26594156,0.6766123,0.66347146,0.45096034,0.6013597,0.3618622,0.3000321,0.2874814,0.2687701
0.18916741,0.18569633,0.36355457,0.16522062,0.18212245,0.16269854,0.19449139,0.16046669,0.3882907,0.25585425,0.4426007,0.44974482,0.22696517,0.39276564,0.141582,0.16296427,0.27565667,0.26907092,0.30954573,0.26515183,0.1900659,0.3859312,0.16452132,0.16766788,0.25183943,0.1826733,0.7328688,0.5910324,0.2535324,0.25715515,0.28160256,0.27083087,0.24128078,0.16299896,0.5787005,0.6125168,0.33713186,0.56212723,0.2713749,0.20051551,0.18167686,0.17094678
0.119727224,0.114374876,0.3249013,0.101362005,0.11015222,0.09697569,0.13060586,0.09307176,0.30505598,0.18821315,0.3890464,0.404928,0.14734352,0.31082854,0.07951362,0.0962547,0.21936111,0.18869741,0.23898241,0.17863801,0.12133102,0.31953448,0.096885026,0.09596689,0.16356777,0.1173569,0.6400859,0.51162064,0.17271966,0.17581138,0.20997238,0.20420557,0.16329998,0.09516742,0.50189686,0.5666619,0.24757023,0.51465505,0.21569692,0.12902878,0.111964874,0.10507374
0.072579935,0.06752114,0.29915515,0.060513888,0.063712165,0.05602204,0.08810977,0.05181946,0.23686726,0.14141947,0.3299418,0.3681682,0.09356426,0.2547086,0.042482868,0.054599036,0.18191846,0.1286907,0.1782717,0.11858752,0.07621352,0.27452427,0.054628022,0.05264026,0.10177632,0.078252174,0.5597824,0.44381905,0.113406174,0.11985195,0.15660644,0.15888847,0.10641154,0.053166818,0.43123358,0.51582795,0.18348396,0.49377146,0.17619179,0.08395052,0.06874491,0.06321261
0.04233001,0.038367786,0.274624,0.034826815,0.03540746,0.030819593,0.057726823,0.027385063,0.1820525,0.111520916,0.2939696,0.34283346,0.057460453,0.20610952,0.021458,0.029437447,0.15004043,0.086035244,0.13333419,0.0770783,0.04630651,0.22879983,0.029643275,0.0274601,0.061037388,0.05179218,0.49272922,0.3838874,0.07444754,0.07826565,0.11669284,0.1313754,0.070769474,0.02836221,0.37633425,0.48560855,0.13492906,0.4568753,0.1580527,0.055391774,0.04001012,0.03660283
0.02389737,0.020934789,0.25892124,0.019181062,0.018800348,0.016192101,0.037020285,0.013742034,0.13885312,0.092835054,0.26743376,0.31634262,0.03430516,0.17488074,0.010191985,0.015119034,0.12562098,0.056049418,0.0968073,0.051556803,0.027116315,0.1939308,0.015242016,0.013497896,0.035869718,0.035684846,0.44000944,0.33018625,0.04712958,0.05045522,0.089783646,0.1129302,0.046758544,0.014437172,0.33019096,0.45415264,0.10765103,0.43330905,0.14395875,0.033824027,0.02276604,0.019618828
0.012852353,0.010780398,0.24536566,0.010005397,0.009431851,0.007945976,0.022844065,0.006439623,0.102075465,0.08064577,0.24430808,0.2951812,0.019465476,0.14685206,0.004486167,0.007283758,0.105351366,0.035450958,0.06999188,0.03491457,0.014765602,0.16390257,0.0073714177,0.006219947,0.020455044,0.026269952,0.39065906,0.2845908,0.029071044,0.031247536,0.06986364,0.09578601,0.030707743,0.006845345,0.2930153,0.43034562,0.08400172,0.4122754,0.13113132,0.021080725,0.011866314,0.010324308
0.0065077594,0.0051920493,0.23547564,0.0048855,0.0044289934,0.0036163582,0.013371612,0.0028070356,0.07701265,0.07246712,0.22631544,0.27469265,0.010386182,0.12778325,0.0018172137,0.0032813968,0.08921699,0.021579914,0.049816687,0.022417758,0.0074228034,0.13640916,0.0033148348,0.0026755831,0.010995551,0.019322963,0.35631704,0.24417186,0.017439676,0.018695803,0.05439189,0.08333642,0.01972487,0.0030043288,0.25533298,0.40764543,0.06943548,0.39161494,0.12387246,0.012819153,0.005677861,0.0050501474
0.003072618,0.0022982042,0.2237692,0.002196956,0.0019229177,0.0014951738,0.0073431013,0.0011160449,0.057262145,0.066622,0.20940387,0.2639537,0.0051558013,0.107502334,0.000672072,0.0013633347,0.07399779,0.012519554,0.034392744,0.014491963,0.0034223897,0.11352165,0.0013790457,0.0010623019,0.005656767,0.014247632,0.31845388,0.21153362,0.009890993,0.01038629,0.04459259,0.075276375,0.012162144,0.0012013512,0.22951378,0.39442366,0.05941049,0.3733465,0.11793212,0.007417074,0.0024715676,0.0023012853
0.0013346114,0.00093025994,0.21204482,0.0009061722,0.00076797773,0.00056239776,0.003800112,0.00040514997,0.04369921,0.06144573,0.1985086,0.2534656,0.002339045,0.095620885,0.00022548051,0.0005190331,0.060615808,0.00700907,0.023438767,0.009704323,0.0014484979,0.09401377,0.0005289419,0.00038545238,0.0028107415,0.010532183,0.28893092,0.186529,0.005300328,0.005549876,0.03657584,0.06912634,0.007278974,0.0004370085,0.20219561,0.3767152,0.05406763,0.35816172,0.10800214,0.0040245717,0.00095915596,0.0009519235
0.0005307427,0.00034221422,0.20454788,0.00034267473,0.00027944983,0.00019161685,0.0018572076,0.00013332504,0.031767882,0.059458002,0.18689945,0.23361824,0.00096407894,0.08186659,6.818857e-05,0.00017999302,0.04957191,0.0036283487,0.0152583895,0.0062556555,0.00055876374,0.07785195,0.00018521294,0.00012729787,0.0012841178,0.007808774,0.26246807,0.16606277,0.0026310817,0.0027203404,0.03107256,0.06750258,0.0040280484,0.00014415573,0.18083209,0.36272725,0.0477468,0.34739944,0.10197971,0.0019292268,0.00033629252,0.0003595795
0.00019262447,0.00011437066,0.1966351,0.00011838332,9.2320945e-05,5.90317e-05,0.00085036166,3.967589e-05,0.022748923,0.05643872,0.17494613,0.22400509,0.0003642262,0.074435234,1.8487632e-05,5.674601e-05,0.040097747,0.001772428,0.009702889,0.0035823598,0.00019556619,0.062949896,5.8997208e-05,3.8080096e-05,0.00052769855,0.0058905673,0.24627821,0.14675891,0.0012086299,0.0012421544,0.027480684,0.06203105,0.0020654465,4.292803e-05,0.16197777,0.35090116,0.046897553,0.33641395,0.09487728,0.00079928304,0.000105072046,0.00012272464
6.3577216e-05,3.4505196e-05,0.19144036,3.7108988e-05,2.7574726e-05,1.633133e-05,0.00036353513,1.0591022e-05,0.016002953,0.05619774,0.1655379,0.21531215,0.00012518984,0.06886128,4.464501e-06,1.6136028e-05,0.032038324,0.0007912751,0.0058390484,0.0019465826,6.2047395e-05,0.050087836,1.697661e-05,1.02510585e-05,0.00019943347,0.0038175182,0.22346465,0.13005461,0.00050404266,0.0005189295,0.024028912,0.057782706,0.000993897,1.1465512e-05,0.14496537,0.34058946,0.044160306,0.32221746,0.08853786,0.00028738458,2.9129209e-05,3.7795402e-05
1.901097e-05,9.368498e-06,0.18432707,1.0515867e-05,7.4105565e-06,4.0396035e-06,0.00014452064,2.5218758e-06,0.010771297,0.05616983,0.15813227,0.2021714,3.8964117e-05,0.062556915,9.5319854e-07,4.1180215e-06,0.025033662,0.00032753558,0.0033484302,0.0009927617,1.7787946e-05,0.039544042,4.389093e-06,2.4648741e-06,6.8908004e-05,0.0024349447,0.2063906,0.11610819,0.00019196069,0.00019857626,0.020440342,0.05695324,0.00043896292,2.7309236e-06,0.13357598,0.3288672,0.040133912,0.31379288,0.08646673,9.2537804e-05,7.197153e-06,1.0503028e-05
5.127127e-06,2.2761994e-06,0.17809895,2.678008e-06,1.7810617e-06,8.8733674e-07,5.318577e-05,5.315459e-07,0.00694629,0.056242205,0.14804932,0.19896394,1.09671155e-05,0.055225145,1.7841165e-07,9.359615e-07,0.019309226,0.00012502563,0.0018369206,0.0004523131,4.5820266e-06,0.030448437,1.0117575e-06,5.2517964e-07,2.152593e-05,0.0014107226,0.1943491,0.10364016,6.694623e-05,6.963034e-05,0.018120652,0.05585331,0.00017951173,5.7579325e-07,0.120491475,0.31742167,0.040613342,0.30287912,0.08098181,2.6516007e-05,1.5725388e-06,2.6158466e-06
1.2387459e-06,4.910964e-07,0.17546946,6.0826994e-07,3.7980786e-07,1.7162016e-07,1.802511e-05,9.83072e-08,0.0041659526,0.05673962,0.13891836,0.18725637,2.77369e-06,0.04919248,2.8997775e-08,1.8791219e-07,0.014698844,4.378064e-05,0.00095586525,0.00019194811,1.053088e-06,0.023155712,2.0625949e-07,9.828896e-08,6.0979028e-06,0.000690268,0.17613533,0.0934736,2.1242562e-05,2.2224582e-05,0.015906999,0.052201,6.754069e-05,1.0652204e-07,0.11008896,0.30624396,0.04160431,0.29352093,0.0809244,6.7366177e-06,3.017714e-07,5.793193e-07
2.661424e-07,9.331587e-08,0.16776831,1.2222837e-07,7.126412e-08,2.8960832e-08,5.5928986e-06,1.5802222e-08,0.0023493767,0.05803389,0.13432132,0.18397593,6.261261e-07,0.04684965,4.0503636e-09,3.302587e-08,0.010746917,1.4039153e-05,0.00047024182,7.459597e-05,2.1434259e-07,0.017198104,3.6857244e-08,1.6004682e-08,1.5537045e-06,0.0003085385,0.16451852,0.083369955,6.1206933e-06,6.44001e-06,0.013444713,0.05254526,2.3358863e-05,1.7128107e-08,0.10118918,0.29879832,0.038520355,0.28343382,0.07349878,1.5218328e-06,5.0470582e-08,1.13234016e-07
5.041755e-08,1.5471413e-08,0.16085124,2.1534264e-08,1.1654535e-08,4.2209645e-09,1.578758e-06,2.1846767e-09,0.0012484475,0.060516257,0.13003689,0.17031048,1.2513198e-07,0.04060885,4.806712e-10,5.0309072e-09,0.007681534,4.1016165e-06,0.00021831968,2.6695872e-05,3.828801e-08,0.012584596,5.7166463e-09,2.2439501e-09,3.5397898e-07,0.0001217738,0.1520691,0.07571436,1.5919676e-06,1.6852656e-06,0.011525914,0.04987792,7.3926967e-06,2.368783e-09,0.090971045,0.2902119,0.038265195,0.2774074,0.07301674,3.0376773e-07,7.2821913e-09,1.9357705e-08
8.342967e-09,2.215326e-09,0.15726346,3.29369e-09,1.6441606e-09,5.254602e-10,4.0260912e-07,2.568045e-10,0.0006239256,0.061899632,0.12610945,0.16764565,2.1942817e-08,0.040969953,4.786121e-11,6.5708855e-10,0.005410852,1.0848682e-06,9.520224e-05,8.768495e-06,5.944541e-09,0.008937485,7.614079e-10,2.678264e-10,7.153691e-08,4.304368e-05,0.14133072,0.06746674,3.7123255e-07,3.9558142e-07,0.008891552,0.048968203,2.1315982e-06,2.7854813e-10,0.08330308,0.28214225,0.037122153,0.26755857,0.069732286,5.3170616e-08,8.966169e-10,2.8654512e-09
1.1936362e-09,2.7089592e-10,0.15326059,4.326548e-10,1.9783296e-10,5.5195133e-11,9.205175e-08,2.5345361e-11,0.0002887094,0.06242077,0.11718237,0.16537584,3.3431187e-09,0.04023908,3.9439042e-12,7.271619e-11,0.0037018512,2.5796726e-07,3.8870283e-05,2.6343273e-06,7.936569e-10,0.006218402,8.607037e-11,2.6874987e-11,1.27119e-08,1.3840921e-05,0.13332185,0.06021734,7.7024836e-08,8.264888e-08,0.0074108345,0.048572462,5.562978e-07,2.7502223e-11,0.07760218,0.2760416,0.035192087,0.2585367,0.06541247,8.083116e-09,9.3059664e-11,3.6326153e-10
1.4600203e-10,2.7943606e-11,0.14813939,4.8236738e-11,2.0052458e-11,4.82717e-12,1.871523e-08,2.0714697e-12,0.00012502178,0.06463669,0.11356511,0.16065617,4.3778461e-10,0.037584443,2.6491794e-13,6.7301577e-12,0.0024465162,5.4719308e-08,1.4793242e-05,7.1932254e-07,9.005833e-11,0.004212236,8.1521725e-12,2.236414e-12,1.9668216e-09,4.041218e-06,0.12570643,0.05486505,1.4095115e-08,1.5238957e-08,0.0057353727,0.049368635,1.3043771e-07,2.2487218e-12,0.07106538,0.26794878,0.035359263,0.2531599,0.06301037,1.0559451e-09,8.033245e-12,3.896761e-11
1.5081502e-11,2.3989723e-12,0.14544696,4.505829e-12,1.6890547e-12,3.4637503e-13,3.3534326e-09,1.3808923e-13,5.0383944e-05,0.0646982,0.11030858,0.15795143,4.8695187e-11,0.035927143,1.42664e-14,5.135908e-13,0.0015722987,1.0264777e-08,5.2204173e-06,1.7725493e-07,8.574969e-12,0.0027780794,6.379085e-13,1.520332e-13,2.6214841e-10,1.0683996e-06,0.11888383,0.051244315,2.2533406e-09,2.4561588e-09,0.0041268123,0.04769677,2.7270694e-08,1.4997576e-13,0.066668704,0.2600343,0.035086732,0.24611983,0.06383975,1.1714593e-10,5.6831536e-13,3.490702e-12
1.2980355e-12,1.6889235e-13,0.14120504,3.4767827e-13,1.1647847e-13,2.0066178e-14,5.2442706e-10,7.384134e-15,1.8831515e-05,0.06750139,0.10409955,0.15316598,4.54163e-12,0.03524331,6.047478e-16,3.181325e-14,0.0009743361,1.686942e-09,1.6987534e-06,3.9120607e-08,6.755564e-13,0.0017747339,4.060617e-14,8.304853e-15,2.974969e-11,2.5436617e-07,0.11255718,0.045778073,3.114307e-10,3.4247163e-10,0.0025740578,0.04657309,5.0396345e-09,8.0238355e-15,0.062025934,0.2534104,0.034120142,0.23996255,0.060463034,1.08946905e-11,3.2419905e-14,2.5737046e-13
9.172303e-14,9.593624e-15,0.13809769,2.1818739e-14,6.4692213e-15,9.220242e-16,7.082193e-11,3.1097205e-16,6.5101913e-06,0.069779426,0.10260479,0.14889356,3.5017285e-13,0.032944582,1.9774222e-17,1.5722443e-15,0.0005829735,2.4039545e-10,5.067238e-07,7.670272e-09,4.336339e-14,0.0010954764,2.0672188e-15,3.5795522e-16,2.8380583e-12,5.4117358e-08,0.10551954,0.04002039,3.678803e-11,4.084346e-11,0.0014303006,0.047355816,8.154196e-10,3.381011e-16,0.058711946,0.24894021,0.03640331,0.23263991,0.059066527,8.374155e-13,1.464883e-15,1.537234e-14
5.2357982e-15,4.318973e-16,0.13319054,1.0947236e-15,2.841992e-16,3.2952348e-17,8.164029e-12,1.0106986e-17,2.0701823e-06,0.07285236,0.097744785,0.14678732,2.1975873e-14,0.031769987,4.8770693e-19,6.0829373e-17,0.0003350782,2.937317e-11,1.3764604e-07,1.3238302e-09,2.2297924e-15,0.00065404584,8.260472e-17,1.19318305e-17,2.244322e-13,1.02024735e-08,0.10117838,0.036738828,3.668031e-12,4.1148283e-12,0.0007206566,0.046598274,1.1432297e-10,1.09953736e-17,0.05304307,0.24232467,0.034927312,0.22740918,0.055244215,5.237742e-14,5.1405477e-17,7.309097e-16
2.371713e-16,1.5109326e-17,0.13147247,4.309468e-17,9.680875e-18,8.964051e-19,7.9322773e-13,2.4788863e-19,6.026712e-07,0.07338627,0.0964032,0.14413033,1.1035248e-15,0.03147935,8.850098e-21,1.8042054e-18,0.00018482078,3.0398431e-12,3.3807275e-08,1.9913635e-10,9.0155315e-17,0.00037543382,2.5378313e-18,3.0082726e-19,1.4487924e-14,1.6885163e-09,0.09649714,0.032912083,3.0451038e-13,3.4546514e-13,0.00032824598,0.04848399,1.3732112e-11,2.6985622e-19,0.05022345,0.23269862,0.037732918,0.2201181,0.054884173,2.6205463e-15,1.3707941e-18,2.713703e-17
8.35962e-18,4.0189767e-19,0.12728943,1.3036302e-18,2.501312e-19,1.8121198e-20,6.4066414e-14,4.4751913e-21,1.5944802e-07,0.07409426,0.09742279,0.14221483,4.3512992e-17,0.028746387,1.1492978e-22,4.0083017e-20,9.7427095e-05,2.6290865e-13,7.449845e-09,2.5825673e-11,2.8078166e-18,0.00020672726,5.8588653e-20,5.5969863e-21,7.506939e-16,2.4282718e-10,0.09255104,0.029836623,2.0735146e-14,2.3812736e-14,0.00013583928,0.04932181,1.3957935e-12,4.875305e-21,0.047211777,0.22626066,0.034269225,0.21681827,0.054404978,1.0292034e-16,2.7114674e-20,7.701827e-19
2.2435188e-19,7.934234e-21,0.12550794,2.9614365e-20,4.7838916e-21,2.650676e-22,4.236548e-15,5.784206e-23,3.807447e-08,0.07735602,0.09179777,0.14241828,1.3195972e-18,0.0286971,1.0355051e-24,6.5003926e-22,4.89645e-05,1.8725654e-14,1.4605767e-09,2.8535924e-12,6.584323e-20,0.00010881948,9.908664e-22,7.476531e-23,3.064779e-17,3.000814e-11,0.08700605,0.026191643,1.1392193e-15,1.3257581e-15,5.1596788e-05,0.048131645,1.1844319e-13,6.3063535e-23,0.043612767,0.22179411,0.03501587,0.21086161,0.052889366,3.1077066e-18,3.8729365e-22,1.632001e-20
