feature,mask_mse,mask_r2,mask_sensitivity
da_as_as_mw_thirty_minutes_reserve,0.7520164251327515,0.26184362122226734,0.0061606764793396
da_as_total_mw_thirty_minutes_reserve,0.7519261837005615,0.26193222893443113,0.006070435047149658
da_as_as_req_mw_thirty_minutes_reserve,0.7501744627952576,0.2636516187142689,0.004318714141845703
da_as_as_req_mw_primary_reserve,0.7503718137741089,0.2634579394053588,0.0045160651206970215
da_as_as_req_mw_synchronized_reserve,0.7517519593238831,0.2621032132357741,0.005896210670471191
total_pjm_assigned_reg,0.7473607659339905,0.2664134925192796,0.0015050172805786133
da_as_as_mw_primary_reserve,0.7510032057762146,0.26283819991660584,0.005147457122802734
da_as_total_mw_primary_reserve,0.7498582005500793,0.2639620887044375,0.0040024518966674805
da_as_as_mw_synchronized_reserve,0.7482279539108276,0.2655622868198486,0.0023722052574157715
total_pjm_reg_purchases,0.7476001381874084,0.2661785391663809,0.001744389533996582
gen_fuel_other_renewables_mw,0.7781947255134583,0.23614778485864552,0.03233897686004639
total_lmp_da,0.7575061321258545,0.25645507183112815,0.011650383472442627
total_pjm_rmpcp_cr,0.7469618916511536,0.26680502427451147,0.0011061429977416992
forecast_load_mw_day_ahead,0.753487229347229,0.26039994434292346,0.007631480693817139
total_pjm_rmccp_cr,0.7507331371307373,0.2631032798916402,0.0048773884773254395
da_as_total_mw_synchronized_reserve,0.7489429712295532,0.264860456573246,0.0030872225761413574
system_energy_price_da,0.7533987760543823,0.260486779900844,0.007543027400970459
gen_fuel_multiple_fuels_pct,0.7469901442527771,0.2667772986355441,0.0011343955993652344
gen_fuel_multiple_fuels_mw,0.7467387914657593,0.26702397107295484,0.0008830428123474121
marginal_loss_price_rt,0.748245358467102,0.2655451941063409,0.0023896098136901855
gen_fuel_gas_pct,0.7484358549118042,0.2653582032505425,0.002580106258392334
marginal_loss_price_da,0.7478256821632385,0.2659571342185034,0.00196993350982666
total_lmp_rt,0.7442861795425415,0.2694314140293105,-0.0015695691108703613
rmccp,0.7506141662597656,0.2632200134066327,0.00475841760635376
system_energy_price_rt,0.7446609735488892,0.26906349194190027,-0.001194775104522705
rmpcp,0.744264543056488,0.26945262271396386,-0.0015912055969238281
gen_fuel_wind_pct,0.74232017993927,0.2713611756677048,-0.0035355687141418457
wind_generation_mw,0.7424938082695007,0.2711907630290209,-0.003361940383911133
gross_inadv_interchange_mw,0.7461080551147461,0.26764308173278273,0.0002523064613342285
da_as_mcp_primary_reserve,0.7414355278015137,0.2722295312469094,-0.004420220851898193
total_pjm_rt_load_mwh,0.7532776594161987,0.2606056285676752,0.007421910762786865
metered_load_mw,0.7486391663551331,0.26515863581624344,0.0027834177017211914
forecast_load_mw_latest_available,0.7480772733688354,0.2657101759497632,0.002221524715423584
gross_actual_interchange_mw,0.7407867312431335,0.27286636344917015,-0.00506901741027832
total_pjm_loc_credit,0.7521934509277344,0.2616698929401605,0.00633770227432251
total_losses,0.7586036920547485,0.2553777735500148,0.01274794340133667
net_inadv_interchange_mw,0.7512074112892151,0.26263771782205214,0.005351662635803223
da_as_nsr_mw_primary_reserve,0.7423263192176819,0.27135511604351814,-0.0035294294357299805
total_pjm_self_sched_reg,0.7549445033073425,0.2589695300372713,0.009088754653930664
da_as_ss_mw_synchronized_reserve,0.7508459687232971,0.2629924916683025,0.004990220069885254
da_as_ss_mw_thirty_minutes_reserve,0.7483121156692505,0.26547968156560564,0.002456367015838623
da_as_ss_mw_primary_reserve,0.7496294975280762,0.26418658063067424,0.0037737488746643066
gen_fuel_coal_pct,0.7371440529823303,0.27644188471690756,-0.008711695671081543
congestion_price_rt,0.7411574721336365,0.27250244300037374,-0.004698276519775391
da_as_mcp_synchronized_reserve,0.7466298937797546,0.26713087199021035,0.0007741451263427734
congestion_price_da,0.7588356733322144,0.255150080312887,0.01297992467880249
