feature,gate_abs,effective_norm,gate_score,mask_sensitivity,mask_sensitivity_score,combined_score
gen_fuel_other_renewables_mw,1.0752075,1.512646,0.73558116,0.03233897686004639,0.9999999999690776,0.8677905797803762
congestion_price_da,1.3371197,2.0563958,1.0,0.01297992467880249,0.40137091332772923,0.7006854566638646
total_lmp_da,1.0773789,1.6729205,0.81352067,0.011650383472442627,0.36025825809214107,0.5868894640146374
total_losses,0.9181352,1.3993301,0.6804771,0.01274794340133667,0.39419748670812427,0.5373372847187319
system_energy_price_da,0.9900306,1.5502759,0.75388014,0.007543027400970459,0.2332487955132663,0.4935644693394273
marginal_loss_price_rt,1.0074654,1.6635461,0.80896205,0.0023896098136901855,0.0738925607930586,0.4414273039465629
total_pjm_rmccp_cr,0.96220183,1.453296,0.70672,0.0048773884773254395,0.15082074174091922,0.42877036814295105
rmccp,0.88846827,1.3062626,0.63521945,0.00475841760635376,0.14714187238513002,0.3911806635752249
congestion_price_rt,0.9226728,1.5928112,0.7745645,-0.004698276519775391,0.0,0.38728225231170654
total_pjm_loc_credit,0.8648568,1.1845194,0.57601726,0.00633770227432251,0.19597720427440393,0.38599723241292827
da_as_total_mw_thirty_minutes_reserve,0.79362965,1.1594298,0.5638165,0.006070435047149658,0.18771265007031637,0.3757645689297352
total_pjm_self_sched_reg,0.7707881,0.94026744,0.4572405,0.009088754653930664,0.28104645032472997,0.369143471215107
da_as_as_mw_thirty_minutes_reserve,0.7520146,1.1156039,0.5425045,0.0061606764793396,0.19050313514279374,0.3665038122823191
gross_inadv_interchange_mw,0.96938914,1.4856383,0.72244763,0.0002523064613342285,0.007801930853234319,0.36512478229826023
net_inadv_interchange_mw,0.7332645,1.1070606,0.5383499,0.005351662635803223,0.1654864548992432,0.3519181906854767
marginal_loss_price_da,0.8877092,1.3105619,0.63731015,0.00196993350982666,0.06091514639721102,0.34911264684133625
gross_actual_interchange_mw,0.8545608,1.2861701,0.6254487,-0.00506901741027832,0.0,0.31272435188293457
forecast_load_mw_day_ahead,0.63026047,0.7656492,0.3723258,0.007631480693817139,0.23598398695815168,0.3041548973839907
total_pjm_rt_load_mwh,0.6215044,0.7519822,0.3656797,0.007421910762786865,0.22950357380436667,0.297591642453903
da_as_ss_mw_synchronized_reserve,0.6310797,0.905546,0.4403559,0.004990220069885254,0.15430976964197582,0.29733283329587196
gen_fuel_multiple_fuels_mw,0.860109,1.1526157,0.5605028,0.0008830428123474121,0.02730583642586025,0.2939043317966856
system_energy_price_rt,0.8093104,1.2010049,0.5840339,-0.001194775104522705,0.0,0.2920169532299042
total_lmp_rt,0.7599551,1.1472094,0.55787385,-0.0015695691108703613,0.0,0.2789369225502014
total_pjm_rmpcp_cr,0.7867776,1.069847,0.5202534,0.0011061429977416992,0.034204638028424876,0.27722902895226176
da_as_mcp_primary_reserve,0.7849701,1.1376171,0.55320925,-0.004420220851898193,0.0,0.27660462260246277
gen_fuel_multiple_fuels_pct,0.6956404,1.0552567,0.5131584,0.0011343955993652344,0.03507827734437882,0.27411832916481943
da_as_ss_mw_primary_reserve,0.59689575,0.8423974,0.4096475,0.0037737488746643066,0.11669351479112318,0.26317050467282144
da_as_as_req_mw_synchronized_reserve,0.5635341,0.6916818,0.33635637,0.005896210670471191,0.1823252076219337,0.2593407896315464
total_pjm_assigned_reg,0.64050967,0.93617004,0.455248,0.0015050172805786133,0.04653880322328527,0.2508934007304476
forecast_load_mw_latest_available,0.622431,0.87684864,0.42640072,0.002221524715423584,0.06869495979940853,0.2475478404362796
gen_fuel_coal_pct,0.74619323,1.0097067,0.49100798,-0.008711695671081543,0.0,0.2455039918422699
da_as_total_mw_synchronized_reserve,0.60524386,0.79208845,0.3851829,0.0030872225761413574,0.09546444803762616,0.24032366767668814
rmpcp,0.7082117,0.9698618,0.47163188,-0.0015912055969238281,0.0,0.23581594228744507
da_as_ss_mw_thirty_minutes_reserve,0.58939326,0.81062716,0.39419803,0.002456367015838623,0.07595685622316076,0.23507744322827195
da_as_as_mw_synchronized_reserve,0.61178833,0.81596273,0.39679265,0.0023722052574157715,0.07335436948449625,0.23507350985363729
metered_load_mw,0.6345569,0.7853158,0.38188943,0.0027834177017211914,0.0860700607097416,0.23397974668921376
da_as_as_req_mw_thirty_minutes_reserve,0.53491896,0.6773097,0.32936737,0.004318714141845703,0.1335451693602518,0.23145626938681382
da_as_mcp_synchronized_reserve,0.68048334,0.89103234,0.43329808,0.0007741451263427734,0.023938454505506104,0.22861826783254888
da_as_as_req_mw_primary_reserve,0.501492,0.6316952,0.30718562,0.0045160651206970215,0.1396477427254913,0.22341668139749754
da_as_as_mw_primary_reserve,0.4488017,0.57138526,0.27785763,0.005147457122802734,0.1591719226282343,0.21851477703658267
da_as_total_mw_primary_reserve,0.45308414,0.59614664,0.28989878,0.0040024518966674805,0.1237655697601428,0.20683217636433196
gen_fuel_gas_pct,0.5169017,0.66039544,0.3211422,0.002580106258392334,0.07978317525252869,0.20046268595390107
total_pjm_reg_purchases,0.6176649,0.70341974,0.34206438,0.001744389533996582,0.05394077683693729,0.19800257874134464
da_as_nsr_mw_primary_reserve,0.57737756,0.70003086,0.3404164,-0.0035294294357299805,0.0,0.17020820081233978
gen_fuel_wind_pct,0.39972004,0.5153823,0.2506241,-0.0035355687141418457,0.0,0.12531204521656036
wind_generation_mw,0.3527835,0.40978745,0.1992746,-0.003361940383911133,0.0,0.09963729977607727
