area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw
1.0074649,0.4438049,-0.1876746,-0.012106825,1.0987501,-0.29959393,-0.24856651,-0.13257308,0.31562135,1.2165513,0.4479103,-0.17090508,1.1712633,0.56495225,0.38090762,1.6819938,0.96913517,1.1822889,0.009453425,1.3091261
1.0348136,0.45788607,-0.22278634,-0.071720004,1.1171876,-0.35184714,-0.28374222,-0.17744838,0.29781997,1.2185792,0.4201006,-0.22569564,1.216841,0.5671373,0.376833,1.7195493,1.0037973,1.1997074,-0.016001673,1.3363792
1.0484649,0.46555683,-0.25024438,-0.1206166,1.1343454,-0.38804305,-0.32227457,-0.21489401,0.2644619,1.2535007,0.40910727,-0.27767527,1.2423068,0.5854776,0.36877602,1.7426704,1.03214,1.226005,-0.053956762,1.3612307
1.0676366,0.47750148,-0.28899148,-0.1778474,1.1595352,-0.42824963,-0.3692989,-0.26377076,0.22737268,1.2730455,0.37993562,-0.34116095,1.2729391,0.59028834,0.37681946,1.7649263,1.0695655,1.2706252,-0.08321191,1.3968711
1.0848405,0.4898426,-0.33163851,-0.23008505,1.1817026,-0.46139538,-0.42104912,-0.31888345,0.19409987,1.2973224,0.36034232,-0.3979291,1.2921053,0.6098463,0.38313815,1.7867833,1.1025206,1.3069668,-0.11386459,1.436332
1.0946592,0.48891652,-0.3717892,-0.28682095,1.2274619,-0.49378812,-0.4774984,-0.36918736,0.16334683,1.3067044,0.33281633,-0.4520797,1.310217,0.64637035,0.3875126,1.7978034,1.1490936,1.3367745,-0.14561412,1.4630042
1.111842,0.49704486,-0.41282195,-0.3425697,1.2473962,-0.53406197,-0.51133186,-0.42248428,0.115426585,1.321066,0.30606037,-0.49318102,1.3427293,0.6814804,0.38029715,1.8143618,1.1785425,1.3663813,-0.16327626,1.4842399
1.1299818,0.49431795,-0.45061737,-0.37980992,1.2780328,-0.5661818,-0.5341206,-0.47527277,0.07855169,1.3443851,0.27140749,-0.53078336,1.3671566,0.69030124,0.37357664,1.8550645,1.209416,1.3999903,-0.19191432,1.5091114
1.1524808,0.5057613,-0.4880553,-0.41820988,1.2938155,-0.588778,-0.56315374,-0.5239346,0.032742284,1.3668818,0.2370308,-0.57454216,1.3875026,0.7071317,0.3723839,1.8745676,1.2353802,1.4251469,-0.22340244,1.541981
1.1713864,0.5044463,-0.5236656,-0.4549362,1.3208842,-0.6118185,-0.589346,-0.55898166,-0.028789358,1.4017476,0.19388016,-0.62195575,1.4067699,0.7185201,0.3654266,1.8965399,1.26025,1.4464502,-0.24634132,1.5710104
1.1901374,0.5220007,-0.53693855,-0.48490813,1.3565776,-0.6386098,-0.6318531,-0.591178,-0.078070976,1.4279157,0.16129032,-0.65887296,1.4406763,0.7491693,0.34625715,1.8960385,1.303969,1.4540776,-0.274294,1.5969101
1.2155676,0.5157473,-0.5790474,-0.5252073,1.3768845,-0.66723454,-0.6552564,-0.6300008,-0.1315195,1.4627283,0.12304082,-0.69815856,1.4583677,0.7934959,0.32932892,1.932,1.3380039,1.4955273,-0.30959213,1.6162174
1.2480453,0.50846773,-0.6119139,-0.56903934,1.4109206,-0.7054362,-0.6857208,-0.6605176,-0.17690529,1.4899658,0.08610728,-0.73587596,1.490422,0.82170516,0.31895098,1.9377993,1.3773386,1.5090662,-0.3167698,1.642541
1.2607945,0.51953226,-0.64424956,-0.6034411,1.4520974,-0.7298965,-0.725342,-0.69771874,-0.23350513,1.509138,0.042273026,-0.76387894,1.5105314,0.8460863,0.3150896,1.9452213,1.404215,1.5282048,-0.32847494,1.6618606
1.2683564,0.5325451,-0.6812219,-0.62977713,1.4603019,-0.7783649,-0.7460442,-0.72908896,-0.2864704,1.5257665,-0.0016087661,-0.79966515,1.522505,0.88340586,0.3060319,1.9698812,1.4236896,1.5494729,-0.3662799,1.6820737
1.2794833,0.5316653,-0.71220535,-0.6701446,1.4823616,-0.8023669,-0.7709273,-0.7579225,-0.32771417,1.5521364,-0.054518215,-0.8395927,1.5377465,0.9290502,0.30464643,1.9707699,1.4400594,1.5770744,-0.39622208,1.7047265
1.3041722,0.5333042,-0.73050237,-0.7092326,1.5200369,-0.8292029,-0.7882336,-0.79793507,-0.37763843,1.5944792,-0.115096755,-0.8697183,1.5592843,0.9709668,0.30153325,1.9994093,1.4667083,1.5860621,-0.4313071,1.7245779
1.3237591,0.53841555,-0.7699932,-0.7381426,1.5374725,-0.8484686,-0.8158575,-0.82567376,-0.4218653,1.6096623,-0.1686858,-0.89141065,1.5812676,1.0126269,0.3001888,1.9995279,1.4930441,1.6106,-0.46575636,1.7490224
1.3346136,0.5384972,-0.8011825,-0.7721536,1.5521979,-0.87595606,-0.8467615,-0.8527659,-0.47150227,1.6290332,-0.22594453,-0.91005063,1.5965337,1.0403928,0.3109117,2.0231457,1.5211538,1.6259853,-0.48737553,1.7765654
1.3354445,0.5360742,-0.8242606,-0.79001164,1.5696989,-0.897114,-0.8838729,-0.8707302,-0.5136139,1.6510615,-0.27625337,-0.9312629,1.6084138,1.0969466,0.30443126,2.0231583,1.5442168,1.6375228,-0.5214064,1.8011585
1.3428665,0.52118427,-0.85073715,-0.8163636,1.5847484,-0.9126241,-0.9110072,-0.9012496,-0.5479662,1.6700109,-0.33370999,-0.96353155,1.629401,1.1476802,0.29042035,2.0370886,1.5611447,1.666414,-0.53754073,1.8053408
1.3554101,0.52141666,-0.87281346,-0.8523054,1.6162511,-0.9341274,-0.94148266,-0.92632216,-0.58463234,1.6987455,-0.3892115,-0.99063724,1.6422015,1.2040372,0.28672084,2.0518,1.5972043,1.6742069,-0.57485956,1.8393697
1.3713722,0.5214239,-0.8921294,-0.87123734,1.6334289,-0.95696306,-0.96027154,-0.9491854,-0.6295148,1.7178311,-0.43205565,-1.0130013,1.660982,1.264605,0.2853956,2.0725484,1.6152332,1.6799753,-0.6067891,1.8493787
1.3822501,0.50798404,-0.9129023,-0.90651643,1.6656986,-0.97734386,-0.973663,-0.9779035,-0.65814996,1.7236176,-0.49121675,-1.0352411,1.6792523,1.2988198,0.27183965,2.074407,1.6501857,1.7028013,-0.6248055,1.8590815
1.4007263,0.5049151,-0.9454425,-0.9236391,1.6845202,-0.9928143,-0.99331677,-1.0014334,-0.7002588,1.7513175,-0.5376323,-1.0636818,1.7053328,1.3395545,0.26224604,2.0816672,1.6500249,1.7148257,-0.64515835,1.8637886
1.4143401,0.49278995,-0.9634925,-0.93582547,1.7043322,-1.0114985,-1.0228151,-1.0187662,-0.7292255,1.7762117,-0.5824881,-1.0855913,1.718969,1.3758191,0.2447678,2.087609,1.6568356,1.7419026,-0.6721459,1.8732898
1.4308554,0.47983435,-0.9606317,-0.9560478,1.7181354,-1.0305686,-1.0436274,-1.0480131,-0.7563006,1.8010225,-0.61924994,-1.1096683,1.7364084,1.4171836,0.2352074,2.0936503,1.678609,1.7683195,-0.7004828,1.8794104
1.4594271,0.4594506,-0.9764054,-0.9747101,1.7575126,-1.0487608,-1.0634109,-1.0685623,-0.7851454,1.8141472,-0.66394776,-1.1422024,1.7684618,1.4642441,0.22970754,2.1025724,1.7014184,1.7813191,-0.73765063,1.8914514
1.4691173,0.43447658,-1.0058063,-0.99348503,1.7797667,-1.067989,-1.0844438,-1.0860513,-0.8085228,1.8229969,-0.6990628,-1.1773305,1.7803547,1.5022519,0.2256433,2.1067822,1.7187082,1.7955511,-0.76251197,1.9204595
1.47626,0.40739483,-1.0363015,-1.0235785,1.7886292,-1.0806438,-1.0883474,-1.1012003,-0.84716535,1.8320348,-0.73638207,-1.1901246,1.7989221,1.5552983,0.21762076,2.107878,1.7391071,1.80595,-0.7874118,1.9333526
1.5071806,0.3905795,-1.025553,-1.0288774,1.8178498,-1.1074177,-1.1041375,-1.1310644,-0.86824983,1.8629557,-0.7704175,-1.2036548,1.8021581,1.5992595,0.20773222,2.1081944,1.7680174,1.8142753,-0.80956143,1.944296
1.5251452,0.3533994,-1.0426103,-1.051985,1.8389703,-1.1294539,-1.128011,-1.1454134,-0.8945249,1.8683691,-0.7992617,-1.2160037,1.8034368,1.6284478,0.18677081,2.1154435,1.8009745,1.820799,-0.8243303,1.9455446
1.5412842,0.32518443,-1.0626473,-1.0723622,1.8576568,-1.1445767,-1.1366358,-1.1601589,-0.9177655,1.8728262,-0.83230036,-1.2284739,1.8192401,1.6641494,0.17615649,2.1141872,1.8119586,1.8352839,-0.84855694,1.9500186
1.5486727,0.27824965,-1.0792357,-1.0867631,1.868799,-1.1723908,-1.1507863,-1.1739541,-0.93932474,1.8975801,-0.86108327,-1.2410512,1.8353161,1.6972458,0.17462805,2.1504562,1.8356062,1.8487433,-0.8709007,1.9742154
1.5639122,0.23136081,-1.0927088,-1.0993154,1.8838768,-1.1861427,-1.1656375,-1.1917819,-0.95625377,1.9079455,-0.89458984,-1.2537218,1.8558129,1.7156464,0.15732944,2.1568923,1.8429974,1.858646,-0.8992239,1.9825404
1.57951,0.20609573,-1.1064476,-1.122131,1.9069453,-1.1997752,-1.1804962,-1.207857,-0.9830755,1.9215007,-0.9131141,-1.2640581,1.875578,1.7525767,0.1413217,2.156893,1.8425956,1.8763796,-0.9049603,1.9941715
1.5803775,0.16466649,-1.1192727,-1.1459998,1.9206221,-1.2146412,-1.209969,-1.2230474,-1.0170654,1.9524763,-0.94129443,-1.2755649,1.8983783,1.7814612,0.11762296,2.167593,1.8610362,1.8737962,-0.9386951,2.0179496
1.60178,0.118758135,-1.130822,-1.1584179,1.9280345,-1.228292,-1.2260698,-1.241766,-1.0326726,1.9541705,-0.9673738,-1.2885257,1.9137843,1.8011277,0.11621696,2.1677527,1.8849441,1.8823195,-0.95350784,2.048277
1.6130962,0.068601035,-1.1393843,-1.1699766,1.9397315,-1.2564617,-1.2388891,-1.249188,-1.0459186,1.9819229,-0.9856271,-1.3015267,1.9224042,1.811108,0.08587746,2.1731346,1.8970084,1.8912251,-0.981947,2.0602727
1.6171035,0.019178575,-1.1525233,-1.1830591,1.9502827,-1.2655745,-1.2522794,-1.2639599,-1.0587867,1.9878298,-1.0086614,-1.305305,1.925726,1.8318702,0.08151325,2.191849,1.9105974,1.8900502,-0.99947304,2.058965
1.639008,-0.04306178,-1.1658823,-1.2046129,1.9526381,-1.277666,-1.2759942,-1.2786633,-1.0730075,2.0083332,-1.0288724,-1.3164239,1.9253925,1.8465093,0.06257998,2.1937754,1.910136,1.8980042,-1.0126768,2.0618887
1.6585256,-0.102981135,-1.1793408,-1.2160745,1.9664474,-1.2815648,-1.2851868,-1.2932898,-1.0838654,2.0087595,-1.0392272,-1.3158311,1.9444876,1.8569679,0.047573876,2.1960328,1.9185884,1.8974322,-1.0142158,2.081979
1.6559129,-0.16439663,-1.1928847,-1.236585,1.9806743,-1.2939613,-1.3084427,-1.3173676,-1.0972085,2.016571,-1.0538448,-1.3182727,1.9605801,1.8922832,0.0194652,2.1960328,1.9528339,1.9077652,-1.0268354,2.0935662
1.681497,-0.21963945,-1.2036281,-1.2521368,1.9884382,-1.2928082,-1.3189925,-1.333623,-1.1239128,2.0250762,-1.0699371,-1.3299458,1.9717021,1.9125338,0.0032897398,2.206037,1.9545684,1.9357017,-1.054301,2.0960112
1.6951107,-0.27697882,-1.2087507,-1.2626816,2.0098536,-1.3366104,-1.329693,-1.3462546,-1.1370046,2.0436752,-1.0956432,-1.3559253,1.9767069,1.9405649,-0.015635356,2.2065413,1.9548111,1.9529357,-1.0744041,2.1035995
1.7028652,-0.32981655,-1.2182173,-1.2733905,2.0104983,-1.3480918,-1.3432726,-1.3656284,-1.1491702,2.06251,-1.1049985,-1.3655953,1.9925238,1.9635264,-0.05759123,2.2146688,1.9781902,1.9711986,-1.0901262,2.118445
1.7024156,-0.38793686,-1.2322451,-1.2976234,2.0131814,-1.355248,-1.354068,-1.3761557,-1.1615044,2.083616,-1.1387043,-1.3754215,2.0090444,1.9733818,-0.09031179,2.2419016,1.9942998,1.9794196,-1.1035917,2.128034
1.73177,-0.4420721,-1.2462802,-1.3031101,2.0184786,-1.3615323,-1.3649793,-1.3785617,-1.1793519,2.1059666,-1.1571697,-1.3854041,2.0362797,1.9961693,-0.11837805,2.2468345,2.0159094,1.9936725,-1.1204244,2.1350532
1.7357206,-0.49296817,-1.2603153,-1.3125378,2.035582,-1.3922609,-1.3849906,-1.3901012,-1.2083774,2.1189604,-1.1734444,-1.3904593,2.038468,2.0190268,-0.14296615,2.2557762,2.01793,1.9910995,-1.113807,2.1609015
1.7400073,-0.5396628,-1.2743427,-1.3223016,2.0305967,-1.3953899,-1.3907127,-1.392893,-1.2173928,2.1285737,-1.1897577,-1.3896675,2.053436,2.0238569,-0.18198416,2.25578,2.0296738,2.0038862,-1.1248025,2.168034
1.7399703,-0.58328205,-1.2949896,-1.3322442,2.0361855,-1.4026114,-1.4007927,-1.4044791,-1.2211685,2.1293337,-1.21087,-1.4001508,2.0623221,2.0377297,-0.20904872,2.25578,2.0295568,2.0105834,-1.1413314,2.1682634
1.7581729,-0.62517667,-1.308163,-1.3423556,2.0394287,-1.4059945,-1.4110084,-1.416299,-1.2324327,2.1341088,-1.2382913,-1.4135172,2.064854,2.0388758,-0.24665129,2.254464,2.0374992,2.0095584,-1.1446973,2.1670046
1.7746768,-0.6698627,-1.3213505,-1.3526251,2.054665,-1.409554,-1.4213499,-1.4281555,-1.2420481,2.1634307,-1.255994,-1.4240606,2.0664089,2.0538785,-0.2766126,2.2756612,2.0410194,2.0283077,-1.166672,2.1616075
1.804378,-0.70769924,-1.3345451,-1.3630427,2.0617776,-1.4132959,-1.4338348,-1.4400382,-1.2806827,2.1831539,-1.2656524,-1.4347031,2.070176,2.0512528,-0.3013092,2.2945561,2.056135,2.051785,-1.1866165,2.1691933
1.8274809,-0.7532817,-1.3513787,-1.3735967,2.0617776,-1.424431,-1.4442592,-1.4537284,-1.2885054,2.1839533,-1.2721106,-1.4454399,2.0872228,2.0616472,-0.32929075,2.3003857,2.0690367,2.0577044,-1.2065924,2.1858754
1.8337152,-0.78838253,-1.3642042,-1.3842769,2.090981,-1.4283162,-1.4547801,-1.463235,-1.2952132,2.184463,-1.2991296,-1.453384,2.0999045,2.0754554,-0.3679686,2.3003857,2.0774302,2.076336,-1.208333,2.193988
1.8455259,-0.821469,-1.3740672,-1.395072,2.091121,-1.4323561,-1.4653933,-1.4735531,-1.2930683,2.1888552,-1.31756,-1.4644051,2.1018553,2.096452,-0.40799454,2.3034084,2.0775495,2.0908577,-1.2302159,2.193988
1.8487041,-0.8525341,-1.3870553,-1.4059722,2.097009,-1.4323367,-1.4760886,-1.4685569,-1.2958748,2.1888552,-1.328969,-1.475498,2.108475,2.107574,-0.4383756,2.309209,2.0836418,2.1041327,-1.2387348,2.193988
1.863475,-0.8878227,-1.4000245,-1.4169667,2.1173296,-1.4368358,-1.4815024,-1.4804406,-1.2803068,2.1931708,-1.3332396,-1.4866418,2.1136827,2.1140246,-0.4767969,2.309209,2.0882974,2.1074371,-1.2483625,2.2009883
1.8691151,-0.91084987,-1.4269726,-1.4280449,2.1324122,-1.4415377,-1.4879023,-1.4864372,-1.2907832,2.1939392,-1.3420496,-1.4978266,2.1158283,2.121752,-0.51578784,2.3122065,2.0882974,2.1178634,-1.2710857,2.2151995
1.866837,-0.9437951,-1.4378431,-1.4391972,2.1325414,-1.4560477,-1.4991225,-1.4926422,-1.2965398,2.1974232,-1.3515627,-1.5090462,2.1184251,2.150098,-0.55436575,2.325052,2.0991185,2.1225007,-1.2904718,2.2141137
1.8832705,-0.97216815,-1.4472576,-1.4504147,2.1505785,-1.460688,-1.5257646,-1.4990542,-1.3028667,2.1969624,-1.361252,-1.5202916,2.1242805,2.1534073,-0.58589745,2.325052,2.1008005,2.127142,-1.3006148,2.2378669
1.8915391,-0.9945637,-1.44665,-1.4616867,2.147973,-1.4654963,-1.5350583,-1.5056709,-1.3094347,2.2013369,-1.3711084,-1.5079869,2.1408203,2.158679,-0.6198988,2.332615,2.120998,2.1306021,-1.3133434,2.2378275
1.9092504,-1.0190432,-1.4573853,-1.4730043,2.1845367,-1.4705095,-1.5440202,-1.5124892,-1.3324852,2.2074656,-1.3811214,-1.5148717,2.1411548,2.168548,-0.6494189,2.3500733,2.1315718,2.1209881,-1.323027,2.2378275
1.91417,-1.0398519,-1.4681996,-1.4843603,2.1992722,-1.4757297,-1.5531137,-1.5231091,-1.3484106,2.2074676,-1.3959695,-1.5242702,2.141095,2.1740732,-0.6794329,2.3500733,2.1369808,2.1190493,-1.3352642,2.2423913
1.9180183,-1.0618825,-1.4790841,-1.495747,2.2036927,-1.4811579,-1.56233,-1.5319413,-1.3521683,2.2074676,-1.4056276,-1.533788,2.1544333,2.1815653,-0.7117308,2.3500733,2.141939,2.1190493,-1.3447396,2.2423913
1.9190644,-1.085313,-1.4900303,-1.5071546,2.2070985,-1.4867948,-1.5716608,-1.539,-1.3560164,2.2074676,-1.4155424,-1.5434164,2.1541388,2.2014575,-0.73593175,2.3469803,2.1437628,2.1266334,-1.3543527,2.2442174
1.9270374,-1.104443,-1.5010281,-1.518578,2.214284,-1.4926407,-1.5810974,-1.570066,-1.3600583,2.2063928,-1.4255941,-1.5526396,2.168392,2.2043862,-0.7596929,2.3465478,2.1439872,2.1455312,-1.3641379,2.2406898
1.9365017,-1.121392,-1.5120703,-1.5300078,2.220338,-1.4986944,-1.590632,-1.5746704,-1.364299,2.2230535,-1.4357729,-1.5817429,2.1811125,2.2140744,-0.78792715,2.3465478,2.1461198,2.1455312,-1.374085,2.2406886
1.9511023,-1.1402023,-1.5231483,-1.5414376,2.2430718,-1.5094838,-1.5717392,-1.578733,-1.3719889,2.226761,-1.4460689,-1.5852457,2.1937604,2.2157083,-0.8145534,2.3579671,2.154047,2.1606631,-1.3840477,2.2477202
1.9503422,-1.1544471,-1.5342534,-1.5528674,2.2430875,-1.5157073,-1.5786699,-1.5829799,-1.3781805,2.2435343,-1.4564722,-1.5889206,2.2065892,2.2216418,-0.84149843,2.3560495,2.1541696,2.1515558,-1.3941072,2.2477078
1.9503762,-1.17397,-1.5453804,-1.5642843,2.2430875,-1.522134,-1.5857836,-1.5874135,-1.3828852,2.243544,-1.4669726,-1.5927707,2.2061956,2.2206018,-0.86758834,2.3780956,2.1595283,2.1692529,-1.4044974,2.24936
1.9625791,-1.1981728,-1.5565244,-1.5756879,2.2846487,-1.5287611,-1.593076,-1.5920367,-1.395231,2.2450986,-1.477561,-1.5968,2.2185028,2.2304087,-0.90351003,2.3753214,2.184028,2.1592705,-1.428736,2.2602246
