area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7879124,0.6747085,0.66091305,0.6884618,0.91779935,0.76778686,0.73535115,0.6891344,0.6946742,1.0247977,0.7436707,0.7740203,0.77870965,0.69947016,0.68777496,0.6811563,0.7129963,0.7231301,0.70162845,0.8965743,0.728505,0.83931166,1.004868,1.0828879
0.66910774,0.4534037,0.44672364,0.46496975,0.8244311,0.57987416,0.54506505,0.44741356,0.47328174,0.8856637,0.54658,0.5991306,0.6424103,0.4639878,0.45798972,0.4927842,0.5045309,0.52506745,0.60696745,0.7407033,0.5281271,0.67337424,0.8761862,0.97155476
0.56995326,0.29098848,0.29340053,0.30610862,0.74193233,0.42865446,0.39640456,0.29163226,0.3068265,0.75808483,0.39595082,0.43662685,0.53541535,0.3047376,0.3034747,0.36839834,0.33947974,0.36427635,0.5368832,0.60050577,0.37459922,0.5297555,0.75364125,0.8608433
0.4775006,0.18069763,0.18379563,0.19506194,0.66580325,0.30756947,0.28448427,0.18531369,0.18988077,0.6452664,0.2744399,0.3072475,0.44007406,0.19480038,0.19285873,0.2729667,0.21919419,0.24844752,0.4889301,0.49357995,0.27143127,0.43120727,0.6533577,0.77045494
0.40347302,0.10936345,0.11125433,0.1218108,0.6069749,0.21682414,0.19960085,0.11543188,0.11267549,0.54705983,0.18648404,0.21350679,0.36577848,0.12277057,0.121002816,0.20369978,0.13780929,0.1659588,0.4499326,0.42166883,0.19864129,0.35559496,0.5685327,0.6940476
0.3438857,0.06351681,0.06443532,0.072704226,0.5591142,0.14910659,0.14262886,0.06878726,0.0635308,0.4615781,0.12155286,0.14698449,0.31057122,0.07484391,0.07227081,0.15198344,0.08344996,0.11170054,0.40961754,0.36394146,0.15212204,0.28697228,0.50223225,0.62150174
0.29447672,0.035021067,0.03587564,0.041292194,0.5177829,0.0992245,0.10304074,0.039228372,0.034250893,0.38643852,0.07644903,0.099613234,0.26725367,0.04265292,0.040547617,0.11294449,0.048023775,0.07526885,0.3812499,0.317197,0.12042738,0.236796,0.4529839,0.5654253
0.25509053,0.018343203,0.019010244,0.022297984,0.4859125,0.06484164,0.07668433,0.021118859,0.017349629,0.331629,0.046209283,0.06857929,0.23027024,0.023572803,0.020857586,0.082452595,0.026467493,0.050324805,0.3574601,0.2833481,0.09558877,0.19905323,0.41197467,0.51440257
0.21943766,0.008916579,0.0095085325,0.011246694,0.45747295,0.04097499,0.058759402,0.010670334,0.008276977,0.2817366,0.026658162,0.04779538,0.19905469,0.011932727,0.009930959,0.058327153,0.01368703,0.033567935,0.33192894,0.25585333,0.08096416,0.16674262,0.3749919,0.47179022
0.18937762,0.004057901,0.0043924064,0.0053190254,0.4343987,0.024828525,0.04704644,0.0050525805,0.0036875613,0.2412688,0.01447947,0.03313266,0.17904271,0.0056638904,0.004369311,0.040150423,0.0066035073,0.02178564,0.31434163,0.23681128,0.06840657,0.14305414,0.34152836,0.43257406
0.16249658,0.0017106754,0.0018534015,0.0023400178,0.41268897,0.014328549,0.03855123,0.0022293439,0.001524282,0.20682888,0.0074871373,0.023144977,0.16171649,0.0024070733,0.001761626,0.026624924,0.002962704,0.013330688,0.2944001,0.22078979,0.058073275,0.12585367,0.31549296,0.4009012
0.14023012,0.0006660883,0.00070608605,0.000952505,0.39703768,0.007914863,0.029792152,0.0009132071,0.00058181107,0.18346861,0.003648407,0.016767751,0.14563368,0.0009421333,0.00065520924,0.017152777,0.0012355412,0.0071720914,0.27986753,0.20848541,0.052737746,0.11037635,0.28930292,0.3733997
0.11830765,0.00023736591,0.00024398159,0.00035729597,0.37869713,0.0040693176,0.024492495,0.0003451431,0.00020367233,0.16161004,0.0016722801,0.011567868,0.13476181,0.00033158073,0.0002217527,0.010505609,0.0004725504,0.0035560068,0.26637998,0.19802186,0.05007654,0.09705837,0.26965138,0.34873024
0.099866256,7.720477e-05,7.6006465e-05,0.00012292674,0.36374497,0.0019789482,0.018289099,0.00011985439,6.500277e-05,0.14330125,0.0007153259,0.007820916,0.12442882,0.000105779065,6.8104986e-05,0.0062045422,0.00016599763,0.0015244405,0.254178,0.18925093,0.042607136,0.08834272,0.24912778,0.3237584
