prelim_load_avg_hourly,gen_fuel_gas_mw,gen_fuel_oil_mw,gen_fuel_multiple_fuels_pct,da_as_mcp_primary_reserve,da_as_as_mw_primary_reserve
1.0,1.0,1.0,1.0,1.0,1.0
0.96597284,0.8713681,0.97325015,0.9209518,0.94505566,0.90535504
0.96087223,0.8231204,0.9521297,0.91945565,0.9124448,0.9046005
0.9550259,0.76899475,0.92400664,0.91891843,0.8831475,0.9042482
0.9469867,0.720494,0.9068655,0.91828513,0.80861276,0.9038259
0.9355089,0.68760794,0.87507546,0.9171782,0.8033641,0.9033626
0.92724246,0.6588734,0.8522083,0.91599965,0.79696494,0.902936
0.91719306,0.62343806,0.82646924,0.9148249,0.7853988,0.90255386
0.9095451,0.5997357,0.80229706,0.9138114,0.77986157,0.9021428
0.8984396,0.5669584,0.7797905,0.9126936,0.77342623,0.9017457
0.88827485,0.5388404,0.75705636,0.91168904,0.7675566,0.9013243
0.8796358,0.51358837,0.73341644,0.9105224,0.7618424,0.9009254
0.86517763,0.48852068,0.705411,0.9092804,0.75452596,0.90044296
0.84729654,0.46296403,0.68037754,0.90793777,0.74576056,0.899901
0.83452266,0.4397488,0.6551045,0.9064809,0.72124654,0.8993038
0.82185036,0.42208537,0.6301752,0.9049534,0.71113145,0.89873064
0.80602735,0.40052098,0.5926878,0.9032754,0.7024734,0.898067
0.79232615,0.37969264,0.5690079,0.90162736,0.6879687,0.8972472
0.7777375,0.3632984,0.54981446,0.8999067,0.67958826,0.8962995
0.7647468,0.34867904,0.5247897,0.8983885,0.67178416,0.89553225
0.7496748,0.33192062,0.5009969,0.8967591,0.663113,0.8947583
0.7374576,0.31871396,0.48001644,0.8950597,0.65510195,0.89370674
0.72599506,0.30827174,0.45559853,0.8930149,0.6397429,0.89262795
0.7052344,0.29429242,0.42033333,0.8911577,0.6086339,0.89117324
0.6924864,0.28456202,0.40135616,0.8890242,0.59962577,0.8901388
0.6812168,0.27564985,0.3812091,0.8866999,0.5695417,0.88892996
0.6663078,0.2647939,0.36268657,0.88441414,0.5178819,0.8874542
0.65354556,0.25421208,0.34384435,0.88151354,0.5089619,0.8859159
0.637695,0.24311738,0.3232124,0.87868863,0.50040483,0.8845845
0.6288254,0.23275803,0.30749607,0.875772,0.49253637,0.8827732
0.6167751,0.22314411,0.29261255,0.8729975,0.47872677,0.88107
