tau,平均选中数,最少,最多,与目标字段数之差
0.02,24.916666666666668,11,56,0.39583333333333215
0.05,14.416666666666666,5,52,10.895833333333334
0.08,10.25,2,45,15.0625
0.12,7.0,1,30,18.3125
0.2,4.5,1,16,20.8125
0.3,3.5833333333333335,1,14,21.729166666666668
