tau,平均选中数,最少,最多,与目标字段数之差
0.3,27.416666666666668,18,36,2.104166666666668
0.2,35.083333333333336,25,44,9.770833333333336
0.12,42.666666666666664,36,49,17.354166666666664
0.08,46.75,41,52,21.4375
0.05,49.666666666666664,44,56,24.354166666666664
0.02,52.416666666666664,44,57,27.104166666666664
