epoch,train_loss,train_r2,test_loss,test_r2,train_total_loss,train_mse_loss,train_reg_loss,active_features
1,0.26608618619353785,0.733913779258728,0.26885827421778585,0.7162028551101685,0.7036748989723185,0.5875925160290902,58.04118890129456,59
2,0.16643769041692638,0.8335623145103455,0.17297736634841052,0.8174113631248474,0.3264677817872878,0.21330569957295598,56.58103805530353,59
3,0.13126124886612597,0.8687387704849243,0.13985036327162895,0.8523790240287781,0.26573124283556715,0.15548443586532165,55.12340133050123,59
4,0.10481641424676329,0.8951835632324219,0.11468730960041285,0.878940224647522,0.22963318115059062,0.12242751694152958,53.602829136619306,59
5,0.08224215109290557,0.9177578687667847,0.09464512200367342,0.90009605884552,0.20494700547714073,0.10085626835078797,52.04536669605293,59
6,0.0707179991390576,0.929282009601593,0.08601561661173658,0.9092050194740295,0.18283991489494056,0.08188563514384352,50.477137289912896,59
7,0.06538256784740475,0.9346174001693726,0.07805455715690808,0.9176084399223328,0.1689980242495133,0.07113202574324008,48.93299692009897,59
8,0.04989275968513536,0.950107216835022,0.0647991413432287,0.9316003918647766,0.15490641964359378,0.06007857679252312,47.413919333916965,59
9,0.04851872719537316,0.951481282711029,0.06292114473833907,0.9335827231407166,0.1425142168805492,0.05069687925520673,45.90866640557959,59
10,0.03875848919886337,0.9612414836883545,0.0511211088018083,0.9460384249687195,0.13442567366791264,0.04558602550076243,44.41982183012682,59
11,0.037859632400618216,0.9621403813362122,0.05053110784146844,0.9466611742973328,0.1282707265571817,0.042387702927834475,42.941510172130315,59
12,0.0366466431335058,0.9633533358573914,0.04870192139841071,0.9485920071601868,0.12246763966778687,0.03950033599225212,41.48364992527267,59
13,0.03186838623437488,0.9681316018104553,0.04406734670955324,0.9534841179847717,0.11710248299051022,0.037015910954431304,40.043283804421385,59
14,0.030975986064662467,0.9690240025520325,0.0420259991859472,0.9556388854980469,0.11066802362907852,0.03345147211141572,38.608273938991566,59
15,0.03432617119558207,0.9656738042831421,0.04511156261092188,0.9523818492889404,0.10882953242672298,0.034353567856349035,37.23798064108935,59
16,0.03142908706971246,0.96857088804245,0.04135719878973848,0.9563448429107666,0.10473429487235304,0.0329371894106644,35.89855106071513,59
17,0.028527740266921408,0.9714722633361816,0.03992446621016758,0.9578571915626526,0.09905810371143595,0.02994288078741569,34.5576099712916,57
18,0.026140367449563166,0.9738596081733704,0.03587652573066696,0.962130069732666,0.09778223077615283,0.031212497743387926,33.28486470790604,57
19,0.026494116668357114,0.9735059142112732,0.03578303293495371,0.9622287154197693,0.09264492447268499,0.028530591284724068,32.05716494291816,56
20,0.025502792408961226,0.9744971990585327,0.03422961062638134,0.9638684391975403,0.089011705587785,0.02730521419768248,30.853244233731548,54
21,0.023351552397862338,0.9766484498977661,0.032352099896454045,0.965850293636322,0.08673679194406732,0.02731642655425859,29.710181182436504,52
22,0.024281893262226194,0.975718080997467,0.03398977261797593,0.9641216397285461,0.08321501940068264,0.02600218768108673,28.60641454395495,50
23,0.023786883237526604,0.9762130975723267,0.03339785651201609,0.9647464156150818,0.08135414473331674,0.026370414587065953,27.491864061100987,49
24,0.022883999043142155,0.9771159887313843,0.033235877215657836,0.9649174213409424,0.0786011972976813,0.025655826334546737,26.472684186619716,47
25,0.023996582650455192,0.9760034084320068,0.03388290471828929,0.9642344117164612,0.07555892102812466,0.024378612966786055,25.59015274629804,47
26,0.022321128890964024,0.9776788949966431,0.032801657066135324,0.9653757810592651,0.07455802510238894,0.02513122278770743,24.713399938005786,45
27,0.021458390435597465,0.9785416126251221,0.031217335950492357,0.9670481085777283,0.07117613254102198,0.023334500625300486,23.920814653101267,43
28,0.022238699515782792,0.9777613282203674,0.030403924816310768,0.9679067134857178,0.07058963936865102,0.02421477687396649,23.187430191912966,43
29,0.02188667420917322,0.9781133532524109,0.03140577172190405,0.9668492078781128,0.06895695611817476,0.023945811423057482,22.50557125915015,41
30,0.024710557694546168,0.9752894639968872,0.03320518616166693,0.9649497866630554,0.06686863288834612,0.023146177957816195,21.861226426654877,41
31,0.020634201786841014,0.9793658256530762,0.030016054336844785,0.9683161377906799,0.06613774790018684,0.02369110597031863,21.223319840012934,41
32,0.022091672495774737,0.9779083132743835,0.03099254670087248,0.9672853946685791,0.064222561395823,0.022893433378118534,20.664563008795067,39
33,0.022163304100686884,0.9778366684913635,0.031841198922271226,0.9663895964622498,0.06304758908774087,0.022810245909558328,20.118670736352147,38
34,0.020572582514449374,0.9794273972511292,0.029595724730070952,0.9687598347663879,0.061056344011907904,0.021803777751922722,19.626282082360543,36
35,0.026881983059349746,0.973118007183075,0.035835344585726354,0.9621735215187073,0.06105352639242677,0.022714707913398628,19.169408520335555,36
36,0.01931918009974966,0.9806808233261108,0.028755248379439297,0.9696469902992249,0.06015724739632381,0.022823279760465377,18.666982875535908,33
37,0.020601199444349284,0.979398787021637,0.030804561536259403,0.9674838185310364,0.05772418107533391,0.02124637498539495,18.23890211162087,30
38,0.020365708769021326,0.9796342849731445,0.02877312730543497,0.9696281552314758,0.05694913793096644,0.02122183400508184,17.863651199980968,29
39,0.02038075112717114,0.9796192646026611,0.03002746356367247,0.9683040976524353,0.056114347079025705,0.021194917149131395,17.459714090069408,27
