方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9413653482608043,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_load_actual_mw|area_1_fuel_wind_mw|area_2_fuel_hydro_mw|hour_of_day|area_3_fuel_hydro_mw|reserve_reg_down_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8989759994628886,area_1_fuel_wind_mw|area_3_fuel_natural_gas_mw|system_losses_mw|area_3_fuel_solar_mw|area_2_fuel_hydro_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_1_fuel_solar_mw|area_3_fuel_coal_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8599620938805816,area_1_fuel_wind_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_3_fuel_coal_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw|is_weekend|gen_fuel_nuclear_mw
XGBoost,树模型特征重要性（2016）,0.8856832706937052,area_1_fuel_wind_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_3_fuel_natural_gas_mw|gen_fuel_solar_mw|hour_of_day|reserve_reg_down_mw|area_2_fuel_hydro_mw|system_load_day_ahead_mw|area_2_generation_mw
Lasso,线性稀疏（1996）,0.9432666207110308,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|area_3_fuel_solar_mw|area_3_fuel_natural_gas_mw|area_3_load_actual_mw|area_1_fuel_wind_mw|area_3_fuel_coal_mw|system_losses_mw|reserve_spin_r3_mw|area_1_fuel_solar_mw
Pearson,相关系数排序（只看两两关系）,0.8562039270652321,area_1_fuel_wind_mw|area_2_net_export_mw|area_1_net_export_mw|area_1_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_coal_mw|gen_fuel_coal_mw|area_1_fuel_nuclear_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|system_losses_mw
