total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0,0.11393757,0.0,0.0,6.1719113e-10,0.0,0.0,2.9436975e-34,0.20017529,0.076604314,0.08537269,0.0,0.0,0.08346978,0.15259066,0.12067489,0.07628484,0.12930334,0.0,2.7472244e-35,1.1e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560295,0.0,0.054403353,0.0,7.478163e-14,0.0,0.04969542,0.0,7.373705e-16,0.0,0.10970628,0.046202123,0.067894585,0.06398341,0.0802645,7.844859e-08,2.447881e-38,0.1915469,0.05373034,0.083583444,0.0,0.045095347,0.061111536,0.0,0.0,0.122748315,0.0,0.08119975,0.07626029,0.0
0.0,0.11543464,0.0,0.0,1.56764e-10,0.0,0.0,6.87083e-37,0.19877549,0.07613192,0.08441797,0.0,0.0,0.08200719,0.14920038,0.12180887,0.07635932,0.13032602,0.0,4.731862e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15730217,0.0,0.05249624,0.0,7.824602e-15,0.0,0.046194736,0.0,4.5177392e-17,0.0,0.10775664,0.04464382,0.068636246,0.06140929,0.07901717,2.5896947e-08,2.4534e-41,0.18658248,0.05248902,0.07998333,0.0,0.04483371,0.060849033,0.0,0.0,0.12410333,0.0,0.078990385,0.07500891,0.0
0.0,0.114942804,0.0,0.0,3.589601e-11,0.0,0.0,9.40715e-40,0.19806206,0.07462293,0.083513185,0.0,0.0,0.08299647,0.14767928,0.12040802,0.07681498,0.12698095,0.0,4.6229e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15578945,0.0,0.049449258,0.0,6.8728587e-16,0.0,0.046743788,0.0,2.2216547e-18,0.0,0.10740075,0.043043073,0.06771244,0.05983025,0.077530585,7.865216e-09,1.3e-44,0.18427116,0.052784506,0.077375814,0.0,0.04402135,0.061564207,0.0,0.0,0.12574852,0.0,0.07682747,0.07469466,0.0
0.0,0.1138535,0.0,0.0,7.349876e-12,0.0,0.0,7.12e-43,0.19335996,0.07553559,0.08647577,0.0,0.0,0.08455143,0.14717427,0.1221843,0.07589197,0.12770003,0.0,2.4e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15418729,0.0,0.051199332,0.0,4.9948104e-17,0.0,0.047363214,0.0,8.605111e-20,0.0,0.107861936,0.04255681,0.06641986,0.060785785,0.075507015,2.183688e-09,0.0,0.18393876,0.050262287,0.077884674,0.0,0.042573914,0.05665568,0.0,0.0,0.12382256,0.0,0.080423474,0.073016115,0.0
0.0,0.11325793,0.0,0.0,1.3338445e-12,0.0,0.0,0.0,0.19346759,0.07547911,0.08739339,0.0,0.0,0.07649772,0.14708452,0.12252837,0.076017596,0.124725565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15286717,0.0,0.050491244,0.0,2.9560315e-18,0.0,0.047242753,0.0,2.571157e-21,0.0,0.10552401,0.04200955,0.066418804,0.060476314,0.07696398,5.503931e-10,0.0,0.18582046,0.051300876,0.07874585,0.0,0.0408972,0.05511751,0.0,0.0,0.12581293,0.0,0.08065262,0.07065965,0.0
0.0,0.11317373,0.0,0.0,2.1249568e-13,0.0,0.0,0.0,0.18926673,0.0757389,0.08803209,0.0,0.0,0.07884684,0.14264335,0.121379144,0.074263066,0.12374077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509595,0.0,0.04885334,0.0,1.4000275e-19,0.0,0.04553077,0.0,5.7917694e-23,0.0,0.105566,0.04024118,0.06525071,0.059592754,0.07736324,1.249861e-10,0.0,0.1831005,0.051757358,0.07719267,0.0,0.040925894,0.05464996,0.0,0.0,0.1231756,0.0,0.077923715,0.06873669,0.0
0.0,0.10874601,0.0,0.0,2.940892e-14,0.0,0.0,0.0,0.18750744,0.07295155,0.08669537,0.0,0.0,0.081448235,0.14255682,0.11864336,0.073533274,0.12676375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15156923,0.0,0.050143387,0.0,5.205662e-21,0.0,0.04580272,0.0,9.588156e-25,0.0,0.10776075,0.040086895,0.06510567,0.060918797,0.07585233,2.5362844e-11,0.0,0.179871,0.05069377,0.076496705,0.0,0.044802688,0.054984022,0.0,0.0,0.1194177,0.0,0.07725849,0.07121015,0.0
0.0,0.111082934,0.0,0.0,3.4958407e-15,0.0,0.0,0.0,0.18688396,0.07323147,0.08566334,0.0,0.0,0.08087563,0.14417943,0.11837476,0.07250576,0.12211528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15285039,0.0,0.050019827,0.0,1.4878131e-22,0.0,0.044861212,0.0,1.133914e-26,0.0,0.10522063,0.03842703,0.06584941,0.059556063,0.07371892,4.558447e-12,0.0,0.17812692,0.04992787,0.077886604,0.0,0.042307477,0.056813642,0.0,0.0,0.11880062,0.0,0.075917274,0.069642685,0.0
0.0,0.10738342,0.0,0.0,3.5252204e-16,0.0,0.0,0.0,0.18260716,0.07246434,0.08415608,0.0,0.0,0.07771888,0.14198816,0.11677846,0.07350821,0.12123279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15186466,0.0,0.047451116,0.0,3.193046e-24,0.0,0.04705976,0.0,9.280596e-29,0.0,0.10557343,0.039147142,0.065087,0.058698792,0.076009035,7.186527e-13,0.0,0.17571232,0.05136105,0.078204244,0.0,0.0394908,0.056577086,0.0,0.0,0.12223516,0.0,0.077615246,0.07021784,0.0
0.0,0.10991931,0.0,0.0,2.975129e-17,0.0,0.0,0.0,0.18282957,0.07208102,0.08486893,0.0,0.0,0.07480297,0.14043792,0.11432877,0.07273606,0.1206455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15087141,0.0,0.04766119,0.0,5.014011e-26,0.0,0.04501176,0.0,5.072802e-31,0.0,0.104832456,0.037423592,0.06464282,0.05915309,0.07429045,9.8341914e-14,0.0,0.17621851,0.04869679,0.076330625,0.0,0.0416453,0.05484594,0.0,0.0,0.11759936,0.0,0.07667043,0.068969354,0.0
