area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.45414564,0.500881,0.45848763,0.45649385,0.51818013,0.4750646,0.469487,0.48981962,0.44716668,0.56522626,0.50117266,0.49795476,0.48445746,0.49287343,0.4605197,0.43829095,0.5312153,0.4761739,0.49894026,0.5637061,0.5276394,0.4455566,0.5278511,0.470279,0.44326374,0.5783793,0.54372835,0.50450397,0.42755136,0.51945513,0.4696583,0.55901086,0.4061546,0.4881029,0.47292414,0.432153,0.54928046,0.54426575,0.4487209,0.4732029,0.38010117,0.38853237,0.38506845
0.47780514,0.5016443,0.45149684,0.436491,0.5183262,0.48316184,0.47610605,0.45848024,0.42329952,0.61256355,0.49198028,0.48466876,0.5027903,0.4731413,0.43104213,0.4542016,0.5479072,0.47811157,0.4973415,0.5976539,0.5453629,0.48677543,0.54866797,0.46085414,0.44757932,0.6598849,0.5736802,0.5332595,0.39742568,0.53271616,0.48455456,0.5794322,0.35295874,0.51858366,0.46944237,0.42485002,0.56548244,0.571023,0.3784417,0.4811142,0.28145054,0.2949882,0.2774998
0.4919186,0.48967874,0.42768097,0.41863903,0.54227006,0.4757052,0.47138685,0.42073867,0.4052958,0.6474092,0.48937365,0.48941645,0.54062974,0.45447448,0.43114826,0.4652709,0.55479383,0.48728448,0.5085969,0.63259965,0.56645685,0.52576506,0.58538187,0.44788966,0.44599798,0.73240393,0.5987059,0.55548424,0.37398458,0.54668516,0.48252702,0.5815691,0.30389246,0.54956263,0.466817,0.40557566,0.570132,0.5964915,0.30807152,0.47797978,0.18113345,0.2124948,0.13854966
0.5043598,0.47760454,0.4058605,0.38986185,0.5546842,0.45583802,0.45781708,0.38144407,0.3924782,0.6870182,0.48561493,0.48950922,0.55743074,0.4577666,0.4311033,0.47938108,0.55143684,0.49505624,0.51639736,0.654202,0.57836837,0.5525699,0.6056025,0.4420127,0.43541482,0.8044239,0.6323275,0.5730057,0.33770102,0.5537482,0.5096687,0.5841664,0.2624291,0.55920446,0.45821664,0.3831054,0.5811119,0.6202486,0.24024652,0.48049617,0.08037239,0.123075224,0.00845528
0.5284944,0.46464103,0.3901185,0.36976954,0.5710674,0.4488392,0.44561887,0.33932027,0.3673847,0.7175833,0.48065275,0.4823618,0.5764592,0.4425086,0.40827474,0.5005907,0.5587864,0.5237342,0.5214435,0.67074525,0.59605473,0.60429454,0.6449476,0.447861,0.4349653,0.85419786,0.6708345,0.58771354,0.3066519,0.5654434,0.5199959,0.5810146,0.21521103,0.5741708,0.44766015,0.3669058,0.58147454,0.6461334,0.16124529,0.47261074,-0.02541686,0.03312404,-0.11649021
0.5349872,0.45203984,0.3565783,0.33520404,0.59654045,0.43567827,0.43458247,0.30286416,0.3539766,0.75778013,0.4875038,0.48494303,0.58254224,0.43352905,0.39880794,0.52109104,0.5611692,0.508288,0.5307709,0.6695751,0.6159659,0.63249755,0.6848798,0.4304974,0.4332092,0.9077233,0.6912718,0.6236673,0.26531023,0.5749079,0.5254474,0.58610445,0.14005321,0.5979226,0.44413915,0.3505459,0.5814416,0.6574699,0.08345561,0.47163135,-0.1439022,-0.051700946,-0.24133849
0.54747516,0.43613428,0.3435431,0.30707166,0.60822093,0.4147695,0.4299577,0.2428487,0.31637585,0.77163446,0.4831691,0.48638126,0.59401613,0.41631517,0.38060775,0.54005456,0.5698812,0.49509168,0.5377037,0.68129796,0.63993794,0.6683335,0.71209717,0.41615337,0.43210173,0.9502332,0.7333887,0.6345355,0.23028632,0.57888496,0.5398511,0.59289056,0.05636753,0.62116545,0.4560335,0.33262312,0.5914121,0.69510937,-0.0018039682,0.4722115,-0.24269447,-0.15152489,-0.3559145
0.5483296,0.41650882,0.31312338,0.26614985,0.62051237,0.40035772,0.4116157,0.20673986,0.28122354,0.7923589,0.47957408,0.47099933,0.61344016,0.406768,0.36022633,0.5651434,0.5740903,0.5109795,0.54882157,0.68966967,0.6583642,0.6980026,0.74623764,0.39573205,0.4156432,1.0057147,0.7709146,0.6372412,0.18494932,0.5891905,0.5602194,0.5889423,-0.023123842,0.6209853,0.4373133,0.3057821,0.59929395,0.7248666,-0.08736295,0.47796288,-0.34454757,-0.24982287,-0.45430416
0.5669597,0.3947823,0.2787625,0.2526938,0.6588145,0.3875043,0.38158673,0.17402622,0.24998733,0.8251238,0.48128828,0.46130303,0.6229748,0.40360138,0.336948,0.5718917,0.56737983,0.5155667,0.5798344,0.7024155,0.661049,0.7302892,0.7785506,0.4067906,0.40731138,1.0499488,0.80641055,0.65174013,0.13886403,0.59369165,0.58343345,0.59294903,-0.10019313,0.6379573,0.41516098,0.27139544,0.598235,0.7572787,-0.1743017,0.48575652,-0.44385785,-0.34614936,-0.54548085
