k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.08936078546080561,0.015249945907999662,0.45953024079771443,0.45953024079771443,0.45953024079771443,0.45953024079771443
2,0.44043109156456217,0.4275982380075751,0.49138526662806936,0.5005416305472505,0.4775000847966704,0.5005416305472505
3,0.463814946855445,0.45253327424465195,0.5041316902205213,0.5180435855102138,0.4889408985482868,0.49319099251389975
4,0.5319360636092765,0.4785726302978923,0.5048423311053747,0.5205869507892057,0.5067508998884589,0.48783641944649203
5,0.570445824302338,0.4820495984060267,0.49467468093894285,0.5478004012540584,0.5285230081028067,0.4919557490842491
6,0.6142291283233048,0.5044533595996561,0.5328311629970945,0.5927780363862182,0.5327846624494489,0.5268183350762313
7,0.6021333127610933,0.5215040696725212,0.5264830454211539,0.5951004353724064,0.5416584027058947,0.5192172223024456
8,0.5991111688943574,0.5285742010199492,0.5739130449922274,0.627612699508959,0.5440436088603338,0.5594888536381715
9,0.6115322687211678,0.5639054189201997,0.5870817062112648,0.6302320687546579,0.5161139682631015,0.5037283061180278
10,0.6426044173837215,0.6046301429755259,0.5970228911154543,0.6214950205918844,0.5218669227284011,0.5190122444036389
