target,target_cn,branch,n_candidates,n_selected,selected_fields,fallback_selection,mean_selection_jaccard,full_dnn_r2_mean,full_dnn_r2_std,full_dnn_rmse_mean,full_dnn_rmse_std,full_dnn_mae_mean,full_dnn_mae_std,full_dnn_pearson_r_mean,full_dnn_pearson_r_std,full_dnn_accuracy_mean,full_dnn_accuracy_std,full_dnn_balanced_accuracy_mean,full_dnn_balanced_accuracy_std,full_dnn_roc_auc_mean,full_dnn_roc_auc_std,dgate_r2_mean,dgate_r2_std,dgate_rmse_mean,dgate_rmse_std,dgate_mae_mean,dgate_mae_std,dgate_pearson_r_mean,dgate_pearson_r_std,dgate_accuracy_mean,dgate_accuracy_std,dgate_balanced_accuracy_mean,dgate_balanced_accuracy_std,dgate_roc_auc_mean,dgate_roc_auc_std,selected_retrain_r2_mean,selected_retrain_r2_std,selected_retrain_rmse_mean,selected_retrain_rmse_std,selected_retrain_mae_mean,selected_retrain_mae_std,selected_retrain_pearson_r_mean,selected_retrain_pearson_r_std,selected_retrain_accuracy_mean,selected_retrain_accuracy_std,selected_retrain_balanced_accuracy_mean,selected_retrain_balanced_accuracy_std,selected_retrain_roc_auc_mean,selected_retrain_roc_auc_std,run_dir
bus_115_va_deg,母线 115 电压相角,no_screening,24,8,system_losses_mw|gen_fuel_coal_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_load_day_ahead_mw,0,0.5273504273504274,0.9494420981605228,0.0017521814774970092,0.5313966465729488,0.009159540675988566,0.3828165114931548,0.01109221267112397,0.9752810293635763,0.0005675310858540473,,,,,,,0.9489742151820111,0.0011135189295315118,0.5338976044975732,0.005804891751352689,0.4010664261457742,0.0056477873208316,0.9746478595586501,0.00037006024560873004,,,,,,,0.9406766385306701,0.0014976659749037873,0.5756617165060434,0.00723755138643315,0.41952650605165775,0.006087761088892482,0.9719715452290526,0.001061716851105043,,,,,,,04b_source_location_excl_targets/stripped_no_screening/target_bus_115_va_deg/DGatingDNN/run_20260811_190000
bus_115_va_deg,母线 115 电压相角,with_screening,24,8,system_losses_mw|gen_fuel_coal_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|reserve_spin_r1_mw|gen_fuel_wind_mw,0,0.48131868131868133,0.9492824966925603,0.0009406930077403783,0.5322908531059019,0.004942878918817089,0.39016490855855873,0.00258852481712365,0.974591195272656,0.0005505864337133105,,,,,,,0.9505932160817184,0.0027885929588258897,0.5251775257594855,0.014952585858521666,0.3915740926030304,0.013113408807186805,0.9752057665854809,0.0012908640563260947,,,,,,,0.9399491558297669,0.0029554004801887164,0.5790522811201493,0.014201600069407632,0.4258398735427075,0.010339337292208591,0.9713103940550772,0.0018841318999499575,,,,,,,04b_source_location_excl_targets/stripped_with_screening/target_bus_115_va_deg/DGatingDNN/run_20260811_190000
bus_215_va_deg,母线 215 电压相角,no_screening,24,7,gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_hydro_mw|area_3_net_export_mw,0,0.7777777777777778,0.9854432880641409,0.0006125907779321919,0.1002007657441659,0.002109158283620013,0.07629855725275443,0.0013210159843227058,0.9935626770305171,0.0008067830710145219,,,,,,,0.9760391367792968,0.0006679183378235387,0.1285713546044267,0.0018008722144328292,0.0988725546546194,0.0012674001308625898,0.9884004399757157,0.00044326861868460634,,,,,,,0.9570146340157232,0.002235369014898148,0.17216604717552464,0.004501445067233939,0.13490068448943207,0.00456977601564746,0.9791978399980353,0.0008155795807953782,,,,,,,04b_source_location_excl_targets/stripped_no_screening/target_bus_215_va_deg/DGatingDNN/run_20260811_190000
bus_215_va_deg,母线 215 电压相角,with_screening,23,7,gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_1_net_export_mw|gen_fuel_hydro_mw|area_1_load_day_ahead_mw,0,0.6651515151515152,0.974982232404443,0.0014345637219220293,0.1313362671022293,0.003731274944291495,0.09858722519823,0.001359819799209726,0.9879722510694174,0.0009183332715515115,,,,,,,0.9690157381192211,0.004099607575131925,0.14589600869251698,0.009725354848283576,0.11214760320460204,0.007963823338303911,0.9861891033030329,0.0006649347580353638,,,,,,,0.9639596890995695,0.002463215171129063,0.15760555082376904,0.005437780799623483,0.12227511516005567,0.004006828585898097,0.9823010609624075,0.0009334979870458492,,,,,,,04b_source_location_excl_targets/stripped_with_screening/target_bus_215_va_deg/DGatingDNN/run_20260811_190000
bus_315_va_deg,母线 315 电压相角,no_screening,24,11,system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|area_1_load_day_ahead_mw|area_2_load_actual_mw|area_3_load_day_ahead_mw,0,0.6990231990231989,0.9631016162950713,0.0011317089584455214,0.6303032364515234,0.009695616755382367,0.45575999927489796,0.016302341155239233,0.9818149815422302,0.0003779920487163988,,,,,,,0.960963270151213,0.0010091928062366125,0.6483325137009632,0.008365955797681242,0.48388874464138176,0.013772754752236105,0.9807282206028081,0.00037449743743626977,,,,,,,0.9586653232671211,0.003905197520060413,0.6664303699112115,0.03198872072986019,0.49094233377184554,0.028909913684765434,0.9794273355797856,0.0020876918162585534,,,,,,,04b_source_location_excl_targets/stripped_no_screening/target_bus_315_va_deg/DGatingDNN/run_20260811_190000
bus_315_va_deg,母线 315 电压相角,with_screening,12,9,gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw,0,0.9333333333333332,0.957078839104455,0.0011001505879792799,0.679825305435873,0.008710329126911037,0.49983159974550634,0.004440845723501868,0.979367852854936,0.00012986345227495414,,,,,,,0.9583592679860375,0.005317337968780749,0.668332723649575,0.04219171731382938,0.5166323516903221,0.05150304149282863,0.9798119712018054,0.0016565338418754476,,,,,,,0.957930185023144,0.0011674076649959195,0.6730402402634735,0.00930608424059904,0.4989507408933556,0.003752624504842199,0.9795149453671156,0.0002513959426138298,,,,,,,04b_source_location_excl_targets/stripped_with_screening/target_bus_315_va_deg/DGatingDNN/run_20260811_190000
branch_ab1_loading_pct,跨区支路 AB1 负载率,no_screening,24,11,system_losses_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_hydro_mw|area_1_load_actual_mw|area_2_load_day_ahead_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw,0,0.5908882783882784,0.9035514863152936,0.002332887389682679,1.4668902492420755,0.017758505402663428,1.049821566470161,0.01230254821008531,0.9517144971921906,0.0014028177024522405,,,,,,,0.8949709264368669,0.0025726035004740066,1.5307476167528649,0.018828382204682158,1.110331445727722,0.016395656360391572,0.9477430224589445,0.0014237745228288946,,,,,,,0.8905822254492616,0.00189729832398737,1.5624615575567489,0.013526070253913716,1.1278238713315256,0.01832914902107318,0.9461745027664897,0.001359111454635533,,,,,,,04b_source_location_excl_targets/stripped_no_screening/target_branch_ab1_loading_pct/DGatingDNN/run_20260811_190000
branch_ab1_loading_pct,跨区支路 AB1 负载率,with_screening,23,11,system_losses_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_net_export_mw|gen_fuel_wind_mw|area_1_net_export_mw|reserve_spin_r1_mw|area_1_load_actual_mw|area_2_load_actual_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw,0,0.5897435897435898,0.8889522663724169,0.007224619487268421,1.5732656225751083,0.0517115271870865,1.1399701922446441,0.040515359090566125,0.9446054605430082,0.002923350712721202,,,,,,,0.879979414765002,0.004174410867509245,1.6362301299825923,0.02834577865639818,1.1906537062357676,0.02076783251148445,0.9394336696982251,0.0022149872122787734,,,,,,,0.8506981114985906,0.0016689930811637464,1.825187623971021,0.010221498909578498,1.2998298039012646,0.001616591581586216,0.9298647272959021,0.0010577493353530166,,,,,,,04b_source_location_excl_targets/stripped_with_screening/target_branch_ab1_loading_pct/DGatingDNN/run_20260811_190000
branch_ab2_loading_pct,跨区支路 AB2 负载率,no_screening,24,7,gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_hydro_mw,0,0.7259259259259259,0.988117739023202,0.0007592023038580372,0.3417182245310642,0.010815427719120526,0.2573254196962452,0.00775024180146032,0.9943156647719946,0.0003293519638538652,,,,,,,0.9735751301747007,0.0016083834693220878,0.5096185008271149,0.015363141701673572,0.3819780822652934,0.01726542102550205,0.9877592640227749,0.00044121713598749816,,,,,,,0.9521687968167053,0.003969810736964153,0.6853490176244533,0.028677563799627732,0.5246269800959946,0.026128852308740878,0.9769470880401429,0.001234724613712425,,,,,,,04b_source_location_excl_targets/stripped_no_screening/target_branch_ab2_loading_pct/DGatingDNN/run_20260811_190000
branch_ab2_loading_pct,跨区支路 AB2 负载率,with_screening,23,9,gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_1_net_export_mw|gen_fuel_hydro_mw|area_1_load_day_ahead_mw|system_losses_mw|area_2_net_export_mw,0,0.7333333333333334,0.9724950795404701,0.0017088983196085505,0.5199094406115231,0.016306531389290668,0.38082308789862757,0.008745816969438203,0.9867136705013199,0.0010251485333691778,,,,,,,0.9663920241558448,0.004083314623668641,0.5739546411889135,0.03442162103785834,0.42110215567846376,0.024480671677026073,0.9847161384438516,0.0012104011525649265,,,,,,,0.9628990193201353,0.0008428758557809189,0.6040888790477434,0.006843456761835592,0.44985543119077137,0.004365219231251066,0.9818528988037482,8.925305618465637e-05,,,,,,,04b_source_location_excl_targets/stripped_with_screening/target_branch_ab2_loading_pct/DGatingDNN/run_20260811_190000
