target,r2_no_screening,r2_with_screening,delta_with_minus_no
branch_ab3_loading_pct,0.8337002312773346,0.7512227737057969,-0.08247745757153768
branch_ca_1_loading_pct,0.991400430680208,0.9490359879707512,-0.04236444270945683
branch_ab1_loading_pct,0.8905822254492616,0.8506981114985906,-0.03988411395067093
gen_321_cc_1_status,0.9658438372861262,0.9566452215579484,-0.009198615728177817
gen_218_cc_1_pg_mw,0.908776348881556,0.9057537369730518,-0.003022611908504169
branch_cb_1_loading_pct,0.9927007119815238,0.9915993672788476,-0.001101344702676199
bus_315_va_deg,0.9586653232671212,0.957930185023144,-0.0007351382439771958
bus_115_va_deg,0.94067663853067,0.9399491558297668,-0.0007274827009031704
gen_121_nuclear_1_pg_mw,0.9979517484027154,0.9982147356094516,0.00026298720673623155
gen_317_wind_1_pg_mw,0.9176367294611616,0.9206484939081,0.003011764446938403
bus_215_va_deg,0.9570146340157232,0.9639596890995696,0.006945055083846463
branch_ab2_loading_pct,0.9521687968167052,0.9628990193201352,0.010730222503430031
