total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1164786,0.8055868,0.94021213,0.95309037,0.9297287,1.0899686,0.7892487,1.0259022,1.0500666,0.79041064,0.76271236,1.101041,0.91004705,0.7673212,1.0684818,1.0421327,0.7380175,0.8751998,0.87262547,0.71788806,0.8201316,0.7235705,0.7329224,0.78473413,0.89281356,0.70819336,0.7994194,0.9468249,0.95754176,0.7212642,0.7318367,0.73713917,0.9364045,0.7259087,1.010612,0.8046537,0.95992136,0.924111,0.79315114,0.845092,0.88522166,0.71575385,0.7219142,0.8032893,0.7379788,0.951044
1.0110683,0.58383393,0.7737215,0.84417003,0.81524765,0.95781845,0.6186335,0.987658,0.91601974,0.5889715,0.57955986,0.96508193,0.72479093,0.5595147,0.93681365,1.057588,0.53242815,0.76627755,0.8338035,0.47871354,0.65043795,0.5165371,0.5182159,0.5838395,0.8566593,0.46328598,0.6714172,0.83299345,0.79382515,0.49756783,0.5231743,0.5414658,0.76508284,0.52747375,0.9623441,0.61992854,0.83800066,0.8871421,0.60092616,0.7721527,0.6805848,0.5014638,0.5315435,0.6522571,0.5112903,0.8143145
0.89991564,0.42441994,0.631176,0.7459581,0.7178898,0.82744205,0.46634632,0.9046746,0.8019416,0.42956534,0.43696114,0.8430549,0.5672335,0.40401956,0.7996777,1.0232702,0.37862918,0.64955205,0.7813486,0.31397623,0.50587934,0.35412946,0.36173263,0.42938215,0.8165198,0.29746947,0.5459583,0.70721066,0.6446439,0.33163705,0.3671432,0.392789,0.6136403,0.37872335,0.90043014,0.45627305,0.6890551,0.8250949,0.4308783,0.67650735,0.5180505,0.3444246,0.3879959,0.51300216,0.34794685,0.6798096
0.8009796,0.3137952,0.49771968,0.64850444,0.62044257,0.7151719,0.35619017,0.8104594,0.68119645,0.30089387,0.33043984,0.7459154,0.43420887,0.29782826,0.6726081,0.9476088,0.2624378,0.5381503,0.72229373,0.19732079,0.37761667,0.23651394,0.2419733,0.3067285,0.7667333,0.18265304,0.4248824,0.58310515,0.50559103,0.21448104,0.25809565,0.28845096,0.48187688,0.2600292,0.8387573,0.33228156,0.57181114,0.7691582,0.3028438,0.5981827,0.3946928,0.22863527,0.27311966,0.39305848,0.23761345,0.54903
0.69618064,0.228768,0.3944608,0.5750099,0.5339566,0.61754566,0.27745032,0.72907543,0.5920688,0.20447922,0.24754012,0.654151,0.33290878,0.22206245,0.56042886,0.8731843,0.17766893,0.44712138,0.660236,0.11842548,0.27206993,0.14982691,0.15587515,0.21002494,0.7137297,0.10799868,0.3229295,0.47608787,0.38949358,0.13377522,0.18081059,0.20945556,0.37748,0.17625155,0.7686909,0.2365136,0.46892774,0.7052992,0.20796496,0.5166911,0.29769343,0.14606151,0.19033858,0.29624918,0.15821747,0.43544516
0.6074752,0.17123885,0.30368873,0.5087441,0.45896965,0.5315605,0.22103235,0.63533735,0.5111024,0.13472718,0.19226882,0.57006556,0.25757557,0.17315647,0.46249738,0.8066171,0.117094345,0.37159216,0.6009599,0.06831408,0.18927209,0.09200784,0.0963185,0.1396039,0.6559162,0.061027206,0.23393533,0.38619787,0.30602807,0.082706116,0.12933289,0.15338312,0.29568392,0.11574943,0.7005808,0.16838142,0.37692335,0.62944484,0.14029819,0.44162592,0.22666699,0.08895036,0.12826008,0.22090451,0.110120274,0.33344004
0.5252021,0.13163878,0.23345514,0.46020007,0.39960414,0.457332,0.18659502,0.5658245,0.44447234,0.085109435,0.15432647,0.49784112,0.20550965,0.13617077,0.37809545,0.739746,0.075631686,0.30683684,0.5262564,0.037254546,0.123671986,0.053914495,0.05689467,0.089895055,0.5941446,0.03255281,0.16536357,0.3030573,0.23227783,0.04813212,0.09004628,0.11111286,0.23419815,0.07358675,0.62508446,0.11949793,0.30084652,0.55865943,0.0909567,0.36869705,0.16801229,0.051801827,0.0858445,0.16278706,0.07389271,0.25024334
0.45021302,0.1025941,0.17726049,0.41794083,0.35211542,0.39702657,0.15691955,0.5052298,0.39529216,0.0525325,0.12670888,0.43811163,0.17177792,0.11065026,0.30025175,0.6839037,0.046939127,0.25725004,0.46218774,0.019314189,0.08048452,0.029971719,0.031933203,0.05586537,0.53221375,0.016309986,0.11422243,0.2319091,0.18002948,0.02655394,0.06738445,0.08482646,0.18753333,0.04391336,0.5595656,0.0859749,0.24173737,0.48042008,0.059062723,0.31206328,0.12738116,0.029107466,0.056639925,0.11831758,0.051937807,0.1821833
0.3919128,0.078461304,0.13292615,0.3812678,0.3106652,0.350504,0.13807595,0.44929716,0.35229558,0.030517526,0.103381366,0.372784,0.148801,0.09437319,0.2380996,0.6294426,0.027771235,0.21788867,0.40620705,0.009401852,0.052002203,0.015745236,0.017416272,0.033585887,0.475209,0.007657258,0.07762461,0.17793891,0.14326891,0.01381529,0.05163091,0.067112245,0.1521379,0.025183022,0.5073747,0.060519136,0.19480339,0.41899005,0.03884802,0.26071367,0.09630722,0.015272378,0.03579288,0.08685123,0.038945567,0.1282078
