目标,中文名,方法,定数规则,选中数,占候选比,测试R2,全量R2,候选数,选中字段
bus_115_va_deg,节点115电压相角,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,7,0.15217391304347827,0.9772479229427604,0.9865132612079666,46,area_1_load_actual_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw
bus_115_va_deg,节点115电压相角,STG,门控值 ≥ 0.0,8,0.17391304347826086,0.9696155641622523,0.9865132612079666,46,system_losses_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw
bus_115_va_deg,节点115电压相角,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,46,1.0,0.9865132612079666,0.9865132612079666,46,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_generation_mw|hour_of_day|day_of_week|month_of_year|is_weekend
bus_115_va_deg,节点115电压相角,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,10,0.21739130434782608,0.978375745973252,0.9865132612079666,46,system_losses_mw|area_1_net_export_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw
bus_115_va_deg,节点115电压相角,XGBoost,固定阈值 τ=0.02（12 个目标共用）,10,0.21739130434782608,0.9789802656170515,0.9865132612079666,46,area_1_load_day_ahead_mw|system_losses_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_generation_mw|area_3_fuel_solar_mw
bus_115_va_deg,节点115电压相角,Pearson,固定阈值 τ=0.3（12 个目标共用）,29,0.6304347826086957,0.9557370573709584,0.9865132612079666,46,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_wind_mw|area_3_generation_mw
bus_215_va_deg,节点215电压相角,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,9,0.1956521739130435,0.9684490112606843,0.9900794622218906,46,area_1_load_actual_mw|system_losses_mw|area_3_net_export_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw|area_3_fuel_coal_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw
bus_215_va_deg,节点215电压相角,STG,门控值 ≥ 0.0,13,0.2826086956521739,0.9838965901090918,0.9900794622218906,46,area_1_load_actual_mw|system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw
bus_215_va_deg,节点215电压相角,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,46,1.0,0.9900794622218906,0.9900794622218906,46,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_generation_mw|hour_of_day|day_of_week|month_of_year|is_weekend
bus_215_va_deg,节点215电压相角,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,28,0.6086956521739131,0.9919914191237734,0.9900794622218906,46,area_1_load_actual_mw|area_1_load_day_ahead_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_3_fuel_coal_mw|area_3_fuel_hydro_mw|area_3_fuel_solar_mw|hour_of_day|day_of_week|month_of_year|is_weekend
bus_215_va_deg,节点215电压相角,XGBoost,固定阈值 τ=0.02（12 个目标共用）,22,0.4782608695652174,0.987600276806525,0.9900794622218906,46,area_1_load_actual_mw|area_1_load_day_ahead_mw|system_losses_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|hour_of_day|month_of_year
bus_215_va_deg,节点215电压相角,Pearson,固定阈值 τ=0.3（12 个目标共用）,30,0.6521739130434783,0.9870159547113854,0.9900794622218906,46,area_1_load_actual_mw|area_2_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_2_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|hour_of_day
bus_315_va_deg,节点315电压相角,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,7,0.15217391304347827,0.9579266092794994,0.9921932314191497,46,area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_wind_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw
bus_315_va_deg,节点315电压相角,STG,门控值 ≥ 0.0,13,0.2826086956521739,0.9801211365132597,0.9921932314191497,46,system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw
bus_315_va_deg,节点315电压相角,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,46,1.0,0.9921932314191497,0.9921932314191497,46,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_generation_mw|hour_of_day|day_of_week|month_of_year|is_weekend
bus_315_va_deg,节点315电压相角,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,22,0.4782608695652174,0.9899515825061468,0.9921932314191497,46,area_3_load_actual_mw|area_3_load_day_ahead_mw|system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_down_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|month_of_year
bus_315_va_deg,节点315电压相角,XGBoost,固定阈值 τ=0.02（12 个目标共用）,16,0.34782608695652173,0.9886579987160407,0.9921932314191497,46,system_losses_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_down_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_3_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw
bus_315_va_deg,节点315电压相角,Pearson,固定阈值 τ=0.3（12 个目标共用）,25,0.5434782608695652,0.9896768100545266,0.9921932314191497,46,area_1_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw
branch_ab1_loading_pct,线路AB1负载率,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,7,0.16279069767441862,0.9749390568411908,0.9866955877743271,43,reserve_spin_r1_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw
branch_ab1_loading_pct,线路AB1负载率,STG,门控值 ≥ 0.0,15,0.3488372093023256,0.9789921702558056,0.9866955877743271,43,area_1_load_actual_mw|area_1_load_day_ahead_mw|system_losses_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw
branch_ab1_loading_pct,线路AB1负载率,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,43,1.0,0.9866955877743271,0.9866955877743271,43,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_hydro_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_generation_mw|hour_of_day|day_of_week|month_of_year|is_weekend
branch_ab1_loading_pct,线路AB1负载率,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,7,0.16279069767441862,0.902123051370299,0.9866955877743271,43,area_1_load_actual_mw|area_1_load_day_ahead_mw|system_losses_mw|reserve_spin_r1_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_2_fuel_coal_mw
branch_ab1_loading_pct,线路AB1负载率,XGBoost,固定阈值 τ=0.02（12 个目标共用）,27,0.627906976744186,0.9888585581482043,0.9866955877743271,43,area_1_load_actual_mw|area_2_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|system_losses_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_generation_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_solar_mw|hour_of_day|month_of_year
