tau,平均选中数,最少,最多,与目标字段数之差
0.3,22.833333333333332,10,31,3.6041666666666643
0.2,29.25,15,38,10.020833333333332
0.12,32.333333333333336,18,41,13.104166666666668
0.08,35.416666666666664,23,45,16.187499999999996
0.05,38.0,27,46,18.770833333333332
0.02,40.916666666666664,27,46,21.687499999999996
