tau,平均选中数,最少,最多,与目标字段数之差
0.02,19.083333333333332,10,31,0.1458333333333357
0.05,10.25,5,20,8.979166666666668
0.08,7.0,1,11,12.229166666666668
0.12,5.0,1,9,14.229166666666668
0.2,3.5,1,7,15.729166666666668
0.3,2.8333333333333335,1,6,16.395833333333336
