target,step,n_pool,residual_ratio,removed,support
net_actual_interchange_mw,0,68,1.412177471320769e-14,net_sched_interchange_mw,"['net_inadv_interchange_mw', 'net_sched_interchange_mw']"
net_actual_interchange_mw,1,67,0.01707215276230251,,
total_lmp_da,0,68,1.4157333312389127e-08,system_energy_price_da,"['congestion_price_da', 'marginal_loss_price_da', 'system_energy_price_da']"
total_lmp_da,1,67,0.2644914935656282,,
congestion_price_da,0,68,1.0443773098080782e-07,total_lmp_da,"['marginal_loss_price_da', 'system_energy_price_da', 'total_lmp_da']"
congestion_price_da,1,67,0.8361605924533543,,
metered_load_mw,0,68,0.0037301559589620606,,
total_gen,0,68,0.0024687039286403886,,
