case_id,target_feature,case_type,feature_count,features,best_test_r2,best_test_mse,best_epoch,final_train_r2,final_train_mse,final_test_r2,final_test_mse
gen_fuel_coal_mw__C_only,gen_fuel_coal_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.8534519076347351,0.1388339617562185,115,0.9046303629875183,0.09536962313570428,0.8534519076347351,0.1388339617562185
gen_fuel_gas_mw__C_only,gen_fuel_gas_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.8071210980415344,0.18272594187590407,140,0.8928351402282715,0.10716485929292499,0.8071210980415344,0.18272594187590407
gen_fuel_hydro_mw__C_only,gen_fuel_hydro_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.8941884636878967,0.10024171898981965,149,0.9260544776916504,0.07394552504903801,0.8941884636878967,0.10024171898981965
gen_fuel_nuclear_mw__C_only,gen_fuel_nuclear_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_oil_mw,0.9075376391410828,0.08759525341049927,157,0.9373930096626282,0.06260696953499276,0.9075376391410828,0.08759525341049927
gen_fuel_oil_mw__C_only,gen_fuel_oil_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw,0.9472367763519287,0.04998584067244537,153,0.9625059962272644,0.03749401988724458,0.9472367763519287,0.04998584067244537
gen_fuel_solar_mw__C_only,gen_fuel_solar_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.8298855423927307,0.1611597951637899,160,0.8948904275894165,0.10510954559758635,0.8298855423927307,0.1611597951637899
gen_fuel_wind_mw__C_only,gen_fuel_wind_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.851193904876709,0.14097305026087092,160,0.9064613580703735,0.09353865249740269,0.851193904876709,0.14097305026087092
gross_sched_interchange_mw__C_only,gross_sched_interchange_mw,C_only,8,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.9402909278869629,0.05656604024172738,157,0.9551247358322144,0.04487524669003637,0.9402909278869629,0.05656604024172738
prelim_load_avg_hourly__C_only,prelim_load_avg_hourly,C_only,8,gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw,0.7707679271697998,0.21716550564983997,131,0.8670762181282043,0.13292376807458203,0.7707679271697998,0.21716550564983997
gen_fuel_coal_mw__C_plus_R,gen_fuel_coal_mw,C_plus_R,54,da_as_as_mw_thirty_minutes_reserve;da_as_total_mw_thirty_minutes_reserve;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_gas_mw;da_as_as_req_mw_thirty_minutes_reserve;da_as_as_req_mw_primary_reserve;da_as_as_req_mw_synchronized_reserve;total_pjm_assigned_reg;da_as_as_mw_primary_reserve;da_as_total_mw_primary_reserve;da_as_as_mw_synchronized_reserve;total_pjm_reg_purchases;gen_fuel_other_renewables_mw;total_lmp_da;total_pjm_rmpcp_cr;forecast_load_mw_day_ahead;total_pjm_rmccp_cr;gen_fuel_wind_mw;da_as_total_mw_synchronized_reserve;system_energy_price_da;gen_fuel_multiple_fuels_pct;gen_fuel_multiple_fuels_mw;marginal_loss_price_rt;gen_fuel_gas_pct;marginal_loss_price_da;total_lmp_rt;rmccp;system_energy_price_rt;rmpcp;gen_fuel_wind_pct;wind_generation_mw;gross_inadv_interchange_mw;gen_fuel_oil_mw;da_as_mcp_primary_reserve;total_pjm_rt_load_mwh;metered_load_mw;forecast_load_mw_latest_available;prelim_load_avg_hourly;gross_actual_interchange_mw;gen_fuel_hydro_mw;total_pjm_loc_credit;total_losses;net_inadv_interchange_mw;da_as_nsr_mw_primary_reserve;total_pjm_self_sched_reg;da_as_ss_mw_synchronized_reserve;da_as_ss_mw_thirty_minutes_reserve;da_as_ss_mw_primary_reserve;gen_fuel_solar_mw;gen_fuel_coal_pct;congestion_price_rt;da_as_mcp_synchronized_reserve;congestion_price_da,0.9679884314537048,0.030326502125074224,121,0.9913742542266846,0.008625770849761823,0.9679884314537048,0.030326502125074224
