gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_oil_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0331016,0.98290026,0.9445052,0.93582535,1.0157179,0.8094802,0.89186954,0.7025501,0.79056716,0.87855,1.0620062,1.1147465,0.9616519,0.6717985,1.0760705,1.0256879,0.72388554,0.9803672,0.9658227,0.87079287,0.6996624,0.7720802,0.99976933,0.8579728,0.7109007,0.7177185,0.87844306,0.7672269,1.0688539,0.7263844,1.2385193,0.87819654,0.87164044,1.0616608,0.9905531
0.8930071,0.8440175,0.7898777,0.7633184,0.9492954,0.62418497,0.7125781,0.48995277,0.61547095,0.62214786,0.87680477,1.0545247,0.7528673,0.43381435,0.99860734,0.88496333,0.5825806,0.84407216,0.91897494,0.7155676,0.5270912,0.62355113,0.9592639,0.7892716,0.50499684,0.5094873,0.6278194,0.54560435,0.9767717,0.5228591,1.3064802,0.7954843,0.7759707,1.0421666,0.8432564
0.74642706,0.69518554,0.6466986,0.59745175,0.8800338,0.4564613,0.56605446,0.32922575,0.47134683,0.44045624,0.70050395,0.96796805,0.567512,0.27159375,0.90233994,0.73039854,0.4620869,0.6946776,0.85902387,0.56451064,0.38658205,0.48800716,0.9039843,0.6938575,0.33667248,0.34372494,0.4353931,0.3805991,0.8685189,0.3555099,1.3211617,0.70456356,0.7102311,1.0056274,0.6816294
0.6107819,0.5599377,0.52263606,0.45878828,0.8132861,0.3211184,0.44272274,0.21140142,0.3478226,0.30069157,0.5528734,0.8703126,0.42193335,0.16598575,0.8003086,0.58038414,0.35355523,0.5565597,0.7903278,0.42794946,0.26753712,0.37673348,0.8454342,0.5747465,0.2150652,0.22330828,0.29477054,0.2554058,0.7451791,0.23215231,1.3163663,0.6173935,0.63645166,0.9718593,0.5366903
0.49401775,0.44089934,0.41262227,0.33905232,0.74801004,0.21700749,0.33834723,0.13064647,0.2499597,0.20089151,0.43115953,0.77700824,0.3058045,0.09733305,0.7120651,0.45508143,0.26544213,0.43480334,0.7154287,0.31267932,0.17746669,0.28412035,0.7935226,0.49272385,0.13307296,0.13931394,0.19341758,0.16467404,0.62912107,0.14462756,1.3193707,0.53030884,0.58469707,0.9299247,0.4220287
0.38801515,0.33876973,0.32033062,0.24593714,0.671746,0.14021637,0.25048104,0.077038266,0.17348464,0.12917645,0.3273726,0.67955524,0.21473576,0.054545563,0.62474585,0.34638798,0.19126965,0.3280248,0.642114,0.22052866,0.113620825,0.2066377,0.7353915,0.40434182,0.07885212,0.083801135,0.12404073,0.10271031,0.5159564,0.086354434,1.3082063,0.44869772,0.5386737,0.89149636,0.32616466
0.29880247,0.25542828,0.24273475,0.17374721,0.6018647,0.08740704,0.18179782,0.043223258,0.11682988,0.07937032,0.24441712,0.59697396,0.14553432,0.028319879,0.5445486,0.25845963,0.13490099,0.24321936,0.5712255,0.15021539,0.069160506,0.14516778,0.6822935,0.33095205,0.04466236,0.048068207,0.07642841,0.061562862,0.41659743,0.049156792,1.2977836,0.37532577,0.49522552,0.8496403,0.24896151
0.22018011,0.18641378,0.17999567,0.118941024,0.5315127,0.052661862,0.12738496,0.022983227,0.0756814,0.046665393,0.1766671,0.5023939,0.09518926,0.013638453,0.46128032,0.1843832,0.0917486,0.1739241,0.50118464,0.0984287,0.04004507,0.09928169,0.6258142,0.25666988,0.02392256,0.026097443,0.044847727,0.03526018,0.3265069,0.026542475,1.2942215,0.31243062,0.4524525,0.8031054,0.18697089
0.1594017,0.13115685,0.12964372,0.07842106,0.4619427,0.03028207,0.087531805,0.0114765,0.04743826,0.025910007,0.123399384,0.41587612,0.060091387,0.0059961304,0.3912795,0.12839183,0.06036432,0.12088843,0.4357519,0.062455628,0.022179943,0.06604694,0.56448275,0.1936781,0.011999998,0.013362407,0.025152218,0.019182311,0.25034285,0.013498165,1.2812324,0.2551872,0.40903687,0.7506994,0.14007172
