k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.3306037399134435,0.03147857023881773,0.3306037399134435,0.22984471834258857,0.3306037399134435,0.3306037399134435
2,0.6707679394450624,0.24301869327005154,0.6707679394450624,0.4607499214685232,0.6707679394450624,0.6707679394450624
3,0.7183155591483262,0.29206871128214307,0.7507310529718778,0.5109015632504412,0.7507310529718778,0.7507310529718778
4,0.7554327360155572,0.489309911478349,0.7844485963988486,0.6569199596936303,0.7844485963988486,0.7563714478344383
5,0.7963570069147288,0.5213549839500504,0.799310719390196,0.7271774687506711,0.7875732941327559,0.7909741374276961
6,0.8383030947456092,0.6152935857087801,0.8012928534359571,0.7889905288775281,0.8163713729411581,0.791953804539462
7,0.8490888025927303,0.7720971566792835,0.8137411528172184,0.801207929309083,0.8211175560811075,0.7859882434754367
8,0.8658526548637134,0.8272459437891558,0.8178731224525713,0.8132092661115938,0.8225858694504835,0.8031485475090274
9,0.8677339804467251,0.827797286507617,0.8236724188536007,0.8314913294729271,0.8344262244091408,0.8022834795813035
10,0.8778224494531829,0.8302287749830224,0.8329788283036985,0.8376657240017422,0.8319498679253788,0.8326533606143152
