wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.67874753,0.667664,0.98047113,1.0492632,0.6911884,0.7052356,0.95568866,0.82244563,0.67426187,0.8466387,0.64701253,0.6799687,0.83809775,0.6796473,0.7196086,0.6358799,1.0640498,0.77361083,0.7753664,0.6506471,0.66347665,0.64500195,0.6597723,0.67406905,0.651845,0.6520788,0.64306885,0.690219,0.67041886,0.7677916,0.7637068,0.6936855,0.6624725,0.689568,0.6688371,0.66418654,0.65592724,0.9419173,0.7129179,0.6866946,0.68928075,0.68426454,0.67588484
0.41981173,0.42968023,0.7791787,0.8652463,0.4499582,0.4639787,0.7028625,0.57928115,0.4108699,0.5920313,0.41188493,0.46829927,0.58824784,0.4323354,0.47843096,0.38679415,0.9047308,0.5512343,0.52464044,0.40955296,0.41390523,0.4087589,0.43977588,0.43739673,0.40374842,0.40960827,0.4046195,0.47284862,0.43222478,0.5529642,0.54130036,0.46272767,0.43651482,0.45725173,0.41711763,0.42749557,0.41011637,0.792477,0.47910288,0.44788486,0.45251095,0.4536178,0.4308378
0.25211367,0.2658923,0.60603905,0.6866902,0.28306663,0.29647598,0.5112111,0.3860797,0.24159037,0.4014418,0.2557523,0.31007525,0.39776927,0.2618068,0.3064089,0.22760384,0.74098533,0.37612066,0.34093747,0.2482767,0.24934164,0.24889669,0.2812791,0.27268666,0.24300858,0.24727643,0.24560949,0.30610174,0.2676577,0.37671,0.3642853,0.29466957,0.2769903,0.29290694,0.252976,0.26238963,0.2469138,0.6403763,0.30979764,0.28169927,0.28533182,0.28819707,0.2641471
0.14620563,0.15948993,0.46083614,0.5378228,0.17299493,0.1827064,0.37796092,0.24898614,0.13588771,0.2685286,0.15199062,0.19941941,0.2588976,0.15302135,0.18835102,0.12865993,0.5996191,0.24869122,0.21480252,0.14464836,0.14415382,0.14506793,0.1720329,0.1631546,0.1402155,0.14294314,0.14309837,0.19063507,0.15959875,0.24763918,0.2343898,0.18015705,0.16941777,0.18075097,0.15037215,0.15508625,0.14256506,0.50422883,0.19214246,0.17036378,0.17285217,0.17900778,0.15482059
0.08377558,0.09267834,0.34055668,0.424613,0.1038989,0.108711824,0.29039198,0.15432525,0.07293953,0.18054155,0.08614405,0.12669168,0.16152793,0.085968934,0.11287525,0.06865375,0.48618448,0.15791099,0.12930365,0.08042374,0.080187485,0.080545776,0.10059227,0.09341811,0.07806159,0.07853143,0.08007111,0.113170125,0.09094826,0.15623035,0.14498027,0.10554455,0.099397235,0.10798078,0.08871629,0.08790729,0.07858033,0.38991213,0.11426141,0.09852952,0.09973917,0.11272666,0.08714529
0.04628342,0.051891096,0.24959412,0.33800092,0.061339635,0.062658496,0.2278617,0.09208849,0.037218615,0.122901775,0.046142966,0.08009581,0.09690817,0.04681723,0.06538298,0.0347419,0.39852837,0.09586236,0.073904246,0.042308796,0.04242608,0.04249357,0.05612767,0.05075103,0.043294366,0.041094568,0.04348521,0.06428388,0.049233075,0.09466337,0.08617545,0.059461992,0.0564108,0.06192004,0.05369183,0.047828767,0.041245215,0.3014447,0.06500573,0.05519202,0.054711677,0.074493155,0.046889473
0.025167463,0.0280421,0.17989263,0.2719512,0.03633813,0.035592604,0.18872495,0.05359036,0.01775606,0.08898317,0.02367308,0.05293195,0.055370785,0.024832187,0.037087906,0.016723435,0.33439225,0.056258075,0.040240414,0.02105838,0.021495968,0.021189302,0.0298834,0.026121126,0.024645291,0.020267842,0.023645382,0.034809723,0.025431564,0.055148914,0.049247343,0.0322938,0.030803917,0.0356311,0.033767875,0.024936466,0.020395573,0.2384796,0.03511839,0.02941065,0.028492887,0.052243575,0.02400675
0.01306065,0.013991059,0.12680174,0.22000934,0.021767134,0.021114917,0.16090287,0.029610932,0.007911633,0.06665141,0.011644687,0.03746396,0.030265752,0.012548978,0.02060207,0.0077950577,0.29162616,0.03138587,0.020763487,0.009726659,0.01022537,0.009895271,0.015358526,0.012648943,0.015549503,0.009532641,0.013089358,0.017824275,0.012671864,0.03097575,0.026888156,0.016834212,0.016158974,0.02005243,0.02498523,0.012213824,0.00943242,0.19157149,0.018090094,0.015157103,0.013987519,0.038637783,0.011545259
0.0060296133,0.0062926514,0.088235065,0.18237634,0.013211476,0.0132587915,0.14447346,0.015966987,0.003246176,0.05029487,0.0053933067,0.026495278,0.015613288,0.005881893,0.011085869,0.0034374972,0.26449007,0.017030807,0.010120428,0.004121408,0.0044187233,0.0042979117,0.0076938574,0.0057139485,0.011288971,0.0041732355,0.007377581,0.008589716,0.006182601,0.016717086,0.013998644,0.008219003,0.007928371,0.0109838545,0.021002598,0.0056225513,0.0040471493,0.15922807,0.008917112,0.007538069,0.006433987,0.03250046,0.0051429113
