system_losses_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.6104954,0.49286607,0.57925296,0.54041374,0.5218098,0.42962798,0.5886255,0.49950123,0.5245593,0.48142016,0.52862394,0.568651,0.49222076
0.69017744,0.5333833,0.61935556,0.5618795,0.5391561,0.4287273,0.6716302,0.52650887,0.5192009,0.5125451,0.5277567,0.61870766,0.48114082
0.7537277,0.5678845,0.63935244,0.5920139,0.5592714,0.44602183,0.73334044,0.5303761,0.5148637,0.5354276,0.5318609,0.6599783,0.47887823
0.7976113,0.59374154,0.66408265,0.6224548,0.5910734,0.4455043,0.79934865,0.5399535,0.507541,0.5708171,0.53774756,0.70809925,0.45600045
0.84787446,0.6096596,0.6852361,0.644799,0.6357851,0.46955857,0.8492782,0.5500077,0.49580243,0.6102367,0.5352168,0.74165964,0.44212103
0.8796213,0.63870585,0.70511377,0.6608153,0.6658827,0.49035344,0.90170825,0.5669512,0.48147348,0.6533965,0.55074394,0.7831793,0.42432553
0.929791,0.65777344,0.71286356,0.6761618,0.70701015,0.49031872,0.95221955,0.5562676,0.45336503,0.69280946,0.5613168,0.817703,0.4051039
0.974709,0.69123995,0.72808975,0.7051065,0.74479765,0.5054507,0.997514,0.55215615,0.43729818,0.73814976,0.56905293,0.85394424,0.3908056
1.0163821,0.7229766,0.7402929,0.7317409,0.76608706,0.5106364,1.0422677,0.55690956,0.4174657,0.7777981,0.5781602,0.8897452,0.37165344
1.0515611,0.75007504,0.7584467,0.75392896,0.788705,0.4987357,1.081846,0.560316,0.4033723,0.80081654,0.59852064,0.92407775,0.3536623
1.0876321,0.76355565,0.7708476,0.77802885,0.8320331,0.4997476,1.1278197,0.5527608,0.38061872,0.8280992,0.6108091,0.95429665,0.34094122
1.1184341,0.7836643,0.78234696,0.7991585,0.86046976,0.50665665,1.1654043,0.543277,0.34693182,0.8580675,0.6412575,0.9892475,0.29942808
1.151976,0.80678135,0.79076344,0.8191624,0.895029,0.5091396,1.2052745,0.537393,0.30617365,0.89055204,0.66179997,1.030228,0.2782283
1.1825668,0.82487756,0.80062485,0.83504874,0.9360047,0.5380546,1.2415049,0.5283512,0.2626422,0.92050725,0.6988616,1.067261,0.244126
1.2145435,0.8442637,0.8106584,0.84790605,0.9641272,0.52871495,1.2716514,0.51933837,0.20991647,0.96180636,0.7412274,1.0957803,0.20681776
1.2585089,0.8739957,0.8222158,0.8651027,1.0082183,0.5340351,1.3071026,0.50654256,0.1576834,0.98538315,0.79182225,1.1361929,0.16936189
1.2932088,0.8842665,0.8415833,0.8755676,1.0390351,0.526615,1.3368918,0.49074212,0.10382177,1.0120186,0.83123744,1.1841975,0.12397105
1.3149068,0.9082866,0.8604167,0.89196324,1.0878891,0.528055,1.355236,0.47521666,0.054236334,1.0291501,0.8751936,1.2255054,0.091632575
1.3449821,0.92240936,0.8810033,0.9165518,1.1324565,0.5270079,1.3759122,0.46364725,0.003317875,1.057066,0.9265068,1.2534466,0.0523225
1.3721331,0.9584624,0.9035759,0.9449174,1.1880955,0.51769114,1.4020373,0.4592401,-0.04933662,1.0874871,0.9619661,1.2883295,0.014379578
1.3998721,0.982091,0.91617864,0.9708363,1.219276,0.505007,1.4215348,0.44806927,-0.1017948,1.11461,0.9712755,1.3253161,-0.023325209
1.429171,1.0086266,0.92920935,0.9775418,1.2550426,0.49554187,1.4433811,0.42997837,-0.16789901,1.1404498,1.01265,1.3464243,-0.06607485
1.4569238,1.0341693,0.93771297,0.98232657,1.2870244,0.48319557,1.4725194,0.39457145,-0.2360862,1.1648386,1.0554774,1.3698446,-0.10470153
1.4814073,1.0526108,0.9461614,0.998682,1.3234855,0.4627402,1.4989957,0.36267486,-0.30184528,1.1814326,1.0952438,1.409482,-0.15240234
1.5042807,1.0771725,0.9616949,1.0198842,1.364109,0.46582523,1.5138704,0.32352537,-0.35701543,1.2041682,1.1352388,1.4416227,-0.1948468
1.5236952,1.1110137,0.96834975,1.0342628,1.3947618,0.44591832,1.5363084,0.2792773,-0.415814,1.2182008,1.1681517,1.4542265,-0.23713264
1.5656962,1.1327709,0.9900091,1.0688733,1.4211909,0.42566174,1.5638434,0.23751281,-0.47018024,1.2369645,1.1974145,1.494704,-0.2836374
