area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4216509,0.44764176,0.4371122,0.409567,0.4237786,0.44783926,0.4846411,0.4012421,0.44029775,0.597383,0.52294433,0.45757684,0.4029614,0.42498615,0.46059713,0.54443437,0.4986218,0.46929428,0.6230504,0.6229402
0.38158318,0.41229635,0.41480106,0.34924972,0.37770304,0.443163,0.4790966,0.3719942,0.4309509,0.68348235,0.5559858,0.48030606,0.35896343,0.40368295,0.43775648,0.6019519,0.518052,0.504854,0.6891786,0.69096076
0.3347045,0.39036834,0.40149242,0.32066628,0.34523082,0.4243758,0.47807908,0.3414062,0.41832507,0.74189633,0.601167,0.48665646,0.3218755,0.36522838,0.42730626,0.6632144,0.52895296,0.53639346,0.7372779,0.7596642
0.32640493,0.3719099,0.37243834,0.29263464,0.33016518,0.41175225,0.47272196,0.31957945,0.405794,0.79702264,0.6268447,0.48832762,0.33719876,0.31554574,0.41523683,0.72958654,0.5583614,0.58728373,0.7880454,0.82265085
0.30673328,0.36038,0.37130705,0.24765071,0.30673245,0.3969347,0.4769639,0.29752377,0.395744,0.83383524,0.6429595,0.4971181,0.32833892,0.2933301,0.40741152,0.7890479,0.59616333,0.62048596,0.8271777,0.876716
0.2828341,0.32928795,0.35954112,0.1974716,0.29181737,0.38526285,0.4760517,0.2647101,0.37981206,0.8815684,0.66675997,0.50789624,0.32203102,0.27200106,0.39280197,0.85554236,0.6415205,0.65836376,0.8583474,0.92508197
0.27437112,0.30503282,0.35070494,0.14199156,0.29635495,0.36046985,0.47552398,0.24229488,0.3778931,0.92628306,0.68654764,0.5257664,0.30988932,0.23059292,0.37617907,0.91581196,0.6790451,0.7113252,0.89269984,0.9688718
0.28673992,0.27336794,0.34259596,0.09640015,0.29839262,0.3435702,0.47471097,0.20469686,0.35793006,0.96497923,0.7226433,0.5391152,0.32219553,0.20757045,0.36807796,0.97877115,0.7321068,0.74214464,0.9251852,1.0228492
0.26797315,0.27430788,0.3369459,0.04728039,0.3030535,0.32483038,0.48392686,0.17270702,0.341097,1.0106469,0.73278016,0.5469173,0.3238175,0.17149925,0.36718518,1.0458796,0.8066505,0.7890933,0.952192,1.0750605
0.24348423,0.28205952,0.3317713,-0.0056532254,0.29143295,0.30996886,0.4798346,0.13653702,0.32491547,1.0479447,0.7677477,0.5638052,0.308788,0.16096336,0.35546497,1.0903742,0.8577195,0.85148525,0.9899054,1.1114173
0.25347292,0.29101714,0.32047817,-0.047190458,0.29976025,0.3075017,0.4787342,0.108862616,0.3192397,1.0723461,0.79056966,0.5690179,0.32947943,0.13472663,0.35744846,1.1384916,0.9106745,0.89316505,1.012352,1.1546363
0.2523728,0.26784655,0.3155865,-0.081172355,0.30746222,0.2967677,0.47668093,0.07366073,0.30167866,1.0928935,0.8268106,0.5707959,0.32629234,0.10696509,0.34712437,1.2087194,0.9596341,0.9249969,1.0424937,1.1863418
0.26238415,0.2677306,0.30415133,-0.12422056,0.32485646,0.29663113,0.4682219,0.042317495,0.29085267,1.1184099,0.85357,0.57441336,0.36200795,0.094227664,0.32694227,1.2699476,1.008682,0.9724862,1.0572783,1.213132
0.27948782,0.2574243,0.29659456,-0.17564343,0.33832103,0.2711762,0.47383064,0.014824256,0.26894474,1.1413553,0.87203103,0.5774371,0.3649493,0.054859918,0.309852,1.3237859,1.08566,1.0136967,1.0872269,1.260013
0.28886172,0.25282982,0.30139428,-0.22862074,0.36726,0.2637195,0.47969037,-0.008391878,0.25690663,1.1686286,0.88583153,0.5795432,0.39433292,0.03246768,0.29572588,1.3646014,1.1382489,1.0497992,1.1197202,1.2912055
0.29868135,0.23522165,0.29299426,-0.25980496,0.37792233,0.24303463,0.48379025,-0.036283255,0.23999414,1.1870525,0.9054672,0.58218753,0.4160328,0.01019969,0.2791343,1.4046971,1.1873342,1.0694331,1.1461186,1.3108017
0.31502455,0.2284883,0.28873476,-0.30246037,0.3924961,0.220164,0.4938279,-0.04845201,0.22082311,1.2128644,0.91864973,0.57897717,0.43852317,-0.015324976,0.2612726,1.4343147,1.2363209,1.0902469,1.1824117,1.3389899
0.31596103,0.22031005,0.2747468,-0.34256124,0.41733643,0.19757414,0.520905,-0.06412779,0.19722897,1.2276433,0.9182508,0.56894684,0.45503902,-0.041819256,0.24285111,1.484054,1.2808346,1.1145799,1.1996528,1.3603256
0.31859288,0.21649389,0.2760086,-0.38325658,0.45056072,0.17335197,0.5359438,-0.10217056,0.1633147,1.2542003,0.9390936,0.56031257,0.4783849,-0.047746636,0.2236479,1.5145849,1.3239063,1.1396518,1.2260144,1.3975904
0.32711187,0.20344308,0.2756156,-0.41373098,0.47886223,0.14989659,0.56043565,-0.13570169,0.1464018,1.2830517,0.9582508,0.55622137,0.48979184,-0.06549709,0.20152614,1.5554215,1.3537505,1.1515836,1.2513095,1.4116726
