solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.40987682,0.5479781,0.5148665,0.5179243,0.4174316,0.40691647,0.5372396,0.37649128,0.49823692,0.45870605,0.44833988,0.4934825,0.4630507,0.5230318,0.55576646,0.50061643,0.41678157,0.5437132,0.49266833,0.434307,0.51160085,0.48072582,0.5044936,0.45157707,0.482105,0.44811141,0.5241298,0.5376594,0.4071974,0.42672595,0.41243756,0.39158183,0.5226303,0.3939041,0.5118335,0.49110758,0.49580374,0.54267865
0.3529785,0.5500583,0.5217507,0.5137831,0.35932714,0.4367676,0.58368295,0.2858958,0.4806943,0.46927273,0.50280887,0.47633737,0.4265834,0.51941466,0.5878073,0.47490767,0.36007074,0.54691297,0.5049818,0.4111902,0.522516,0.47181734,0.49710983,0.42112765,0.4629485,0.45627022,0.5462112,0.56127334,0.34014052,0.37639278,0.35882407,0.30837008,0.5662127,0.3539634,0.5181318,0.49260643,0.49399883,0.57897997
0.2868006,0.5617838,0.52074766,0.5056613,0.3103628,0.46829337,0.6117148,0.19245051,0.44871935,0.4812844,0.5316333,0.4947347,0.39901772,0.5117946,0.594112,0.44634902,0.30491772,0.54267925,0.5174764,0.39277923,0.5241496,0.46206498,0.5034459,0.4016789,0.4519278,0.45641792,0.56664777,0.59910727,0.2656241,0.32277927,0.30314773,0.21771555,0.59253454,0.28269547,0.5217853,0.50195354,0.50489223,0.59253687
0.21109343,0.56481254,0.51185083,0.49312207,0.25676373,0.5018863,0.6248282,0.0976389,0.39799207,0.49047473,0.537921,0.4786615,0.36204237,0.50651443,0.6040788,0.41582897,0.2417042,0.5378817,0.5073075,0.37071905,0.5184625,0.4474219,0.5014024,0.36235172,0.43722066,0.4467501,0.58624166,0.62451047,0.20463379,0.2681499,0.23669119,0.14666705,0.61782944,0.2357239,0.5222682,0.5049887,0.5196499,0.60339564
0.14552759,0.5647258,0.51364475,0.48012465,0.19374198,0.5089117,0.6378541,0.011332578,0.36713266,0.49304497,0.5587624,0.4531155,0.31198847,0.5040128,0.6403878,0.37961018,0.1791345,0.5448027,0.5199769,0.3486829,0.52051616,0.4431601,0.50226057,0.3368825,0.43085918,0.4245089,0.6007102,0.66227335,0.1522003,0.216294,0.16230494,0.06828431,0.64454216,0.15329602,0.51370144,0.50526685,0.5304041,0.6279144
0.07943512,0.5649629,0.49566412,0.47051406,0.12854867,0.5323628,0.64973277,-0.0741012,0.3368262,0.49566022,0.5706839,0.44612446,0.26349455,0.49020016,0.6574119,0.341729,0.12191981,0.55270535,0.51460016,0.31627977,0.51860946,0.44062394,0.5011148,0.31632873,0.41694677,0.40901423,0.6211817,0.6877802,0.09136323,0.14407212,0.086795025,-0.017210627,0.66578364,0.08984803,0.512689,0.50984645,0.5410263,0.64246637
-0.005113388,0.5803242,0.47087628,0.45144147,0.068982214,0.54595006,0.6778997,-0.14249894,0.3140503,0.49991164,0.58795345,0.43866858,0.2115171,0.47327498,0.6672737,0.30012643,0.06454527,0.5604538,0.5104817,0.2880245,0.525415,0.43055487,0.5087766,0.28936765,0.40085572,0.4024245,0.6390177,0.70890516,0.031456094,0.055453133,0.011619779,-0.10618525,0.6977132,0.03603023,0.5234191,0.5057728,0.52993214,0.6607564
-0.06891424,0.58618003,0.45374903,0.44706047,0.006145793,0.5691893,0.6907376,-0.20571336,0.27114955,0.4989405,0.60969317,0.43394503,0.15021253,0.4560653,0.67553854,0.2664918,0.0060255555,0.55814767,0.5075287,0.2707436,0.5267724,0.4124117,0.51010036,0.2721385,0.3660423,0.4048026,0.653657,0.7418246,-0.033052918,-0.0030369775,-0.07181742,-0.18219307,0.72546285,0.013338763,0.5233563,0.51184905,0.5422522,0.6868448
-0.13225624,0.59151983,0.44731095,0.43431413,-0.054148346,0.589925,0.7067194,-0.27453154,0.22124793,0.5113952,0.6229362,0.41688707,0.08393229,0.45004532,0.7032852,0.21958219,-0.052925475,0.5611169,0.51649773,0.22668254,0.5227828,0.4058708,0.5226562,0.25076303,0.35124126,0.38996917,0.6615368,0.77032083,-0.1036961,-0.06586572,-0.15386769,-0.25791168,0.74354076,-0.012963673,0.53643596,0.5089668,0.54814863,0.6860399
