feature,gate_abs,effective_norm,gate_score,mask_sensitivity,mask_sensitivity_score,combined_score
gen_fuel_other_renewables_mw,1.0520519,1.7649268,0.7556112,0.0322878360748291,0.9999999999690287,0.877805590614092
congestion_price_da,1.4310776,2.3357606,1.0,0.02262181043624878,0.7006294997013945,0.8503147498506973
total_pjm_self_sched_reg,0.8965936,1.4377445,0.6155359,0.02133578062057495,0.6607993354050464,0.6381676251514825
da_as_as_mw_thirty_minutes_reserve,0.967365,1.4063674,0.6021026,0.021717548370361328,0.6726232231654334,0.6373629004258716
gross_inadv_interchange_mw,0.9118074,1.4317739,0.6129797,0.020844697952270508,0.6455898098378601,0.6292847599699707
total_losses,0.9912701,1.410148,0.60372114,0.017378509044647217,0.5382370315506182,0.5709790866829019
total_pjm_loc_credit,1.0204788,1.7830452,0.7633681,0.010701000690460205,0.3314251430578542,0.5473966363940395
da_as_total_mw_thirty_minutes_reserve,0.9838246,1.4393677,0.6162308,0.014269590377807617,0.44194941848363545,0.5290901021651728
total_pjm_rt_load_mwh,0.7989699,1.0813986,0.46297494,0.017638325691223145,0.5462839209725584,0.5046294283712967
da_as_mcp_primary_reserve,0.8725685,1.5127182,0.6476341,0.010977506637573242,0.339988923748008,0.4938115063705403
gen_fuel_gas_pct,0.8785327,1.0970477,0.4696747,0.015925467014312744,0.4932342624916465,0.48145448447534595
gen_fuel_multiple_fuels_mw,0.9193369,1.2667031,0.5423086,0.013505697250366211,0.41829056672139975,0.48029959764025615
forecast_load_mw_latest_available,0.8051299,0.99638623,0.4265789,0.01689612865447998,0.5232970278590005,0.47493796850885356
total_lmp_da,1.0483369,1.5127879,0.64766395,0.009356081485748291,0.2897710910008094,0.46871752096045716
metered_load_mw,0.79764277,0.9067337,0.38819632,0.015165925025939941,0.4697101716671951,0.4289532455044273
system_energy_price_da,0.94446355,1.4720734,0.630233,0.0068759918212890625,0.2129592025040191,0.42159609614603727
gross_actual_interchange_mw,0.9195407,1.4799602,0.63360953,0.006419777870178223,0.19882961047935055,0.41621957189464354
congestion_price_rt,1.1160649,1.736319,0.7433634,0.002766430377960205,0.08568026582714146,0.4145218231296352
forecast_load_mw_day_ahead,0.8312122,1.0725911,0.4592042,0.011713266372680664,0.362776444515255,0.41099032072259334
da_as_mcp_synchronized_reserve,1.0389411,1.5620763,0.6687656,0.003706991672515869,0.11481078087146723,0.3917881926837347
gen_fuel_multiple_fuels_pct,0.80732423,1.2460212,0.5334541,0.007914900779724121,0.2451356839503181,0.3892949020547336
marginal_loss_price_da,0.87698257,1.2078146,0.5170969,0.007745802402496338,0.23989846777916776,0.37849767243862564
net_inadv_interchange_mw,0.8155531,1.1993405,0.5134689,0.004536628723144531,0.14050581502241594,0.32698736810347784
marginal_loss_price_rt,0.95128965,1.409858,0.603597,0.0011751651763916016,0.036396529443214636,0.3199967573916665
total_pjm_assigned_reg,0.79590935,1.1303155,0.48391756,0.005019962787628174,0.1554753553579316,0.3196964597558014
gen_fuel_coal_pct,1.0197841,1.4817699,0.63438433,-0.0007628202438354492,0.0,0.3171921670436859
da_as_as_req_mw_synchronized_reserve,0.61571264,0.7938776,0.3398797,0.008912444114685059,0.2760310134675447,0.30795535253417217
da_as_as_req_mw_primary_reserve,0.72249085,0.8692325,0.3721411,0.007833778858184814,0.2426232231787511,0.3073821580972109
total_pjm_rmccp_cr,0.9619141,1.4317366,0.61296374,-0.00025773048400878906,0.0,0.30648186802864075
rmccp,0.97677994,1.3105195,0.5610675,0.00043588876724243164,0.013500092301594067,0.28728380693685357
gen_fuel_wind_pct,0.6760145,0.8656658,0.37061408,0.005967259407043457,0.18481447294978648,0.27771427728547826
rmpcp,0.89247656,1.2869115,0.55096036,-0.005380392074584961,0.0,0.275480180978775
total_pjm_rmpcp_cr,0.9382165,1.2824788,0.5490626,-0.001109778881072998,0.0,0.2745313048362732
da_as_as_mw_synchronized_reserve,0.6564985,0.82010907,0.35111007,0.006199896335601807,0.19201956802063586,0.2715648194822341
wind_generation_mw,0.6714157,0.8810482,0.3771997,0.004534900188446045,0.14045227985535094,0.25882599463539335
total_lmp_rt,0.79105633,0.9561843,0.40936744,0.003310978412628174,0.10254568949285503,0.25595656581194876
system_energy_price_rt,0.7756414,1.0102667,0.4325215,0.0017902851104736328,0.055447664757374455,0.24398457850009378
da_as_total_mw_synchronized_reserve,0.6395936,0.867405,0.3713587,0.0031938552856445312,0.09891822041414146,0.23513845653008403
da_as_nsr_mw_primary_reserve,0.72906184,1.079254,0.4620568,-0.003388047218322754,0.0,0.23102839291095734
total_pjm_reg_purchases,0.6858773,0.93159384,0.3988396,0.0018715262413024902,0.0579638176094287,0.22840170527154174
da_as_ss_mw_synchronized_reserve,0.7125643,0.9969692,0.4268285,-0.000585019588470459,0.0,0.2134142518043518
da_as_ss_mw_thirty_minutes_reserve,0.7143967,0.9965842,0.42666367,-0.007407963275909424,0.0,0.21333183348178864
da_as_ss_mw_primary_reserve,0.6313354,0.8930813,0.3823514,-0.0027734041213989258,0.0,0.1911756992340088
da_as_total_mw_primary_reserve,0.64826167,0.85113126,0.36439148,-0.003074049949645996,0.0,0.1821957379579544
da_as_as_req_mw_thirty_minutes_reserve,0.58273274,0.66292906,0.2838172,0.0011435151100158691,0.03541628207385234,0.1596167419633254
da_as_as_mw_primary_reserve,0.5208873,0.65900326,0.28213647,-0.0004019737243652344,0.0,0.141068235039711
