,115号母线电压相角,215号母线电压相角,315号母线电压相角,AB1联络线负载率,AB2联络线负载率,AB3联络线负载率,CA1联络线负载率,CB1联络线负载率,121号核电机组出力,218号联合循环机组出力,317号风电机组出力,321号联合循环机组启停状态
area_1_load_actual_mw,0.014564572932081618,0.021360249442119193,0.02243759160757764,0.08748864603713019,0.021412533918316025,0.05616302508786998,0.016206970109965038,0.01877132325262143,0.026349065620662818,0.03381174151367276,0.02071118742642914,0.014353145278359574
area_2_load_actual_mw,-0.005149114800237966,0.005531231095512265,0.0026668951233439053,0.024883378728049924,0.005801431883598079,0.03398246110909068,0.003155288815502772,0.0007461569726235307,0.0046944318035625435,0.04647172563537678,0.0015911759558717084,-0.0009670762388872033
area_3_load_actual_mw,0.001477390646046235,0.002454078722631874,0.00314247294611161,0.008292244742500014,0.0015565861745425067,0.0054939685234786035,0.0018079414177907204,0.00212233105846944,-0.0032978818144521324,0.008611828087955898,0.00041151794676569506,-0.0030431669344274945
system_load_actual_mw,0.005354709710793005,0.010127786447765658,0.01259408691826632,0.037827147866243,0.009973244158814466,0.03439134483996257,0.007969859536302488,0.00768933399113025,0.01510746499225269,0.02228843175535661,0.01336584454060105,0.008644254188401345
area_1_load_day_ahead_mw,-0.01691446439994545,-0.0027807776497521305,-0.005507651436043078,0.06161261961467147,-0.0026368028170499352,0.035238963640936385,-0.008782497317849395,-0.007321137654910607,0.004675070576837959,0.010035580093523885,-0.0071181874058884745,-0.010455841079531309
area_2_load_day_ahead_mw,0.0015564823274862105,0.01232577996260745,0.012344837155128978,0.0333444016313034,0.011801636739009662,0.04269117659963666,0.010169881223144883,0.007976797790134958,0.024177672849128785,0.06420603219690856,0.013453602150226437,0.012597845488593466
area_3_load_day_ahead_mw,-0.002147570978595504,0.00048093865143147407,0.0005818489929707094,0.010350215773951022,-0.0004919286855150935,-0.0028094325294836372,-0.002737962700945288,0.0003056294141343674,0.002928018098357828,0.010893893835121668,8.807164250457114e-05,-0.0018575145019376783
system_load_day_ahead_mw,0.0009747075924894169,0.009190971725653373,0.011286791068186133,0.03122218764675656,0.009549283556030273,0.027492435662748914,0.008817374826832765,0.00824280015531262,0.009285487490234542,0.023228815029507268,0.008308880620040357,0.004224603933441236
system_generation_mw,-7.340229287370725e-05,0.0058663986859029925,0.006329553907167448,0.0339265642869514,0.007084507836354397,0.03608649110904894,0.004172671671704218,0.0036643771056452147,0.004422897467741291,0.02472650673216008,0.0030042031511638696,0.0004118508328313521
system_losses_mw,0.0998821058629143,0.0908869072945786,0.07727736157728644,0.08365446291970316,0.10414896624152171,0.08528045763462333,0.09683187469416676,0.08110216449793915,0.022726902138667834,0.029229977413475387,0.05093757645256202,0.012339567972659653
area_1_net_export_mw,0.05828513748234493,0.04708047748637052,0.05296148799229874,0.05506116889238537,0.049459943715537795,0.03400083877727534,0.028261167280355493,0.043630709418436615,0.07551106082137855,0.017319001769536296,0.0603223934180833,0.012987446759091519
area_2_net_export_mw,0.054895553752484734,0.05001800594203344,0.05911187650743173,0.030581014226956384,0.05902973633325369,0.057834466202462,0.040693226327005026,0.049082138573153467,0.032654751330347564,0.008962318914605399,0.05449767002166141,0.01717569863082924
area_3_net_export_mw,0.03752218631198331,0.026643808438828354,0.029687425694988397,0.021538423809276928,0.026292920301299337,0.011525988153792069,0.028107769236165543,0.034314629047149645,0.05343865902066435,0.00562772051807338,0.04846654890091497,0.018627588391184398
reserve_reg_up_mw,0.020747454474570482,0.013516684199599883,0.004322918152022671,0.03499974556627935,0.012384601961245894,0.0039025797423311234,0.007141756256714188,0.009999116551550459,-0.0011327049268383535,-0.0027193154717393125,0.02071864249312929,0.005141963897353506
