字段,贡献值,归一化份额,独立能力,不可替代性,协同冗余指数,类型
area_1_fuel_wind_mw,0.08996484746224744,0.08624299756555064,0.4286393131921041,0.00835912958888052,-0.42028018360322356,替身型
gen_fuel_wind_mw,0.07782259269245455,0.07460306843666527,0.44266279595309027,0.0022984547965630986,-0.4403643411565272,替身型
area_1_fuel_coal_mw,0.07024311601486698,0.06733715505946936,0.4131958070637561,0.0032406900701680286,-0.40995511699358805,替身型
system_losses_mw,0.06952486039166417,0.06664861370458831,0.4469234883940078,0.0030890428790723012,-0.4438344455149355,替身型
area_3_fuel_wind_mw,0.06580341492483928,0.06308112460869016,0.4550922485028617,0.007555889720034847,-0.4475363587828268,替身型
gen_fuel_coal_mw,0.05199432679100987,0.04984331908906111,0.3305745370681204,0.00045687321667697844,-0.3301176638514434,替身型
area_1_fuel_nuclear_mw,0.05052768474607131,0.048437352093293695,0.3386387298843032,0.0042587176446508,-0.3343800122396524,替身型
gen_fuel_nuclear_mw,0.05039018846053458,0.048305544035443175,0.30862484797237,0.006444474148325163,-0.30218037382404483,替身型
area_1_net_export_mw,0.04457340281774536,0.04272939908348387,0.31777133193887597,0.004261254187522767,-0.3135100777513532,替身型
area_2_net_export_mw,0.04287803806352191,0.04110417164748371,0.45549510729763093,0.002760829054326286,-0.45273427824330464,替身型
area_3_fuel_natural_gas_mw,0.04207862163868911,0.04033782711708646,0.12747312453585952,0.011277116393299536,-0.11619600814255998,替身型
area_2_fuel_natural_gas_mw,0.03968884613848976,0.03804691673975944,0.1977496607367897,0.00961987106174933,-0.18812978967504038,替身型
area_1_fuel_solar_mw,0.03681904824673765,0.03529584251939954,0.1636281396711284,0.0022773104402652455,-0.16135082923086316,替身型
area_3_fuel_solar_mw,0.03248512735714634,0.03114121613727668,0.2324073103117386,0.001696453033573575,-0.23071085727816504,替身型
gen_fuel_natural_gas_mw,0.03155079458618734,0.030245536756226814,0.10696314969466839,0.002191052170997576,-0.10477209752367081,替身型
area_1_load_actual_mw,0.029469171018872618,0.028250030052081595,0.08121398121667704,0.003774482230557541,-0.0774394989861195,替身型
area_2_fuel_coal_mw,0.02894937951078926,0.02775174234270668,0.15121703082344118,0.005253612867127111,-0.14596341795631407,替身型
gen_fuel_solar_mw,0.028749355457637793,0.027559993293876997,0.1946846346336616,0.0026790800200290343,-0.19200555461363256,替身型
area_3_net_export_mw,0.028482805652020722,0.027304470666035297,0.1414251597576704,0.0037360379833716317,-0.13768912177429876,替身型
area_3_fuel_coal_mw,0.027598000806525892,0.026456270237884518,0.08279640258903759,0.0019186507136831343,-0.08087775187535445,替身型
area_2_fuel_solar_mw,0.026652819610566716,0.025550191231678027,0.13735993266249666,0.004832393325330475,-0.13252753933716618,替身型
reserve_reg_down_mw,0.024518621991655,0.023504285466879778,0.08654988155459437,0.0022601314557886276,-0.08428975009880574,替身型
reserve_spin_r2_mw,0.022617778892909772,0.02168208033496566,0.11098439381449375,-0.0005947928370115818,-0.11157918665150533,替身型
area_2_load_day_ahead_mw,0.020553845509457665,0.019703531970959216,0.09985960836328261,-0.0005786153926098381,-0.10043822375589245,替身型
area_1_generation_mw,0.020353738025620734,0.01951170294297538,0.07776173153010808,0.0035397350473157507,-0.07422199648279233,替身型
hour_of_day,0.019751216300655624,0.01893410756961399,0.19483043817747742,-0.0006206867590591303,-0.19545112493653655,替身型
reserve_spin_r1_mw,0.017369580183387634,0.016650999848570346,0.08847962568354412,0.0018658394610531204,-0.086613786222491,替身型
system_load_actual_mw,0.01544445907882486,0.014805521093061214,0.056283170361143185,-0.0010343469373620406,-0.057317517298505226,替身型
area_2_generation_mw,0.013760564994269846,0.013191289784595264,0.09729125539674452,-0.00087075487361854,-0.09816201027036306,替身型
