字段,贡献值,归一化份额,独立能力,不可替代性,协同冗余指数,类型
system_load_day_ahead_mw,0.012652028275606426,0.012128613281207297,0.05865027865849203,-0.000645880923536013,-0.059296159582028045,替身型
gen_fuel_hydro_mw,0.012075330136234696,0.011575773170510008,0.04526352468692354,0.0036859569745938403,-0.0415775677123297,独立可加
system_generation_mw,0.010801885041147796,0.010355010557851449,0.06751280107994152,0.0006930224351396896,-0.06681977864480183,替身型
reserve_reg_up_mw,0.010751953574691917,0.010307144758470131,0.0844017422330291,0.0015313442076916317,-0.08287039802533747,替身型
area_2_load_actual_mw,0.010283998840287252,0.009858549333051497,0.10732673773699493,-0.0014568386538730271,-0.10878357639086796,替身型
reserve_spin_r3_mw,0.009246595817652675,0.008864063721400644,0.039164672153931046,-0.0015187939642354875,-0.040683466118166534,独立可加
area_2_fuel_hydro_mw,0.005523417506230474,0.005294913468766244,0.05577029710756971,0.003927963157326908,-0.0518423339502428,无贡献
area_1_load_day_ahead_mw,0.004170406180424396,0.003997876284030033,0.061394024741604734,0.002967378951487021,-0.058426645790117714,无贡献
area_3_fuel_hydro_mw,0.003909344745269213,0.0037476149725106022,0.028500955125339997,0.002543831068700375,-0.02595712405663962,无贡献
area_3_load_actual_mw,0.0024191092931092344,0.0023190306298687385,0.033717907562182445,-0.0007917167973131578,-0.0345096243594956,无贡献
area_1_fuel_hydro_mw,0.001987248810282956,0.0019050362351728143,0.03522593102286058,0.0032928480435422403,-0.031933082979318336,无贡献
area_3_load_day_ahead_mw,0.0012986839176533523,0.0012449573039691772,0.007573503980906698,0.0016426143014974803,-0.005930889679409218,无贡献
area_3_generation_mw,0.0008227489438736198,0.0007887117820471807,0.005701960755887955,-0.0007145217703478091,-0.006416482526235764,无贡献
is_weekend,-0.0002968164896893057,-0.0002845371777952726,0.010733102082813278,8.510191771937681e-05,-0.010648000165093902,无贡献
day_of_week,-0.004367980137588155,-0.004187276597456237,0.00485062689058928,-0.00043753802546453446,-0.005288164916053814,无贡献
area_1_fuel_natural_gas_mw,-0.008233027092350648,-0.007892426381100338,0.025916226671715947,-8.314242280504924e-05,-0.025999369094520997,独立可加
month_of_year,-0.14093989260007678,-0.13510920273052326,-0.991012499975108,-0.012310135336826344,0.9787023646382816,协同型
