,115号母线电压相角,215号母线电压相角,315号母线电压相角,AB1联络线负载率,AB2联络线负载率,AB3联络线负载率,CA1联络线负载率,CB1联络线负载率,121号核电机组出力,218号联合循环机组出力,317号风电机组出力,321号联合循环机组启停状态
area_1_load_actual_mw,0.10224283628155773,-0.010148292192583064,-0.1132062319543582,-0.22932224867228868,0.01635211367277245,-0.08491517829764184,0.00598951286835514,0.0030647197829482,-0.21999816674961792,-0.24748865183715807,-0.09769212169430941,-0.05415227904111297
area_2_load_actual_mw,0.07316848178453761,-0.02467707391608387,-0.0808600348523214,-0.2434529328492644,-0.008178370221895048,-0.16677494028813367,-0.014207606710349707,-0.016389608488597607,-0.19712529106769183,-0.4350164489069186,-0.10136723902889455,-0.09052185214480324
area_3_load_actual_mw,0.04118413768680729,-0.008350776118130399,-0.07409088434959987,-0.08446882237259423,0.004072359799671577,-0.06716075364181939,-0.0063116427832293764,-0.016599993436616778,-0.04279217463995444,-0.10230213060853344,-0.04780009213198444,-0.009494719717966782
system_load_actual_mw,0.09510721164813396,0.00586892048751686,-0.07498645156550687,-0.23392048403172538,0.027730678545520693,-0.12151571405866024,0.016240856786754354,0.002934154566804459,-0.13249721758610356,-0.1842232918802268,-0.05666718893462519,-0.03188168155994586
area_1_load_day_ahead_mw,0.18351623749961277,-0.0006763413718738898,-0.08131247796778518,-0.2210625545164685,0.024899152878462116,-0.08872567356458216,0.03449247306672676,0.02754610165231197,-0.2317109439106827,-0.24715527363358392,-0.058879435138812664,-0.042051014474737136
area_2_load_day_ahead_mw,0.08169127455066827,-0.014725780074938744,-0.061657518498928754,-0.24130674929566387,0.001362633061764873,-0.17725480857434728,0.0005909192455605394,0.0008582208560775628,-0.1942773534562212,-0.427454284153981,-0.08165052265947692,-0.09143471607122378
area_3_load_day_ahead_mw,0.024913236884648304,-0.00973044642254195,-0.050902666983538736,0.010232933513991349,-0.0027614915314325694,0.02617021741987291,0.013992529693956923,-0.002559132213406312,-0.04474184334832931,-0.022075294824670078,-0.0024779329256023885,-0.011230785415861422
system_load_day_ahead_mw,0.09811197353165413,0.004055004836320042,-0.08881688900038365,-0.2289520853235688,0.019076235158395405,-0.14052046047439448,0.014795687777209299,0.003403922355653677,-0.13108272235324936,-0.17245760662063903,-0.0669084901668241,-0.022258484704510084
system_generation_mw,0.0958811324852572,-0.012924248185484322,-0.08285016804470213,-0.24073922490240351,0.0023758373254462173,-0.1662373830491889,0.002817238006816214,-0.003506610369267804,-0.12290338808441925,-0.19430451112691238,-0.06159245460100349,-0.01785356319175957
system_losses_mw,-0.5839538520184204,-0.6846818414635018,-0.4243437925862461,-0.5158078389961791,-0.734945027236494,-0.5196798089075919,-0.5311636946389937,-0.47828743645031824,-0.1574255212262894,-0.31341071052256464,-0.3412317549136553,-0.04108206721897223
