目标,秩相关,前10名重合度,共同字段
115号母线电压相角,0.9602836879432624,1.0,46
215号母线电压相角,0.9660807893925377,1.0,46
315号母线电压相角,0.9144002466851681,0.6666666666666666,46
AB1联络线负载率,0.9209374036386062,0.6666666666666666,46
AB2联络线负载率,0.968177613320999,0.8181818181818182,46
AB3联络线负载率,0.8923219241443108,0.5384615384615384,46
CA1联络线负载率,0.9474560592044403,0.8181818181818182,46
CB1联络线负载率,0.9739747147702744,0.8181818181818182,46
121号核电机组出力,0.927104532839963,0.8181818181818182,46
218号联合循环机组出力,0.9438791242676534,0.8181818181818182,46
317号风电机组出力,0.9479494295405488,0.6666666666666666,46
321号联合循环机组启停状态,0.9711378353376502,1.0,46
