字段,广度_有贡献的目标数,深度_跨目标贡献合计,最大单目标贡献,最强目标,平均协同冗余指数
month_of_year,12,1.6912787112010126,0.3380520926419892,AB1联络线负载率,0.9787023646382819
area_1_fuel_wind_mw,12,1.07957816954684,0.16473803429386324,115号母线电压相角,-0.4202801836032237
gen_fuel_wind_mw,12,0.9338711123094467,0.13523922496146715,317号风电机组出力,-0.4403643411565274
area_1_fuel_coal_mw,12,0.8429173921783297,0.13228097665739752,AB1联络线负载率,-0.40995511699358816
system_losses_mw,12,0.8342983247000985,0.10414896624152171,AB2联络线负载率,-0.4438344455149356
gen_fuel_coal_mw,12,0.6239319214921146,0.08793387905666626,AB1联络线负载率,-0.33011766385144353
area_1_fuel_nuclear_mw,12,0.606332216952866,0.22642816553103484,121号核电机组出力,-0.3343800122396525
gen_fuel_nuclear_mw,12,0.6046822615263748,0.224769446076465,121号核电机组出力,-0.30218037382404495
area_1_net_export_mw,12,0.5348808338130944,0.07551106082137855,121号核电机组出力,-0.3135100777513532
area_2_net_export_mw,12,0.5145364567622241,0.05911187650743173,315号母线电压相角,-0.45273427824330453
area_1_fuel_solar_mw,12,0.44182857896087663,0.06293023493369812,CA1联络线负载率,-0.16135082923086322
area_1_load_actual_mw,12,0.3536300522268054,0.08748864603713019,AB1联络线负载率,-0.07743949898611972
area_2_fuel_coal_mw,12,0.3473925541294965,0.08823654625382472,218号联合循环机组出力,-0.14596341795631407
reserve_reg_down_mw,12,0.2942234638998209,0.051497989124312846,AB1联络线负载率,-0.08428975009880595
reserve_spin_r2_mw,12,0.2714133467148449,0.0627861535611333,218号联合循环机组出力,-0.11157918665150533
area_3_fuel_wind_mw,11,0.7896409790983004,0.13306414969769761,317号风电机组出力,-0.44753635878282677
area_3_net_export_mw,11,0.34179366782432063,0.05343865902066435,121号核电机组出力,-0.13768912177429896
area_3_fuel_coal_mw,11,0.33117600967828614,0.12680998099745808,321号联合循环机组启停状态,-0.08087775187535444
area_2_load_day_ahead_mw,11,0.24664614611330946,0.06420603219690856,218号联合循环机组出力,-0.10043822375589251
area_3_fuel_natural_gas_mw,10,0.5078078069334159,0.2416459907432761,321号联合循环机组启停状态,-0.11619600814256
gen_fuel_natural_gas_mw,10,0.4209597835236465,0.15107716910317848,321号联合循环机组启停状态,-0.10477209752367089
area_3_fuel_solar_mw,10,0.38982152828579153,0.06168645238457603,CA1联络线负载率,-0.2307108572781651
gen_fuel_solar_mw,10,0.3449922654917047,0.05716418697835474,CA1联络线负载率,-0.19200555461363253
area_2_fuel_solar_mw,10,0.31983383532700665,0.05328572542176574,218号联合循环机组出力,-0.13252753933716635
system_load_actual_mw,10,0.18533350894588943,0.037827147866243,AB1联络线负载率,-0.057317517298505295
system_load_day_ahead_mw,10,0.15182433930723346,0.03122218764675656,AB1联络线负载率,-0.05929615958202808
area_2_fuel_natural_gas_mw,9,0.4762661536618361,0.24590224752765058,218号联合循环机组出力,-0.18812978967504038
hour_of_day,9,0.24022016019778578,0.05592097960351742,218号联合循环机组出力,-0.19545112493653663
area_1_fuel_natural_gas_mw,9,0.11406701884827929,0.016803025482823683,115号母线电压相角,-0.025999369094521163
reserve_spin_r3_mw,9,0.1109591498118539,0.016593250661260328,218号联合循环机组出力,-0.040683466118166776
area_1_generation_mw,8,0.24424485630740927,0.081745768845125,AB1联络线负载率,-0.07422199648279239
gen_fuel_hydro_mw,8,0.14490396163515074,0.02726171509304787,218号联合循环机组出力,-0.041577567712329566
reserve_spin_r1_mw,7,0.20972718973367124,0.07557738698410126,AB1联络线负载率,-0.0866137862224911
reserve_reg_up_mw,7,0.1367274836933745,0.03499974556627935,AB1联络线负载率,-0.08287039802533756
area_1_load_day_ahead_mw,6,0.17307959368694012,0.06161261961467147,AB1联络线负载率,-0.058426645790117714
area_2_generation_mw,6,0.17083483683761436,0.057410685495972155,218号联合循环机组出力,-0.09816201027036302
system_generation_mw,4,0.12976942507954492,0.03608649110904894,AB3联络线负载率,-0.0668197786448018
area_2_fuel_hydro_mw,4,0.10171556139972798,0.036873928948424055,218号联合循环机组出力,-0.051842333950242875
area_2_load_actual_mw,3,0.13564036816165737,0.04647172563537678,218号联合循环机组出力,-0.10878357639086801
area_1_fuel_hydro_mw,3,0.0739710383775243,0.020190308350329995,AB1联络线负载率,-0.03193308297931851
area_3_fuel_hydro_mw,2,0.05158489473536716,0.020832264368896736,121号核电机组出力,-0.025957124056639674
area_3_load_actual_mw,2,0.041711409015172216,0.008611828087955898,218号联合循环机组出力,-0.03450962435949586
area_3_load_day_ahead_mw,2,0.03567302580494884,0.010893893835121668,218号联合循环机组出力,-0.00593088967940944
day_of_week,1,0.05241576165082392,0.01113976230685417,AB3联络线负载率,-0.005288164916053921
area_3_generation_mw,1,0.02577941689993339,0.011395897386783193,218号联合循环机组出力,-0.006416482526235834
is_weekend,0,0.02731421177645817,0.005209300328101038,317号风电机组出力,-0.010648000165094096
