epoch,active_gt_0.1,active_gt_0.01,active_gt_0.001,active_gt_0.0001
0,55,55,55,55
1,55,55,55,55
2,55,55,55,55
3,55,55,55,55
4,55,55,55,55
5,55,55,55,55
6,55,55,55,55
7,49,55,55,55
8,39,55,55,55
9,36,55,55,55
10,30,55,55,55
11,24,55,55,55
12,22,53,55,55
13,18,48,55,55
14,15,43,55,55
15,14,42,55,55
16,14,40,54,55
17,13,38,49,55
18,12,33,46,55
19,11,31,44,55
20,11,30,43,51
21,10,29,42,46
22,10,29,41,45
23,10,26,39,43
24,10,24,35,43
25,10,21,32,43
26,10,19,32,41
27,10,18,30,39
28,10,18,29,35
29,10,18,29,34
30,10,18,28,33
31,10,17,25,31
32,8,17,24,30
33,7,17,23,30
34,7,17,23,28
35,7,17,21,28
36,7,17,19,26
37,7,17,19,24
38,7,17,19,23
39,7,17,18,23
40,7,17,18,22
41,7,17,18,20
42,7,17,18,20
43,7,17,18,19
44,7,17,18,19
45,7,17,18,18
46,7,16,18,18
47,7,16,18,18
48,7,16,18,18
49,7,16,18,18
50,6,16,18,18
51,7,16,18,18
52,6,16,18,18
53,6,16,18,18
54,5,16,18,18
55,5,16,17,18
56,5,16,17,18
57,5,16,17,18
58,5,16,17,18
59,5,16,17,18
60,5,15,17,18
61,5,15,17,18
62,5,15,17,18
63,5,15,17,18
64,5,15,17,18
65,5,15,17,18
66,5,15,17,18
67,5,15,17,18
68,5,15,17,18
69,5,15,17,18
70,5,15,17,18
71,5,15,17,18
72,5,15,17,18
73,4,15,17,18
74,4,15,17,18
75,4,15,17,18
76,4,15,17,18
77,4,15,17,18
78,4,15,17,18
79,4,15,17,18
80,4,15,17,17
81,4,15,16,17
82,4,15,16,17
83,4,15,16,17
84,3,15,16,17
85,3,15,16,17
86,3,14,16,17
87,3,14,16,17
88,3,14,16,17
89,3,14,16,17
90,3,14,16,16
91,3,14,16,16
92,3,14,16,16
93,3,14,16,16
94,3,14,16,16
95,3,14,16,16
96,3,14,16,16
97,3,14,16,16
98,3,14,16,16
99,3,14,16,16
100,3,14,16,16
101,3,14,16,16
102,3,14,16,16
103,3,14,16,16
104,3,14,16,16
105,3,13,16,16
106,3,14,16,16
107,3,14,16,16
108,3,13,16,16
109,3,13,16,16
110,3,14,16,16
111,3,13,16,16
112,3,13,16,16
113,3,13,15,16
114,3,13,15,16
115,3,13,15,16
116,3,13,15,16
117,3,13,15,16
118,3,13,15,16
119,3,13,15,16
120,3,13,15,16
121,3,13,15,16
122,3,13,15,16
123,3,13,15,16
124,3,13,15,16
125,3,13,15,16
126,3,13,15,15
127,3,13,15,15
128,3,13,15,15
129,3,13,15,15
130,3,13,15,15
131,3,13,15,15
132,3,13,15,15
133,2,13,15,15
134,3,12,15,15
135,3,13,15,15
136,2,13,15,15
137,2,13,15,15
138,2,12,15,15
139,2,13,15,15
140,2,12,15,15
141,2,13,15,15
142,2,12,15,15
143,2,12,15,15
144,2,12,15,15
145,2,12,15,15
146,2,12,15,15
147,2,12,15,15
148,2,12,15,15
149,2,12,15,15
150,2,12,15,15
151,2,12,15,15
152,2,12,15,15
153,2,12,15,15
154,2,12,15,15
155,2,12,15,15
156,2,12,15,15
157,2,12,15,15
158,2,12,15,15
159,2,12,15,15
160,2,12,15,15
161,2,11,15,15
162,2,11,15,15
163,2,11,15,15
164,2,11,15,15
165,2,11,15,15
166,2,11,15,15
167,2,11,15,15
168,2,11,15,15
169,2,11,15,15
170,2,11,15,15
171,2,11,15,15
172,2,11,15,15
173,2,11,15,15
174,2,11,15,15
175,2,11,15,15
176,2,11,15,15
177,2,11,15,15
178,2,11,15,15
179,2,11,15,15
180,2,11,15,15
181,2,11,15,15
182,2,11,15,15
183,2,11,15,15
184,2,10,15,15
185,2,10,15,15
186,2,10,15,15
187,2,10,15,15
188,2,10,15,15
189,2,10,15,15
190,2,11,15,15
191,2,10,15,15
192,2,10,14,15
193,2,11,14,15
194,2,10,14,15
195,2,10,14,15
196,2,10,14,15
197,2,10,14,15
198,2,10,14,15
199,2,10,14,15
200,2,10,14,15
