wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7381854,0.7816789,0.9934513,0.7695792,0.81553376,0.65101886,0.6903658,0.70202714,0.7211022,0.73667234,0.6807938,0.74415404,0.80257976,0.6773589,0.69186646,0.7608912,0.7357279,0.70306563,0.7883929,0.68421394,0.6654537,0.685281,0.8334105,0.7369463,0.68426144,0.7512055,0.67312175,0.72719735,0.72080874,0.7310312,0.84098274,0.718677,0.7329474,0.77530986,0.6585756,0.82056314,0.65881044,0.69708306,0.78504646,1.0498701,0.75193065
0.5747139,0.691618,0.9611865,0.580512,0.6574449,0.446641,0.47579783,0.58866566,0.52775586,0.55207187,0.50602776,0.5360834,0.66706955,0.5647113,0.4905685,0.6144257,0.54074407,0.548422,0.76764894,0.50786275,0.45321798,0.61259913,0.6188848,0.581284,0.47658336,0.6198751,0.475675,0.5600564,0.53939545,0.54482037,0.6846131,0.5004388,0.5381414,0.63679343,0.4460896,0.74772805,0.4395557,0.53205055,0.71703464,0.90355104,0.646363
0.45487714,0.6477059,0.9368664,0.43574214,0.54974353,0.32732716,0.34191063,0.52653074,0.37837797,0.4091658,0.40576163,0.39744642,0.5527876,0.5490898,0.35618085,0.49593621,0.38935825,0.47238117,0.78792965,0.37786782,0.29299536,0.60857177,0.45051265,0.44486645,0.32002264,0.48215958,0.35977015,0.4175626,0.41417432,0.41299748,0.56763405,0.3533832,0.3818138,0.50712234,0.30012864,0.63915867,0.2926821,0.39961985,0.59437037,0.78954774,0.55074984
0.37161034,0.60016197,0.9097989,0.33155087,0.5158641,0.23992921,0.26544285,0.46424702,0.27596548,0.31298354,0.30743563,0.31648687,0.46890336,0.5395206,0.2765947,0.40317187,0.26924828,0.42407182,0.8025526,0.28637904,0.18774742,0.60935104,0.346399,0.33619285,0.22361329,0.3689314,0.2521832,0.31498423,0.31891677,0.31400877,0.46876967,0.23746134,0.28788388,0.38028064,0.19858961,0.53834295,0.21690205,0.3199331,0.51841056,0.7094172,0.45662308
0.30168545,0.5492609,0.877866,0.2632266,0.48852667,0.18014063,0.19774473,0.39410985,0.19961482,0.24635437,0.22966315,0.28769454,0.40505475,0.5331664,0.21428244,0.32812,0.18950142,0.37539074,0.7944595,0.2069279,0.11272132,0.5913334,0.27124625,0.2628751,0.16969243,0.27202114,0.18731232,0.24075405,0.24367796,0.23563524,0.3961183,0.1616056,0.215428,0.2969927,0.13037573,0.4465613,0.15916698,0.2667948,0.45009118,0.62506956,0.3644921
0.24355596,0.506072,0.8508313,0.21811666,0.46776482,0.14061403,0.14909633,0.33950377,0.14616056,0.1960176,0.18725237,0.28517088,0.34735596,0.5365679,0.16592094,0.27208322,0.130075,0.33577716,0.7800164,0.15364525,0.06537094,0.5679448,0.23127966,0.20623434,0.12162376,0.20116605,0.13496336,0.17697592,0.1888848,0.17245468,0.3419407,0.10995556,0.1634167,0.2389054,0.087984815,0.37517744,0.11353463,0.2184185,0.3966331,0.5596003,0.29275098
0.19895022,0.47174713,0.82241076,0.17996319,0.4478363,0.105589025,0.106710024,0.29644328,0.107040636,0.15760589,0.15885969,0.290972,0.29734054,0.53279877,0.12587303,0.22099967,0.091272734,0.29833877,0.76554286,0.10890074,0.03586659,0.5451849,0.20081565,0.16355729,0.08411243,0.1450654,0.09498809,0.12767251,0.14049134,0.12424058,0.29215986,0.077982865,0.12785628,0.19890691,0.06317201,0.31418395,0.081772454,0.18840033,0.35076347,0.49500027,0.23185349
0.16450444,0.44166765,0.8058371,0.15032886,0.427855,0.079965204,0.07315928,0.26117486,0.07675962,0.12465563,0.15065856,0.29143745,0.2587412,0.53178304,0.09641248,0.17982523,0.06316873,0.26876205,0.74836403,0.07574214,0.018997593,0.52545995,0.17122331,0.13390936,0.056340802,0.1014586,0.065016635,0.095341526,0.10401039,0.087087505,0.25644854,0.056530118,0.099884965,0.16465983,0.047128063,0.2663213,0.059130512,0.16067848,0.30955482,0.44525328,0.1876013
0.13398688,0.41089508,0.7839854,0.12446455,0.41171077,0.060348444,0.048310824,0.22784536,0.053491652,0.09817277,0.13955367,0.29372886,0.22629511,0.52480584,0.07284615,0.14531727,0.045772254,0.24518166,0.73545015,0.05185603,0.009403006,0.50837123,0.14932512,0.107956365,0.03724167,0.068924904,0.043779742,0.070966616,0.075810604,0.057529856,0.2270117,0.044770654,0.08196495,0.14003606,0.039909497,0.22164765,0.041159984,0.13938405,0.27069485,0.39503506,0.16071367
0.11177461,0.38539115,0.7655441,0.10156317,0.39539397,0.044689335,0.03043308,0.20441413,0.037914373,0.078739375,0.13425116,0.29525343,0.19710293,0.51563054,0.05335547,0.116193086,0.031678043,0.21981455,0.7199379,0.034426447,0.004363171,0.49000946,0.13346966,0.08836924,0.024371754,0.04481831,0.028753746,0.052229322,0.054607958,0.037530567,0.21062358,0.03690963,0.065066196,0.11603249,0.03411727,0.18557665,0.029127616,0.1261248,0.23303425,0.35783544,0.13117278
0.092872195,0.3610542,0.74607515,0.08249114,0.37918013,0.03295489,0.018009465,0.18410107,0.026557663,0.063693106,0.12451997,0.29700404,0.17355259,0.5072921,0.039180912,0.09210817,0.022408688,0.19697875,0.70682126,0.021631354,0.0018734805,0.47307885,0.116819754,0.072624154,0.014494578,0.028696647,0.018364316,0.036614962,0.03668997,0.023362242,0.18926124,0.02952643,0.052408416,0.09468214,0.030726124,0.15151455,0.018912861,0.10817194,0.20940255,0.32275867,0.108103685
0.07737212,0.34035328,0.7318268,0.067191534,0.3651306,0.023218634,0.010084495,0.16645929,0.018344434,0.053108808,0.11772628,0.29166555,0.15173404,0.49760604,0.029029896,0.07281514,0.0156694,0.1758286,0.6959602,0.012949406,0.0007399224,0.45790356,0.10418641,0.059798196,0.008403705,0.017637003,0.011186991,0.025239516,0.023604145,0.01393613,0.17497678,0.025790863,0.04536212,0.07881462,0.03430126,0.12190146,0.012179653,0.09541963,0.18184602,0.2895929,0.09183615
0.065085456,0.3177881,0.71855605,0.05342181,0.35304356,0.016222002,0.0052604345,0.14967771,0.012957151,0.044839386,0.11255587,0.2913471,0.1357079,0.49256983,0.020564029,0.05703612,0.010581029,0.15568267,0.6822982,0.0074112816,0.0002679645,0.44153503,0.09385589,0.050214984,0.004556893,0.010447227,0.0065691713,0.016893301,0.014251396,0.007972926,0.16406956,0.019365128,0.036847513,0.06589935,0.031375222,0.097436175,0.0073477323,0.0824186,0.16353492,0.26407585,0.0795347
0.058206435,0.29751784,0.70665455,0.042949427,0.34249443,0.010905647,0.0025234977,0.13666809,0.008965304,0.0408175,0.10667563,0.28768075,0.118185975,0.48166052,0.015263093,0.043897506,0.006977089,0.13734609,0.67409474,0.004028367,8.8333276e-05,0.42881957,0.08527582,0.04188068,0.0023844119,0.005861685,0.0036965061,0.011415162,0.008248511,0.0043084184,0.15757485,0.015453343,0.030462533,0.053831067,0.03455857,0.077260114,0.0043380926,0.072638795,0.14679891,0.235995,0.07022953
0.052694004,0.27993327,0.69396603,0.03290431,0.330166,0.0071654813,0.0011095138,0.123500355,0.005975048,0.036818743,0.101362586,0.28285632,0.10160541,0.4740121,0.010997748,0.033415254,0.0043286216,0.11917297,0.66419375,0.0020859668,2.6360258e-05,0.4151684,0.07712676,0.035412584,0.0011729093,0.003066544,0.0019291554,0.0074942275,0.0044043153,0.0022056585,0.14474772,0.011314589,0.02372859,0.046047863,0.036228724,0.06053603,0.0024710603,0.06494266,0.12696446,0.22006081,0.061015785
0.04880492,0.26369575,0.6838326,0.024944877,0.32144892,0.0045815464,0.00044181978,0.11401786,0.003919577,0.032943238,0.095659725,0.27984074,0.08961973,0.4678155,0.007813211,0.0242384,0.0025081346,0.10209898,0.6545541,0.0010262944,7.0758047e-06,0.40125975,0.0713416,0.031091899,0.0005436526,0.0015011685,0.00093497074,0.0046975138,0.0022156,0.0010620938,0.13668156,0.007395581,0.019687336,0.03854365,0.039487507,0.047004346,0.0013309001,0.056609854,0.11373981,0.20139869,0.053866778
0.04614919,0.2460467,0.6708622,0.018333932,0.31121114,0.0028451178,0.00016135523,0.10546928,0.0024544366,0.029987467,0.09030446,0.27597973,0.07918684,0.4600112,0.005485472,0.017003598,0.0013395911,0.08768778,0.64685106,0.00047319225,1.6968968e-06,0.3894273,0.06502447,0.027950343,0.00023482935,0.0006785604,0.0004149436,0.0026585388,0.0010432359,0.0004802688,0.12754099,0.004381906,0.015541563,0.030226218,0.040858362,0.03589854,0.0006782714,0.04872921,0.1032784,0.1840463,0.04816783
0.043361798,0.22967081,0.65906835,0.013206095,0.30361852,0.0016989447,5.3656375e-05,0.09873618,0.0013794795,0.02656341,0.08603199,0.2739161,0.07117499,0.4525789,0.0036769528,0.011636221,0.000663741,0.07467183,0.63843244,0.00020396854,3.6101653e-07,0.3772476,0.061196994,0.023977548,9.551678e-05,0.00028621717,0.00017319951,0.0014740375,0.00045847907,0.00020367689,0.12203363,0.0023983663,0.01248218,0.024734655,0.045035332,0.026898792,0.00032884828,0.04278189,0.09174869,0.1689714,0.045920163
0.043749508,0.21414146,0.6500469,0.00922077,0.293638,0.00097380084,1.621957e-05,0.09298504,0.0006979391,0.025135443,0.081729166,0.26815918,0.061242264,0.4481003,0.0023070346,0.0076763076,0.00030752033,0.061944254,0.62921935,8.199264e-05,6.754743e-08,0.36421514,0.057109103,0.021525923,3.61185e-05,0.00011177194,6.58201e-05,0.0007426033,0.0001872154,8.07577e-05,0.11169268,0.0012121152,0.0090830205,0.02002377,0.042568095,0.019853646,0.00015025023,0.037641186,0.08044199,0.15330958,0.04117186
0.042076454,0.19904658,0.6380412,0.0062729036,0.28376347,0.00053131505,4.4314925e-06,0.0865506,0.0003148322,0.021999188,0.079117745,0.26583758,0.056350093,0.4417138,0.0013326784,0.004782408,0.00013122146,0.05091649,0.62326807,3.061135e-05,1.1013027e-08,0.35224143,0.05469918,0.019984398,1.2595281e-05,4.0326962e-05,2.3077677e-05,0.0003523516,7.107112e-05,2.9680685e-05,0.10859689,0.0005778311,0.0067948494,0.016014144,0.044056755,0.0142783,6.453351e-05,0.034232084,0.0697227,0.14410535,0.038843118
0.043236375,0.18386617,0.62899196,0.004131808,0.2779237,0.0002755864,1.0888289e-06,0.08494375,0.00012285757,0.02020948,0.07343892,0.26113752,0.05074536,0.436547,0.00071706297,0.0028342304,5.208301e-05,0.04157485,0.6158315,1.0561078e-05,1.5484073e-09,0.3412173,0.05090012,0.01811409,4.034875e-06,1.335668e-05,7.405785e-06,0.00015427382,2.4882342e-05,1.0073604e-05,0.10453112,0.00025578012,0.0048753177,0.011581674,0.045433383,0.009922729,2.5863475e-05,0.030462474,0.060200047,0.136534,0.037803486
0.041929,0.17222223,0.6183616,0.0026224095,0.27078974,0.00013538069,2.388082e-07,0.08082833,4.4173215e-05,0.01725987,0.07174148,0.2601453,0.04899457,0.42855313,0.0003598529,0.0015736561,1.9078518e-05,0.03300625,0.6097819,3.3475483e-06,1.8562529e-10,0.3299514,0.04753027,0.016688863,1.1806076e-06,4.045386e-06,2.1690278e-06,6.2664425e-05,8.000655e-06,3.1398288e-06,0.10199602,0.00010619087,0.003245717,0.008303423,0.04463526,0.0066310167,9.6313015e-06,0.026664361,0.05244549,0.13086972,0.037045196
0.04135473,0.15991172,0.6101372,0.0016058827,0.26343516,6.2806845e-05,4.6395925e-08,0.07915942,1.42633235e-05,0.014582884,0.06921206,0.25635305,0.04264256,0.42414257,0.000165639,0.00081692764,6.4501446e-06,0.026217919,0.60298485,9.69235e-07,1.873975e-11,0.31907135,0.045605075,0.0151611995,3.1326155e-07,1.1142296e-06,5.759965e-07,2.3545299e-05,2.3494213e-06,8.9274835e-07,0.096427016,4.1062423e-05,0.0020814051,0.0055787778,0.045656003,0.004226888,3.319413e-06,0.022843568,0.045975517,0.12211057,0.037450496
