方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9615608267493212,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|system_losses_mw|gen_fuel_nuclear_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9059179883876728,gen_fuel_solar_mw|gen_fuel_hydro_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|reserve_reg_down_mw|gen_fuel_coal_mw|system_losses_mw|reserve_reg_up_mw|area_2_net_export_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9035733385609849,gen_fuel_natural_gas_mw|reserve_reg_up_mw|system_losses_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|reserve_reg_down_mw|area_3_net_export_mw|area_3_load_day_ahead_mw|area_2_load_day_ahead_mw
XGBoost,树模型特征重要性（2016）,0.9361238615139668,area_2_net_export_mw|gen_fuel_solar_mw|reserve_reg_down_mw|system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|reserve_reg_up_mw|area_3_net_export_mw|area_1_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw
Lasso,线性稀疏（1996）,0.9550064129012147,area_1_net_export_mw|area_3_net_export_mw|gen_fuel_solar_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|system_load_actual_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|area_2_load_actual_mw|area_3_load_actual_mw|area_1_load_actual_mw
Pearson,相关系数排序（只看两两关系）,0.8637187672641393,area_2_net_export_mw|area_1_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_hydro_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|reserve_reg_up_mw
