方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9166437753255965,gen_fuel_nuclear_mw|total_pjm_rt_load_mwh|total_lmp_da|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|net_sched_interchange_mw|gen_fuel_gas_pct|total_losses|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_mw|marginal_loss_price_da|gross_actual_interchange_mw|gen_fuel_oil_mw|gen_fuel_wind_mw|da_as_ss_mw_primary_reserve|gen_fuel_hydro_pct|gross_sched_interchange_mw|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|total_pjm_reg_purchases|congestion_price_da|total_pjm_rmpcp_cr|congestion_price_rt
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8990914393218982,gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|gen_fuel_coal_pct|da_as_ss_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_primary_reserve|gen_fuel_other_renewables_mw|system_energy_price_da|total_lmp_da|gen_fuel_multiple_fuels_mw|gen_fuel_gas_mw|total_losses|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|da_as_nsr_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen|marginal_loss_price_da|total_pjm_rmpcp_cr
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9034832678636056,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rmpcp_cr|total_lmp_da|gen_fuel_oil_mw|gen_fuel_solar_mw|da_as_as_mw_synchronized_reserve|net_actual_interchange_mw|gen_fuel_gas_pct|da_as_mcp_primary_reserve|da_as_ss_mw_primary_reserve|total_losses|gen_fuel_other_renewables_mw|net_sched_interchange_mw|wind_generation_mw|gen_fuel_wind_mw|gen_fuel_nuclear_pct|forecast_load_mw_latest_available
XGBoost,树模型特征重要性（2016）,0.8876912029321119,gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|gen_fuel_gas_mw|da_as_as_mw_primary_reserve|da_as_mcp_primary_reserve|system_energy_price_da|total_lmp_da|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_multiple_fuels_mw|total_pjm_rmpcp_cr|gen_fuel_oil_pct|forecast_load_mw_latest_available|da_as_nsr_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen|gen_fuel_nuclear_pct|da_as_as_mw_synchronized_reserve|gen_fuel_hydro_pct|gen_fuel_coal_mw|gen_fuel_coal_pct|gen_fuel_wind_pct|gen_fuel_hydro_mw
Lasso,线性稀疏（1996）,0.89785984893078,gen_fuel_coal_mw|prelim_load_avg_hourly|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_mw|forecast_load_mw_latest_available|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|da_as_as_mw_primary_reserve|solar_generation_mw|gen_fuel_hydro_pct|system_energy_price_rt|marginal_loss_price_rt|gen_fuel_hydro_mw|gen_fuel_gas_mw|gen_fuel_wind_pct|gen_fuel_oil_mw|marginal_loss_price_da|net_actual_interchange_mw
Pearson,相关系数排序（只看两两关系）,0.8615869321048178,gen_fuel_nuclear_mw|system_energy_price_da|total_lmp_da|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|da_as_mcp_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|net_sched_interchange_mw|net_actual_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_mw|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt|system_energy_price_rt|gen_fuel_hydro_pct|marginal_loss_price_rt|da_as_nsr_mw_primary_reserve|congestion_price_rt|marginal_loss_price_da
