feature,mask_mse,mask_r2,mask_sensitivity
da_as_as_mw_thirty_minutes_reserve,0.7126134037971497,0.30052043025161046,0.006765484809875488
da_as_total_mw_thirty_minutes_reserve,0.712027370929718,0.30109563721921784,0.006179451942443848
da_as_as_req_mw_thirty_minutes_reserve,0.7113105654716492,0.30179923962006383,0.005462646484375
da_as_as_req_mw_primary_reserve,0.7147341370582581,0.29843877784468775,0.008886218070983887
da_as_as_req_mw_synchronized_reserve,0.7131839394569397,0.29996042951073565,0.007336020469665527
total_pjm_assigned_reg,0.709286630153656,0.30378588169304066,0.003438711166381836
da_as_as_mw_primary_reserve,0.7008615732192993,0.312055668052415,-0.0049863457679748535
da_as_total_mw_primary_reserve,0.6997320652008057,0.3131643506135141,-0.006115853786468506
da_as_as_mw_synchronized_reserve,0.7066258788108826,0.30639757971750037,0.0007779598236083984
total_pjm_reg_purchases,0.7084597945213318,0.30459747117019464,0.002611875534057617
gen_fuel_other_renewables_mw,0.7384210228919983,0.2751884571705191,0.03257310390472412
total_lmp_da,0.7172399759292603,0.29597914208755427,0.011392056941986084
total_pjm_rmpcp_cr,0.7093796133995056,0.30369464433264504,0.0035316944122314453
forecast_load_mw_day_ahead,0.7130733728408813,0.3000689310834368,0.007225453853607178
total_pjm_rmccp_cr,0.7078410983085632,0.3052048055792447,0.0019931793212890625
da_as_total_mw_synchronized_reserve,0.7026644349098206,0.3102860291248405,-0.0031834840774536133
system_energy_price_da,0.7182402610778809,0.2949972543042483,0.01239234209060669
gen_fuel_multiple_fuels_pct,0.7194134593009949,0.2938456970437151,0.013565540313720703
gen_fuel_multiple_fuels_mw,0.718751072883606,0.2944959061521992,0.012903153896331787
marginal_loss_price_rt,0.7087933421134949,0.3042700799653161,0.002945423126220703
gen_fuel_gas_pct,0.7134183049201965,0.2997303924567054,0.007570385932922363
marginal_loss_price_da,0.7132822871208191,0.2998638756876102,0.007434368133544922
total_lmp_rt,0.7075358033180237,0.3055044711451558,0.0016878843307495117
rmccp,0.7070022225379944,0.3060281713071764,0.0011543035507202148
system_energy_price_rt,0.709917426109314,0.30316671386694694,0.004069507122039795
rmpcp,0.7005316019058228,0.31237957211507295,-0.005316317081451416
gen_fuel_wind_pct,0.7069129347801208,0.30611586435908555,0.0010650157928466797
wind_generation_mw,0.7099637389183044,0.30312126668554673,0.0041158199310302734
gross_inadv_interchange_mw,0.714622437953949,0.2985484227427071,0.008774518966674805
da_as_mcp_primary_reserve,0.7054024338722229,0.30759847146551555,-0.00044548511505126953
total_pjm_rt_load_mwh,0.7160837650299072,0.297114006798441,0.010235846042633057
metered_load_mw,0.7212339043617249,0.29205879390383516,0.015385985374450684
forecast_load_mw_latest_available,0.7173205018043518,0.2959000811417979,0.011472582817077637
gross_actual_interchange_mw,0.7185903191566467,0.29465368504611655,0.012742400169372559
total_pjm_loc_credit,0.7092539668083191,0.30381795196821737,0.003406047821044922
total_losses,0.7278029918670654,0.2856107821065472,0.02195507287979126
net_inadv_interchange_mw,0.7010303139686584,0.3118900573800677,-0.004817605018615723
da_as_nsr_mw_primary_reserve,0.6957651376724243,0.31705817364985,-0.010082781314849854
total_pjm_self_sched_reg,0.708264172077179,0.3047894926573933,0.002416253089904785
da_as_ss_mw_synchronized_reserve,0.7060160636901855,0.30699616768786575,0.00016814470291137695
da_as_ss_mw_thirty_minutes_reserve,0.7066071629524231,0.306415987255124,0.0007592439651489258
da_as_ss_mw_primary_reserve,0.7067451477050781,0.3062805032049124,0.0008972287178039551
gen_fuel_coal_pct,0.7023709416389465,0.3105741471050374,-0.0034769773483276367
congestion_price_rt,0.7041281461715698,0.3088493265299379,-0.0017197728157043457
da_as_mcp_synchronized_reserve,0.7109799981117249,0.30212371534538085,0.005132079124450684
congestion_price_da,0.7240238189697266,0.28932030110158247,0.018175899982452393
