target,中文名,n_pool,n_kept,n_dropped,dropped,thr_pearson,thr_spearman,thr_kendall,thr_nmi,thr_distance_corr,thr_hsic
net_actual_interchange_mw,净实际交换功率,58,39,19,da_as_ss_mw_primary_reserve|congestion_price_da|net_inadv_interchange_mw|gross_actual_interchange_mw|total_pjm_loc_credit|da_as_mcp_primary_reserve|total_pjm_self_sched_reg|total_pjm_rt_load_mwh|metered_load_mw|prelim_load_avg_hourly|forecast_load_mw_latest_available|gen_fuel_solar_pct|gen_fuel_oil_pct|gen_fuel_nuclear_pct|gen_fuel_hydro_pct|gen_fuel_solar_mw|gen_fuel_hydro_mw|solar_generation_mw|gross_inadv_interchange_mw,0.1513712078659865,0.15381816984187022,0.10859514830843264,0.03133145270905578,0.17651993850840436,0.023309072626689336
gross_actual_interchange_mw,总实际交换功率,58,47,11,wind_generation_mw|net_inadv_interchange_mw|gen_fuel_wind_pct|gen_fuel_wind_mw|total_pjm_self_sched_reg|rmpcp|da_as_as_mw_synchronized_reserve|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_loc_credit,0.1432401089797063,0.1549820964561412,0.11491383599342093,0.016522559061573433,0.160452052658024,0.02012651872834627
net_sched_interchange_mw,净计划交换功率,58,38,20,net_inadv_interchange_mw|da_as_ss_mw_primary_reserve|gross_actual_interchange_mw|congestion_price_da|total_pjm_loc_credit|da_as_mcp_primary_reserve|total_pjm_self_sched_reg|total_pjm_rt_load_mwh|metered_load_mw|prelim_load_avg_hourly|forecast_load_mw_latest_available|gen_fuel_solar_pct|gen_fuel_other_renewables_pct|gen_fuel_oil_pct|gen_fuel_nuclear_pct|gen_fuel_hydro_pct|gen_fuel_solar_mw|gen_fuel_hydro_mw|solar_generation_mw|gross_inadv_interchange_mw,0.1513222121797142,0.15397253536359157,0.1092993449419929,0.03067620496346706,0.17773181058630355,0.0231870365255648
total_gen,总发电量,58,42,16,solar_generation_mw|net_sched_interchange_mw|net_inadv_interchange_mw|gen_fuel_solar_mw|da_as_ss_mw_primary_reserve|gen_fuel_wind_mw|total_pjm_rmpcp_cr|total_pjm_rmccp_cr|total_pjm_assigned_reg|total_pjm_self_sched_reg|wind_generation_mw|total_pjm_loc_credit|rmpcp|rmccp|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases,0.248630032737222,0.2887157625557816,0.19549888400914148,0.03811681882187342,0.2608571027058427,0.04389883277167259
metered_load_mw,计量负荷,58,41,17,total_pjm_rmpcp_cr|gross_sched_interchange_mw|wind_generation_mw|net_inadv_interchange_mw|net_sched_interchange_mw|net_actual_interchange_mw|solar_generation_mw|gen_fuel_wind_mw|rmccp|total_pjm_rmccp_cr|rmpcp|total_pjm_loc_credit|da_as_ss_mw_primary_reserve|total_pjm_self_sched_reg|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|total_pjm_reg_purchases,0.24855055435165466,0.28507664859842696,0.20195551158242428,0.03713286541973937,0.2647576848776813,0.04219290116405174
total_losses,总网损,58,46,12,gen_fuel_gas_pct|total_pjm_self_sched_reg|da_as_ss_mw_primary_reserve|gen_fuel_wind_pct|da_as_as_mw_synchronized_reserve|rmpcp|gen_fuel_storage_mw|da_as_mcp_synchronized_reserve|net_inadv_interchange_mw|da_as_mcp_primary_reserve|total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_pct,0.13763710870736753,0.1591750170429705,0.1138005372528244,0.029657612756221256,0.16038827140300213,0.0285147303291807
congestion_price_da,日前阻塞价,58,47,11,gen_fuel_other_renewables_mw|da_as_ss_mw_primary_reserve|solar_generation_mw|rmpcp|wind_generation_mw|net_actual_interchange_mw|net_sched_interchange_mw|net_inadv_interchange_mw|gen_fuel_wind_mw|total_pjm_self_sched_reg|gen_fuel_wind_pct,0.10276809053255717,0.13784110001636302,0.10575275856514908,0.020876272059564174,0.17003034358231525,0.025175830082535006
congestion_price_rt,实时阻塞价,58,46,12,gen_fuel_wind_mw|da_as_ss_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_primary_reserve|gen_fuel_wind_pct|total_pjm_rmpcp_cr|wind_generation_mw|gen_fuel_other_renewables_mw|total_pjm_self_sched_reg|net_inadv_interchange_mw|gross_sched_interchange_mw|rmpcp,0.11564979486539652,0.14488150940037345,0.10639216216459958,0.014450680429764181,0.14640737582048394,0.017712462783259192
marginal_loss_price_da,日前边际损耗价,58,43,15,da_as_as_mw_primary_reserve|gross_sched_interchange_mw|total_pjm_self_sched_reg|net_inadv_interchange_mw|wind_generation_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|da_as_as_mw_synchronized_reserve|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|gen_fuel_wind_pct|da_as_ss_mw_primary_reserve|rmpcp|total_pjm_rmpcp_cr,0.1994239078249451,0.24057087949800235,0.1758400043852863,0.02526788709938682,0.22333968515806235,0.03387084205722302
total_lmp_da,日前总电价,58,44,14,solar_generation_mw|gross_sched_interchange_mw|rmpcp|net_inadv_interchange_mw|gen_fuel_wind_mw|wind_generation_mw|da_as_as_mw_primary_reserve|gen_fuel_wind_pct|gen_fuel_solar_mw|total_pjm_rmpcp_cr|gen_fuel_other_renewables_mw|da_as_ss_mw_primary_reserve|gen_fuel_nuclear_mw|total_pjm_self_sched_reg,0.2325535384238117,0.3061568972869481,0.22238292871145415,0.03401575773211439,0.2864951615328885,0.0606101334474974
da_as_total_mw_primary_reserve,日前主用备用总量,58,39,19,total_lmp_rt|system_energy_price_rt|congestion_price_rt|marginal_loss_price_rt|net_inadv_interchange_mw|marginal_loss_price_da|total_pjm_loc_credit|total_lmp_da|da_as_ss_mw_primary_reserve|total_pjm_rmccp_cr|total_pjm_assigned_reg|rmccp|gen_fuel_solar_pct|gen_fuel_oil_pct|gen_fuel_wind_mw|gen_fuel_solar_mw|solar_generation_mw|wind_generation_mw|gross_inadv_interchange_mw,0.1185357796268676,0.11997608196811965,0.09079428551866585,0.03370049818546777,0.1449811960833912,0.016158572141482037
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,58,42,16,net_inadv_interchange_mw|gross_actual_interchange_mw|gross_sched_interchange_mw|total_pjm_loc_credit|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|total_pjm_self_sched_reg|total_losses|gen_fuel_wind_pct|gen_fuel_solar_pct|gen_fuel_other_renewables_pct|gen_fuel_wind_mw|gen_fuel_solar_mw|solar_generation_mw|wind_generation_mw|gross_inadv_interchange_mw,0.2092919767901056,0.2352775057518671,0.14933971656802733,0.0325930416000955,0.2236910010773719,0.036129814439523136
