field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept
da_as_as_req_mw_primary_reserve,0.0828243854432192,0.024913050150223402,0.022866169632955107,0.04359920519992854,0.12398865272791564,0.023167930093201165,0,0,0,1,0,0,1,1
gen_fuel_gas_pct,0.2339343908335527,0.25501144413811483,0.1694760602369922,0.028763691289711797,0.2665665403116497,0.034222706964109624,1,0,0,0,0,0,1,1
solar_generation_mw,0.021669768232325325,0.0009421709196810458,0.02124370074882443,0.033163429927833,0.08586044892392408,0.015154185465925616,0,0,0,0,0,0,0,0
gross_sched_interchange_mw,0.17151399086459107,0.0747674489176467,0.06505404328515543,0.019379482860095283,0.15411357920788765,0.019642449693712934,0,0,0,0,0,0,0,0
rmpcp,0.00844696679715312,0.2471396739767874,0.19464628408501455,0.024134865021366473,0.1750383169345121,0.03558575045307474,0,0,0,0,0,0,0,0
net_inadv_interchange_mw,0.1528481007863199,0.1568563190273846,0.1008666350509091,0.012821072303704165,0.18709940320707757,0.013450513175883439,0,0,0,0,0,0,0,0
gen_fuel_wind_mw,0.07515395990598851,0.0610256418314173,0.0570843674433684,0.013483902992708827,0.1186832640421259,0.014491468775439454,0,0,0,0,0,0,0,0
wind_generation_mw,0.07419825836495762,0.05912814096190889,0.055648338081126826,0.013702468354116445,0.11836498661134189,0.01441734333732139,0,0,0,0,0,0,0,0
da_as_as_mw_primary_reserve,0.0062608330322611915,0.08616585495791,0.050913805986067644,0.023562440137663072,0.10427421779598535,0.01513333610765574,0,0,0,0,0,0,0,0
gen_fuel_wind_pct,0.16368837685706877,0.15970199867065055,0.1237661505164199,0.021082103724457586,0.19425095103651785,0.024378492848745107,0,0,0,0,0,0,0,0
gen_fuel_solar_mw,0.011257550281688627,0.0733489888291176,0.07170712003471345,0.02966195137682418,0.08667454040903956,0.015266494804234578,0,0,0,0,0,0,0,0
total_pjm_rmpcp_cr,0.008978775203723243,0.2628539063979966,0.20775623224266715,0.02871531147706861,0.18311300061952143,0.04176185653105713,0,0,0,0,0,0,0,0
gen_fuel_other_renewables_mw,0.05682667069837363,0.028619023466144086,0.01802070631568113,0.016963795536141944,0.09552101082898687,0.010068508242013195,0,0,0,0,0,0,0,0
da_as_ss_mw_primary_reserve,0.010304417801150467,0.062227089088380226,0.035639099473225244,0.02343121891512076,0.09891223136228204,0.01037695794894459,0,0,0,0,0,0,0,0
gen_fuel_nuclear_mw,0.11484331474495339,0.042889584833961006,0.01873808495100368,0.0313361841975767,0.10444937533828898,0.007742520506403393,0,0,0,0,0,0,0,0
total_pjm_self_sched_reg,0.009436981179828644,0.020650235369630555,0.02749725550206577,0.013665966049779654,0.08442227051685668,0.009994180320382458,0,0,0,0,0,0,0,0
