方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9863926337254236,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9863926337254236,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9497024992032146,gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw
XGBoost,树模型特征重要性（2016）,0.9863926337254236,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da
Lasso,线性稀疏（1996）,0.9501287303130013,gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_nuclear_pct
Pearson,相关系数排序（只看两两关系）,0.9497024992032146,gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw
