epoch,b_meta
1,0.09208295494318008
2,0.11848262697458267
3,0.13679678738117218
4,0.15042340755462646
5,0.14703018963336945
6,0.14692093431949615
7,0.1427665650844574
8,0.13975033164024353
9,0.13184306025505066
10,0.12953965365886688
11,0.1260976344347
12,0.12273705750703812
13,0.12184015661478043
14,0.11933597177267075
15,0.11672583967447281
16,0.11316105723381042
17,0.10926181077957153
18,0.1120677962899208
19,0.11110203713178635
20,0.11152733117341995
21,0.1117071658372879
22,0.11291426420211792
23,0.11474940925836563
24,0.11263386905193329
25,0.11143098026514053
26,0.11137978732585907
27,0.11145991086959839
28,0.11172406375408173
29,0.11272339522838593
30,0.11129963397979736
31,0.10897248983383179
32,0.11140774935483932
33,0.11109358072280884
34,0.11172120273113251
35,0.11107694357633591
36,0.11125759780406952
37,0.10927052050828934
38,0.11030493676662445
39,0.11062223464250565
40,0.11103944480419159
41,0.10983673483133316
42,0.11069384217262268
43,0.1110440045595169
44,0.1099228635430336
45,0.11110926419496536
46,0.11139777302742004
47,0.11260988563299179
48,0.11312346905469894
49,0.11257324367761612
50,0.11201438307762146
51,0.10233302414417267
52,0.09207038581371307
53,0.0810418650507927
54,0.07194842398166656
55,0.05900272727012634
56,0.04938449710607529
57,0.04037465527653694
58,0.03072410076856613
59,0.021254731342196465
60,0.011548051610589027
61,0.0004566351999528706
62,-0.007060555275529623
63,-0.015905754640698433
64,-0.02677241340279579
65,-0.035693857818841934
66,-0.04473522678017616
67,-0.052938707172870636
68,-0.061913687735795975
69,-0.07204943150281906
70,-0.0814921110868454
71,-0.09046756476163864
72,-0.09961864352226257
73,-0.10877155512571335
74,-0.11697755008935928
75,-0.12725844979286194
76,-0.13646076619625092
77,-0.14510531723499298
78,-0.1553783416748047
79,-0.1641729176044464
80,-0.1730353832244873
81,-0.18347370624542236
82,-0.19320909678936005
83,-0.2001778930425644
84,-0.20896898210048676
85,-0.21801717579364777
86,-0.22696268558502197
87,-0.2359156757593155
88,-0.24571263790130615
89,-0.2544468641281128
90,-0.26324427127838135
91,-0.27079418301582336
92,-0.28054022789001465
93,-0.2887624204158783
94,-0.2966786324977875
95,-0.3060324490070343
96,-0.3141956925392151
97,-0.3232016861438751
98,-0.33237162232398987
99,-0.3403247892856598
100,-0.34827008843421936
101,-0.3576394319534302
102,-0.3662945032119751
103,-0.3745090365409851
104,-0.38547950983047485
105,-0.394260436296463
106,-0.4026278853416443
107,-0.4116847813129425
108,-0.41976115107536316
109,-0.4272820055484772
110,-0.4363654553890228
111,-0.4442804753780365
112,-0.45328766107559204
113,-0.46155503392219543
114,-0.4689086377620697
115,-0.4779174029827118
116,-0.48513373732566833
117,-0.4953797161579132
118,-0.5039907097816467
119,-0.5128213167190552
120,-0.5211254358291626
121,-0.5291908979415894
122,-0.5381544232368469
123,-0.5467394590377808
124,-0.5541830658912659
125,-0.5629881620407104
126,-0.572994589805603
127,-0.5823992490768433
128,-0.5884741544723511
129,-0.5963343977928162
130,-0.6042094230651855
131,-0.6134234666824341
132,-0.6215629577636719
133,-0.6292423605918884
134,-0.637755811214447
135,-0.6455214619636536
136,-0.6529141664505005
137,-0.6606272459030151
138,-0.6694998741149902
139,-0.6767135858535767
140,-0.6834682822227478
141,-0.692357063293457
142,-0.7005795836448669
143,-0.7100055813789368
144,-0.7166006565093994
145,-0.7248814702033997
146,-0.7325341701507568
147,-0.7409521341323853
148,-0.7501060366630554
149,-0.7605477571487427
150,-0.7672029733657837
151,-0.7757903337478638
152,-0.782805860042572
153,-0.7921420335769653
154,-0.7994219660758972
155,-0.8059883117675781
156,-0.813889741897583
157,-0.8219360113143921
158,-0.8280751705169678
159,-0.8360350728034973
160,-0.843307375907898
161,-0.852256715297699
162,-0.8600894212722778
163,-0.865951657295227
164,-0.8738380074501038
165,-0.8810626864433289
166,-0.8892589211463928
167,-0.8953149318695068
168,-0.9030739665031433
169,-0.9100556373596191
170,-0.9176495671272278
171,-0.9245454668998718
172,-0.9316797256469727
173,-0.9382252097129822
174,-0.9451474547386169
175,-0.9520555138587952
176,-0.958801805973053
177,-0.9650455713272095
178,-0.9712369441986084
179,-0.9788966178894043
180,-0.9858196973800659
181,-0.9928354620933533
182,-0.9990071058273315
183,-1.0060614347457886
184,-1.012007713317871
185,-1.0178624391555786
186,-1.0236318111419678
187,-1.0310269594192505
188,-1.0370925664901733
189,-1.043620228767395
190,-1.0500569343566895
191,-1.0557456016540527
192,-1.0622007846832275
193,-1.067885398864746
194,-1.0736932754516602
195,-1.0804533958435059
196,-1.0864558219909668
197,-1.092432975769043
198,-1.0981403589248657
199,-1.104365587234497
200,-1.1102062463760376
