方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8954162853379014,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_primary_reserve|gen_fuel_oil_pct|gen_fuel_nuclear_pct|gen_fuel_hydro_pct|gen_fuel_gas_pct|da_as_as_mw_synchronized_reserve|gen_fuel_gas_mw|total_pjm_reg_purchases|da_as_as_mw_primary_reserve|total_pjm_rmpcp_cr
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8892049384212597,total_pjm_rmpcp_cr|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|total_pjm_reg_purchases|gen_fuel_other_renewables_mw|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|da_as_as_mw_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_as_req_mw_primary_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8917034098843307,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|total_pjm_rmpcp_cr|da_as_as_req_mw_primary_reserve|gen_fuel_oil_mw|da_as_as_mw_synchronized_reserve|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_gas_mw|gen_fuel_oil_pct
XGBoost,树模型特征重要性（2016）,0.862733928354961,da_as_mcp_primary_reserve|da_as_as_mw_primary_reserve|gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|system_energy_price_da|gen_fuel_gas_mw|da_as_as_req_mw_primary_reserve|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_mw|total_pjm_rmpcp_cr|gen_fuel_oil_pct|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|gen_fuel_nuclear_pct
Lasso,线性稀疏（1996）,0.8796747793590804,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_nuclear_mw|gen_fuel_nuclear_pct|forecast_load_mw_latest_available|gen_fuel_gas_pct|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|system_energy_price_da|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_pct|marginal_loss_price_rt|da_as_as_mw_primary_reserve
Pearson,相关系数排序（只看两两关系）,0.844551485617175,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|da_as_mcp_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_mw|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt|system_energy_price_rt
