prelim_load_avg_hourly,gen_fuel_gas_mw,gen_fuel_oil_mw,gen_fuel_multiple_fuels_pct,da_as_mcp_primary_reserve,da_as_as_mw_primary_reserve
0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999
0.0057243765,0.0063243774,0.006562821,0.004944429,0.0053309924,0.005847849
0.004029813,0.0054420154,0.0052965363,0.0036943122,0.0035810976,0.004693803
0.0027552359,0.004129755,0.004322453,0.003157839,0.0023205762,0.004095735
0.0017013678,0.0033323003,0.003548423,0.0025524087,0.0018212859,0.0036521123
0.0010057671,0.0025908365,0.0029777987,0.0021042756,0.0013704353,0.0032244397
0.0005637404,0.0019072639,0.002514395,0.0017898061,0.0010698321,0.0028924006
0.00028620832,0.0013171172,0.0020129324,0.0014587498,0.0007586807,0.0025477067
0.00013630556,0.00089794386,0.0016096965,0.0011657958,0.00062381156,0.0022532223
6.0157483e-05,0.0005675408,0.0012161555,0.00089829776,0.0004525675,0.0019734618
2.4385548e-05,0.00034593404,0.00090721686,0.00064871536,0.00030328965,0.0016918904
9.076355e-06,0.00020288832,0.00064969907,0.00045774414,0.00017112083,0.0014511071
3.086936e-06,0.00011156578,0.00045419397,0.0003131967,0.000100469035,0.0011842322
9.484864e-07,5.8520505e-05,0.0003043059,0.00020263344,4.3993205e-05,0.000940888
2.6269856e-07,2.8945346e-05,0.0001840711,0.00012515656,1.7724848e-05,0.0007550629
6.500699e-08,1.3473283e-05,0.000105271996,7.397742e-05,6.355287e-06,0.0005704511
1.4256443e-08,5.86782e-06,5.5283537e-05,4.1542808e-05,2.019975e-06,0.0004048895
2.748011e-09,2.386227e-06,2.7904694e-05,2.2213471e-05,5.7866595e-07,0.00027692938
4.611859e-10,9.006236e-07,1.296175e-05,1.1246975e-05,1.4783646e-07,0.00018158517
6.670388e-11,3.1413083e-07,5.646092e-06,5.3872113e-06,3.358852e-08,0.00011375692
8.221967e-12,1.0062143e-07,2.2917325e-06,2.4307924e-06,6.750156e-09,6.74666e-05
8.531453e-13,2.9421974e-08,8.6225043e-07,1.029104e-06,1.1892002e-09,3.8112954e-05
7.352621e-14,7.800418e-09,2.9991628e-07,4.0703904e-07,1.8209409e-10,2.0562678e-05
5.1857623e-15,1.8615552e-09,9.5911325e-08,1.4969442e-07,2.3973738e-11,1.0552131e-05
2.944893e-16,3.9672446e-10,2.8050586e-08,5.091415e-08,2.68214e-12,5.1338125e-06
1.3226173e-17,7.485338e-11,7.451372e-09,1.5923021e-08,2.517266e-13,2.3586167e-06
4.605973e-19,1.238688e-11,1.7850015e-09,4.5501864e-09,1.9541335e-14,1.0207427e-06
1.2168409e-20,1.7794757e-12,3.825882e-10,1.1800179e-09,1.2354546e-15,4.1413392e-07
2.3803319e-22,2.1945817e-13,7.274243e-11,2.7566727e-10,6.2538924e-17,1.5679144e-07
3.355899e-24,2.295337e-14,1.2155012e-11,5.7546884e-11,2.487613e-18,5.51151e-08
3.3086342e-26,2.0090444e-15,1.7669335e-12,1.06415024e-11,7.6162106e-20,1.7887535e-08
