epoch,train_r2,test_r2,n_active
1,0.3559266213671245,0.3193600953532705,47
2,0.3799776421294817,0.26955344054792685,47
3,0.5076048957732122,0.4395844923368101,47
4,0.5223895181831384,0.4458248059616231,47
5,0.595281436445648,0.5242814308916415,47
6,0.6588335537553508,0.6030140495412775,47
7,0.6998340065845841,0.6540633236543667,47
8,0.7440957509636552,0.7178491415779671,47
9,0.8166237269209681,0.772254058553303,47
10,0.8872232677865134,0.8623781910625722,47
11,0.9106899762216585,0.8917024551807072,47
12,0.9466138761332543,0.9261349353725378,47
13,0.9620567070684107,0.9482375911146953,47
14,0.9689047271240127,0.9546059794068551,47
15,0.9740439121340141,0.9683620576957176,47
16,0.9743337033393771,0.9712799252131811,47
17,0.9745192963867891,0.969817733061886,47
18,0.9759418001069964,0.9694863676811576,47
19,0.9810290320455738,0.9761339158356335,47
20,0.9734379793993035,0.972530435694688,46
21,0.9922840649541945,0.9897741219464152,46
22,0.9945371331613364,0.9936523365395965,45
23,0.9951858863844324,0.9942816558909168,43
24,0.9955977073807065,0.9948164159641116,42
25,0.990919760884692,0.9906728014504496,42
26,0.9722085853849469,0.9756155175817608,42
27,0.9879227273732808,0.9856950624505002,38
28,0.9969041476199436,0.9961830469182826,37
29,0.9959225331183293,0.9954702803417971,35
30,0.9976050703524285,0.9972077369524287,35
31,0.9974590933877607,0.9971775516058258,35
32,0.9968375992699537,0.9963115789780187,33
33,0.9954471571097234,0.9948830850895906,31
34,0.9985513981452219,0.9984166607278302,29
35,0.9978917148259072,0.9977008752295069,26
36,0.9988051762532645,0.998712053365377,23
37,0.9933431988819035,0.991346740478496,22
38,0.9929030757498277,0.9917661288118499,22
39,0.9991760783178917,0.9992532793954297,21
40,0.9989536668929949,0.9989719517805103,21
41,0.999304626172941,0.9993195597634708,20
42,0.9974174291684048,0.9966609003877134,17
43,0.9969943594331928,0.9963438432074385,17
44,0.9992124303526383,0.9990976068283136,16
45,0.9995069184741535,0.9994515073206426,15
46,0.9995391322722658,0.9995673737994231,14
47,0.9989481196076924,0.9987459464405327,13
48,0.9995966394031792,0.9995801515017189,11
49,0.9994384885492442,0.9993082553426116,10
50,0.9990836141847909,0.998853364814245,9
51,0.9980537116977457,0.9975873597338093,9
52,0.9992848013569046,0.9991752142450616,9
53,0.9996331217507026,0.9995732540494007,7
54,0.9997069748798072,0.999729161462334,7
55,0.9993539917100757,0.9992656419472201,6
56,0.999650130646245,0.999639958048853,4
57,0.997191349224926,0.9966131091398029,4
58,0.999342845547258,0.9992339419885432,4
59,0.9992500716113376,0.9991513945812004,3
60,0.9996317485803791,0.9996015048026197,3
61,0.9996552973494457,0.9995957527978444,3
62,0.9998249980286981,0.9998309422609729,3
63,0.9995964833699192,0.9995478745493599,3
64,0.9998001574146758,0.9998211106681761,3
65,0.9988787541208567,0.9986066819140348,3
66,0.9979098294175451,0.9971909122182724,3
67,0.990541408410981,0.9886110065406924,3
68,0.9993057236151445,0.9992686910377673,3
69,0.9991448574879656,0.9991425950371996,3
70,0.9994948912970208,0.999388175186372,3
71,0.9998362678483897,0.9998487723484333,3
72,0.9996934357685117,0.9996889547568738,3
73,0.9995997707094695,0.9995775709865192,3
74,0.9993897603526884,0.9992618482539515,3
75,0.9994046858985415,0.9993148114075894,3
76,0.9997247229269943,0.9997290562143221,3
77,0.9998634757505328,0.9998681225203563,3
78,0.9998746467309731,0.9998823413090595,3
79,0.9998855923538993,0.9999024851120288,3
80,0.9997279716042985,0.9996874555551767,3
81,0.9640523990649965,0.9537874088761571,3
82,0.9999113823292457,0.9999265950136297,3
83,0.9998602477928942,0.99987978412623,3
84,0.9993676234028331,0.9992556142291662,3
85,0.979129116138774,0.9740016737022519,3
86,0.9991911010360195,0.9990925107937464,3
87,0.9998943117215358,0.9999096639384175,3
88,0.9923384104774161,0.9911910240859716,3
89,0.9999090310569123,0.9999051672105687,3
90,0.9995267642425761,0.9994038293866456,3
91,0.9999150679365855,0.9999190357110271,3
92,0.9998278505689979,0.9997739206792438,3
93,0.9996713781457403,0.9995801436692973,3
94,0.9986975714451464,0.9982638602518947,3
95,0.9975166208663243,0.9967575858750302,3
96,0.9992110829758413,0.9990698376910537,3
97,0.9998900131539171,0.9998609439808326,3
98,0.9997163763506285,0.999622504447219,3
99,0.9995701293807506,0.9994517928988091,3
100,0.9999012342361066,0.9998764293346882,3
101,0.9998909842704936,0.9998576545555012,3
102,0.999405092383173,0.999216198503314,3
103,0.9993196028242551,0.9991300424426852,3
104,0.9999145805039259,0.9998842816981456,3
105,0.999732260174797,0.999619974274835,3
106,0.9994752449869401,0.9994665139395997,3
107,0.9970253418533539,0.9965432731920136,3
108,0.9998672047989886,0.9997961497996466,3
109,0.999688910190072,0.9995925795143229,3
110,0.9998803401209687,0.999828909371962,3
111,0.9999463525336182,0.9999191475627824,3
112,0.9999171399281743,0.9999084426024931,3
113,0.9999276773863265,0.9998976709405089,3
114,0.9999153797972179,0.9999024083512408,3
115,0.9981326492146718,0.9976722381414151,3
116,0.9745682277608375,0.964993262206222,3
117,0.9999398475683392,0.999907313341084,3
118,0.9999144298985723,0.9999009951708978,3
119,0.9999606383125249,0.9999528411525924,3
120,0.9999705864242333,0.9999668959455708,3
121,0.9969606183698194,0.9964362873077102,3
122,0.9963436809055136,0.9953397094631894,3
123,0.9945785918392861,0.993012237564914,3
124,0.9997228564259584,0.9996888710713389,3
125,0.9989833360286409,0.998632020904139,3
126,0.9999522717959991,0.9999459704144932,3
127,0.9999213164584567,0.999903107104738,3
128,0.9998444912275357,0.9997858136775915,3
129,0.9997678196889145,0.999702257576,3
130,0.9998840732478164,0.999861992608182,3
131,0.999794540172145,0.9997512833625879,3
132,0.9913111579910346,0.9887373961740973,3
133,0.9980680118707091,0.998173734342968,3
134,0.9998482005855729,0.9998787866595267,3
135,0.9992332986133949,0.99902934673751,3
136,0.9992786562860306,0.9990326671114915,3
137,0.9999343186351876,0.9999299880234798,3
138,0.9999192699733829,0.9999169566281987,3
139,0.9997005533060827,0.9996179014698902,3
140,0.999821242104574,0.9997656122795219,3
141,0.9999666920474528,0.9999542148946579,3
142,0.9999750336513303,0.999969898054499,3
143,0.9999795466463491,0.9999753599851682,3
144,0.9999411846628001,0.999927221701325,3
145,0.9998910761623573,0.9998753369501283,3
146,0.9901944789540403,0.987583385793873,3
147,0.9989329126429951,0.9985851125536579,3
148,0.99914863203032,0.9989657038185711,3
149,0.9923748125723577,0.990125930508821,3
150,0.9989326770816148,0.9985928507754134,3
151,0.9999401240986969,0.9999184397281811,3
152,0.9983357325764063,0.9976927405921486,3
153,0.9999382710433272,0.9999193790789377,3
154,0.9999563998119665,0.9999373732759186,3
155,0.9999135647292489,0.9998820774542726,3
156,0.9932489538470867,0.9912897615180452,3
157,0.9989172090337404,0.9985026075480824,3
158,0.9999251365087152,0.9999071744876968,3
159,0.9997486432974552,0.9996789764092244,3
160,0.9990836292807314,0.9988060507553097,3
161,0.9999653426336691,0.9999523626121278,3
162,0.9997242498736482,0.9996476222078206,3
163,0.9993883744191447,0.9991587265431375,3
164,0.9995876760547991,0.9995203809141653,3
165,0.9997825034251747,0.9997216963551622,3
166,0.9996110808363566,0.9994694503093338,3
167,0.9998826332929307,0.9998521277359932,3
168,0.9994437471778641,0.9993204419179571,3
169,0.9998422084967246,0.9998134357048903,3
170,0.9995491605196263,0.9993896323226439,3
171,0.9989280244294158,0.998645937433495,3
172,0.9998350845617681,0.999779477459496,3
173,0.9978340631948123,0.9971823691897791,3
174,0.9993305105693668,0.9991384112465971,3
175,0.9998587648568555,0.9998229765136288,3
176,0.9999413937354232,0.9999164730845269,3
177,0.9946030647598074,0.9925711019304329,3
178,0.9995478751891768,0.999632030506991,3
179,0.9980250756267475,0.9975402061855249,3
180,0.997965127024507,0.9974101694996921,3
181,0.9999634193529715,0.9999592658448535,3
182,0.9999682919017382,0.9999629725660711,3
183,0.9999691329888833,0.9999642165339026,3
184,0.9999192176575067,0.999895295282773,3
185,0.9997299542173632,0.9996679617562565,3
186,0.9998793637195598,0.9998547052272517,3
187,0.999831449710669,0.9997749370434463,3
188,0.9998903824867192,0.9998672719456637,3
189,0.9997977489016749,0.9997477515610896,3
190,0.9999718021815025,0.9999647023872003,3
191,0.9994790919932066,0.9993038969066267,3
192,0.9998335957739963,0.9997870176860765,3
193,0.9940599509601658,0.9923322167972634,3
194,0.9920662081695131,0.9900225450993811,3
195,0.9998727194085185,0.9998371416510446,3
196,0.999907629583673,0.9998854369052745,3
197,0.9999078189711051,0.9998814969674852,3
198,0.9999765927835926,0.999967692667323,3
199,0.9999744344751957,0.999963115672396,3
200,0.9999596654820162,0.9999444257048803,3
