目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,DGatingDNN,0.9272803307475214,0.9468575076906689,20,gen_fuel_coal_mw|area_1_load_day_ahead_mw|reserve_spin_r2_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,STG,0.917529188059968,0.9468575076906689,20,gen_fuel_coal_mw|reserve_spin_r2_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,LassoNet,0.8847210023757028,0.9468575076906689,20,system_losses_mw|area_1_load_day_ahead_mw|area_1_load_actual_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,XGBoost,0.8593113843144387,0.9468575076906689,20,area_1_load_day_ahead_mw|area_1_load_actual_mw|reserve_spin_r1_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,Lasso,0.837825659642661,0.9468575076906689,20,area_1_load_actual_mw|gen_fuel_wind_mw|system_losses_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw|reserve_spin_r3_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,Pearson,0.7404869194307818,0.9468575076906689,20,system_losses_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|system_generation_mw|system_load_day_ahead_mw
branch_ab1_loading_pct,线路AB1负载率,97%,6,DGatingDNN,DGatingDNN,0.9272803307475214,0.9468575076906689,20,gen_fuel_coal_mw|area_1_load_day_ahead_mw|reserve_spin_r2_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw
branch_ab1_loading_pct,线路AB1负载率,97%,6,DGatingDNN,STG,0.917529188059968,0.9468575076906689,20,gen_fuel_coal_mw|reserve_spin_r2_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw
branch_ab1_loading_pct,线路AB1负载率,97%,6,DGatingDNN,LassoNet,0.8847210023757028,0.9468575076906689,20,system_losses_mw|area_1_load_day_ahead_mw|area_1_load_actual_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw
branch_ab1_loading_pct,线路AB1负载率,97%,6,DGatingDNN,XGBoost,0.8593113843144387,0.9468575076906689,20,area_1_load_day_ahead_mw|area_1_load_actual_mw|reserve_spin_r1_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw
branch_ab1_loading_pct,线路AB1负载率,97%,6,DGatingDNN,Lasso,0.837825659642661,0.9468575076906689,20,area_1_load_actual_mw|gen_fuel_wind_mw|system_losses_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw|reserve_spin_r3_mw
branch_ab1_loading_pct,线路AB1负载率,97%,6,DGatingDNN,Pearson,0.7404869194307818,0.9468575076906689,20,system_losses_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|system_generation_mw|system_load_day_ahead_mw
