方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9777906260046706,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9707203299911368,area_1_fuel_wind_mw|area_1_fuel_coal_mw|gen_fuel_nuclear_mw|system_losses_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9492126468483167,system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_3_net_export_mw|area_1_fuel_hydro_mw|area_1_net_export_mw|area_1_fuel_nuclear_mw
XGBoost,树模型特征重要性（2016）,0.9705454190399242,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw
Lasso,线性稀疏（1996）,0.9702233850886778,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_hydro_mw|area_3_net_export_mw|area_1_fuel_coal_mw
Pearson,相关系数排序（只看两两关系）,0.8782003108534545,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw
