target,中文名,候选数,选中数,未选中数,全量R2_时序,选中R2_时序,未选中R2_时序,选中减未选中
net_actual_interchange_mw,净实际交换功率,48,11,37,0.7307897566640312,0.8154819994727703,0.3229698014754032,0.4925121979973671
gross_actual_interchange_mw,总实际交换功率,47,21,26,-0.6456975153072821,-0.5649799500292199,-0.5991970378079303,0.034217087778710464
net_sched_interchange_mw,净计划交换功率,48,11,37,0.7135894053571621,0.8312528486061938,0.2487231802202895,0.5825296683859043
total_gen,总发电量,34,3,31,0.9783159317335792,0.9709481061433192,0.9268296683944355,0.04411843774888369
metered_load_mw,计量负荷,43,3,40,0.9550096446669079,0.9602961012420019,0.9053860329538947,0.05491006828810718
total_losses,总网损,49,15,34,0.5057058288835505,0.6689639893073771,0.4775462436551683,0.19141774565220881
congestion_price_da,日前阻塞价,48,20,28,0.20899652595864826,0.30907605004281047,0.2854765578842434,0.023599492158567048
congestion_price_rt,实时阻塞价,46,20,26,0.23702015973900625,0.2847859136860721,0.2078030544301901,0.076982859255882
marginal_loss_price_da,日前边际损耗价,48,14,34,0.442927562457062,0.43097592703361176,0.39960925868946784,0.03136666834414392
total_lmp_da,日前总电价,48,13,35,0.6783973762932523,0.7671720522558418,0.6657869280012847,0.10138512425455715
da_as_total_mw_primary_reserve,日前主用备用总量,47,10,37,0.7388546781539262,0.8072072083163778,0.6879456673918591,0.11926154092451868
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,48,16,32,0.13527475427591773,0.08979964142785657,0.18399513765861375,-0.09419549623075718
